HHmmss,x,y,z,xg,yg,zg
212023,0.044,-0.095,-0.979,0.007,-0.063,0.001
212023,-0.017,-0.100,-0.992,-0.013,0.005,0.013
212023,0.007,-0.094,-0.977,-0.002,0.088,0.005
212023,-0.022,-0.079,-0.986,0.003,0.069,0.001
212023,0.080,-0.105,-1.024,0.006,-0.062,0.008
212023,0.001,-0.098,-0.982,0.013,-0.079,0.002
212023,0.014,-0.092,-0.992,0.007,0.017,0.003
212023,0.030,-0.108,-1.005,0.008,0.038,0.001
212023,0.036,-0.107,-0.997,0.003,-0.018,0.001
212023,0.023,-0.112,-0.993,0.013,-0.015,0.006
212023,0.017,-0.106,-1.008,0.015,-0.028,0.009
212023,0.034,-0.095,-0.998,0.004,-0.007,0.007
212024,0.008,-0.079,-1.019,0.000,0.012,0.006
212024,0.029,-0.103,-0.994,-0.006,-0.000,-0.007
212024,0.024,-0.103,-0.999,0.000,-0.030,0.003
212024,0.012,-0.100,-1.010,-0.006,0.002,0.003
212024,0.022,-0.093,-1.012,-0.002,-0.014,-0.000
212024,0.014,-0.092,-0.999,-0.008,0.004,0.003
212024,-0.010,-0.093,-1.010,-0.007,0.057,0.003
212024,0.051,-0.106,-1.001,-0.002,0.045,0.004
212024,0.007,-0.102,-0.978,0.013,-0.017,0.004
212024,0.017,-0.109,-1.010,0.005,-0.043,0.010
212024,-0.002,-0.093,-0.958,0.004,0.055,0.001
212024,0.054,-0.095,-1.042,0.012,0.033,-0.000
212024,0.022,-0.099,-0.980,-0.000,-0.021,0.004
212024,0.027,-0.118,-0.972,0.004,0.001,0.001
212024,0.045,-0.104,-0.995,0.003,-0.059,-0.003
212024,0.014,-0.106,-1.003,0.009,-0.016,0.001
212024,0.015,-0.115,-0.998,0.001,0.058,0.010
212024,0.039,-0.106,-1.021,0.009,0.051,0.003
212024,0.039,-0.105,-0.997,-0.002,-0.046,0.010
212024,0.014,-0.110,-0.989,0.009,-0.062,0.001
212024,0.035,-0.114,-1.027,-0.004,-0.052,0.007
212024,0.013,-0.117,-1.014,0.001,-0.001,0.007
212024,0.049,-0.098,-0.961,0.004,0.034,0.006
212024,0.021,-0.104,-1.023,0.002,0.031,0.001
212024,0.016,-0.095,-1.028,-0.001,0.027,0.005
212024,0.032,-0.102,-0.967,0.001,-0.041,0.002
212024,0.030,-0.115,-1.019,-0.002,-0.019,0.005
