"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2005-346371","特願2004-164754","2004/06/02","2005/12/15","運転意図推定装置、車両用運転操作補助装置および車両用運転操作補助装置を備えた車両","日産自動車株式会社","A61B5/18,B60K26/04,B60K41/00,390,B60K41/00,440,B60R21/00,624@D,B60R21/00,624@F,B60R21/00,626@A,B60R21/00,628@E,B60W40/08,B60W50/08,260,B60W50/16,G08G1/16@C,B60R21/00,992","(57)【要約】
【課題】
  自車両の車両状態や自車両周囲の走行環境によらずド<BR>ライバの運転意図を精度よく推定する運転意図推定装置<BR>を提供する。
【解決手段】
運転意図推定装置は、それぞれが運転意図を有する複数<BR>の仮想ドライバを設定し、各仮想ドライバの運転操作量<BR>を自車両の走行環境に基づいて算出する。そして、仮想<BR>ドライバの運転操作量と実際のドライバの運転操作量と<BR>の近似度合から、実際のドライバの運転意図が車線変更<BR>である場合および車線維持である場合の尤度をそれぞれ<BR>算出する。ドライバの運転意図を判定する際の基準値を<BR>自車両の走行状況に基づいて設定し、設定した基準値に<BR>従って、車線変更尤度および車線維持尤度からドライバ<BR>の運転意図を推定する。
【選択図】  図１
","特開2005-346371","","特許4400316","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-346371/EF9A5FEEFCE0DD45624F4E2DA77A05BCBA6CB7A47A326A4DEC466D00348E848F/11/ja"
"特開2005-343317","特願2004-165583","2004/06/03","2005/12/15","車両用運転操作補助装置および車両用運転操作補助装置を備える車両","日産自動車株式会社","A61B5/18,B60K26/04,B60K41/00,390,B60R21/00,624@D,B60R21/00,626@Z,B60W50/08,260,B60W50/16,G08G1/16@C,B60R21/00,992,B60R21/00,993","(57)【要約】
【課題】
  運転者が緊張感をもって運転している場合とそうでな<BR>い場合で、それぞれ運転者の感じるリスクに合った操作<BR>反力制御を行う車両用運転操作補助装置を提供する。
【解決手段】
  車両用運転操作補助装置は、運転者が自身の緊張度合<BR>を申告するためのスイッチをフットレストに設置してい<BR>る。運転者は、自車両前方に特定した先行車に追従しよ<BR>うとするときにフットレストスイッチを操作する。特定<BR>の先行車に追従しようとする緊張度合の高い状態では、<BR>運転者のリスク感に合わせてアクセルペダル反力が大き<BR>くなるように補正する。
【選択図】  図１

","特開2005-343317","","特許4543760","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-343317/048A67661EA293B78E5C4C9D6F8021FBC2DA6419AAA171154D9F24230B0B665B/11/ja"
"特開2005-330869","特願2004-149129","2004/05/19","2005/12/02","パワートレーンの低負荷時車速保持用制御装置","日産自動車株式会社","B60K31/00@Z,B60K41/00,310,B60K41/00,442,B60K41/00,610@B,B60W30/00,B60W40/08,190,B60W40/09,F02D29/02,301@C,F02D41/04,310@E,F16H9/00@E,F16H9/00,F16H59:18,F16H59:24,F16H59:44,F16H61/12,F16H61/66,F16H61/662,F16H63/50,F16H101:02,F02D41/04","(57)【要約】      （修正有）
【課題】  エンジン出力を無段変速機で変速して駆動輪<BR>へ伝達する車両がエンジンのスロットル開度を低開度領<BR>域に保持して走行する場合において、一定速走行を所望<BR>する運転者がアクセルペダルの踏み込み量を上手く加減<BR>することができないために、アクセルペダルを戻したり<BR>踏み込んだりといったハンチングを繰り返すことを防止<BR>する。
【解決手段】  車速が略一定である場合のもとで、運転<BR>者がアクセルペダルを低開度領域で戻したり踏み込んだ<BR>りといった操作を繰り返した場合には、この繰り返しが<BR>所定回数に達したときの車速を、前記運転者の所望する<BR>一定車速とする。次に、この一定車速を保持するための<BR>目標スロットル開度をマップを参照して求める。そして<BR>、アクセルペダル踏み込み量が低開度領域にある場合に<BR>は、運転者のアクセルペダル踏み込み量に拘わらず上記<BR>の目標スロットル開度を実行する。
【選択図】図５
","特開2005-330869","","特許4517719","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-330869/D4E3DEAEAE51D4E337175C7DF0D559A584A3AB92605B160F9057EECBF76C478E/11/ja"
"特開2005-329944","特願2005-179681","2005/06/20","2005/12/02","車両用報知装置及びその方法","日産自動車株式会社","B60K31/00@Z,B60K41/00,301@A,B60K41/00,301@F,B60K41/00,380,B60K41/00,390,B60K41/20,B60T7/12@B,B60T7/12@C,B60W10/00,120,B60W10/06,B60W10/18,288,B60W10/188,B60W50/08,260,B60W50/16,F02D29/02@K,F02D29/02,301@D","(57)【要約】
【課題】車速を低下させて警報を与える場合でも、ドラ<BR>イバの運転操作を有効にする。
【解決手段】走行制御システムは、レーダ装置３０、障<BR>害物検出処理装置２及びコントローラ５により前方にあ<BR>る物体に自車両が接触する可能性を検出し、さらにコン<BR>トローラ５により接触可能性の検出結果に基づいてアク<BR>セルペダル４の踏み込み量に対する駆動トルクの発生量<BR>を補正する。ここで、補正は、接触可能性が高いほど、<BR>アクセルペダル４の踏み込み量に対する駆動トルクの発<BR>生量を少なくする補正である。
【選択図】図１
","特開2005-329944","","特許4585388","拒絶2008-025431","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-329944/8FD205EA1A836D7B1FAC41770CE6E0F161748C7E425E9878A2A065A6C997BA94/11/ja"
"特開2005-329896","特願2004-152198","2004/05/21","2005/12/02","車両用運転操作補助装置および車両用運転操作補助装置を備えた車両","日産自動車株式会社","B60K26/04,B60K31/00@Z,B60K41/00,301@A,B60K41/00,301@F,B60K41/00,332,B60K41/00,390,B60K41/00,610@A,B60K41/00,610@B,B60K41/20,B60R21/00,624@F,B60R21/00,627,B60R21/00,628@C,B60T7/12@B,B60W10/00,120,B60W10/06,B60W10/18,288,B60W10/188,B60W30/12,B60W50/08,260,B60W50/16,F02D11/04@C,G01C21/00@A,G01C21/26@A,G08G1/16@C,B60R21/00,991,B60R21/00,993","(57)【要約】
【課題】
  自車線がカーブを走行する際に減速制御および操作反<BR>力制御を行って運転者の運転操作を補助する車両用運転<BR>操作補助装置を提供する。
【解決手段】
  コントローラは、自車両前方のカーブにおいて制御の<BR>対象となる制御対象点を設定し、制御対象点に対する操<BR>作反力制御用の目標減速度および制駆動力制御用の目標<BR>減速度を算出する。操作反力制御用の目標減速度に基づ<BR>いて操作反力制御を開始し、その後制駆動力制御用の目<BR>標減速度に基づいて制駆動力制御を開始する。制駆動力<BR>制御が開始されると、操作反力制御用の目標減速度に基<BR>づいて設定される反力制御量を徐々に低下し、操作反力<BR>制御のみが行われていた状態から、操作反力制御と制駆<BR>動力制御が行われる状態への移行をスムーズにする。
【選択図】  図１２
","特開2005-329896","","特許4304258","拒絶2009-000704","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-329896/92170C0A050104BAB92D730307FBE80154FBCCF75A3E108715FE4772EB0D4197/11/ja"
"特開2005-324779","特願2005-091675","2005/03/28","2005/11/24","ランブルストリップ応答システム","ニッサン　テクニカル　センター　ノース　アメリカ、　インコーポレイテッド","B60G17/015@A,B60G17/015@B,B60K41/00,301@G,B60K41/00,301@H,B60K41/00,332,B60K41/00,340,B60K41/00,390,B60K41/00,420,B60R21/00,626@B,B60W10/00,132,B60W10/20,B60W10/22,B60W30/02,B60W30/12,B60W40/06,176,B60W50/08,260,B60W50/16,B62D5/07@B,B62D6/00,G08G1/16@A,B62D5/065@B,B60R21/00,993","(57)【要約】      （修正有）
【課題】車両のタイヤがランブルストリップ上に乗り上<BR>げたときにノイズや振動が起こるようにして、運転者が<BR>路外逸脱しかけていることを気付かせる。
【解決手段】道路上に取り付けられた路外逸脱警告据付<BR>物の車両運転者に対する転送特性を変更するための装置<BR>は、ランブルストリップからの入力を感知するセンサと<BR>、これと通信する調節可能車両コンポーネントとを含む<BR>。調節可能車両コンポーネントは、運転者によって感知<BR>されるランブルストリップからの入力の量を自動調節す<BR>るように構成される。また、車両の横方向変位の推測を<BR>、ランブルストリップの車両に対するロケーションに基<BR>づいて行う装置は、ランブルストリップと車両の関連付<BR>けられた四輪それぞれとの間の接触を示す４つの信号を<BR>受信し、車両が検出ランブルストリップを超えて移動し<BR>た横方向距離を推測するように構成されたプロセッサを<BR>含む。
【選択図】図１
","特開2005-324779","","特許4181138","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-324779/E46E249F94584F9BF2A9AFF689E00237C1B512074D76B487438AF11F16592064/11/ja"
"特開2005-324743","特願2004-146732","2004/05/17","2005/11/24","車両の駆動力配分および操舵力協調制御装置","日産自動車株式会社","B60K41/00,301@E,B60K41/00,301@G,B60K41/00,340,B60K41/00,390,B60K41/00,610@J,B60W10/12,B60W10/20,B60W30/02,B60W50/08,260,B60W50/16,B62D5/04,B62D6/00,B62D101:00,B62D111:00,B62D113:00,B62D119:00,F16H48/20@B,F16H48/20","(57)【要約】
【課題】  運転者に違和感を与えることなく、車両の旋<BR>回限界に近いことを知らせる。
【解決手段】  操舵に要する運転者の操舵力を可変する<BR>電動PSアクチュエータ９と、車両の駆動力を左右後輪１<BR>４ａ，１４ｂへ配分調整する電制LSD１８と、を備えた<BR>車両において、電動PSアクチュエータ９に対し、左右駆<BR>動力制御コントローラ６から出力される左右駆動力移動<BR>量指令値ΔＦxが大きいほどアシストトルクＴAを大きく<BR>する電動PSコントローラ８を設けた。
【選択図】      図１
","特開2005-324743","","特許4608942","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-324743/E758188735A983B48529C46FD3E34DFDCA6F7326DB104F9115EC7C2D169F9B5F/11/ja"
"特開2005-324699","特願2004-145303","2004/05/14","2005/11/24","車両操作支援装置","本田技研工業株式会社","B60K41/00,301@F,B60K41/00,330,B60K41/00,360,B60K41/00,440,B60K41/00,610@J,B60R21/00,624@B,B60R21/00,626@A,B60R21/00,627,B60T7/12@C,B60T8/1755@Z,B60T8/58@E,B60W10/00,132,B60W10/18,288,B60W10/188,B60W30/08,B60W30/10,B60W40/08,B62D6/00,B62D101:00,B62D111:00,B62D113:00,B62D119:00,G08G1/16@C,B60R21/00,991,B60R21/00,993","(57)【要約】
【課題】  車両操作支援装置でドライバーによる障害物<BR>に対する回避操作を支援する際に、前記回避操作が行わ<BR>れた的確に判定できるようにする。
【解決手段】  レーダー装置Ｓａによる障害物の検知結<BR>果に基づいてアシストヨーレート算出手段Ｍ８が障害物<BR>を回避するのに必要な回避運動量を算出し、回避操作判<BR>定手段Ｍ５がドライバーによる障害物の回避操作の開始<BR>を判定すると、車両運動制御手段Ｍ１２がアシストヨー<BR>レート算出手段Ｍ８で算出したアシストヨーレートに基<BR>づいて車両の横運動を制御する。その際に、回避操作判<BR>定手段Ｍ５が車両が障害物に衝突するまでの衝突余裕時<BR>間が所定値以上の場合はブレーキ操作センサおよびステ<BR>アリング操作センサの両方の出力に基づいて回避操作の<BR>開始を判定し、衝突余裕時間が所定値未満の場合はステ<BR>アリング操作センサだけの出力に基づいて回避操作の開<BR>始を判定するので、障害物との衝突を回避する際のドラ<BR>イバーの一般的な習性に基づく的確な判定が可能になる<BR>。
【選択図】        図４
","特開2005-324699","","特許4414274","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-324699/754248F6DCBD2612A177CA9CFE4B24E8F76A239CD1218F2AE261C9E5A79360B4/11/ja"
"特開2005-319872","特願2004-138802","2004/05/07","2005/11/17","車両用運転操作補助装置","株式会社デンソー","B60K28/02,B60K31/00@Z,B60K41/00,390,B60K41/00,442,B60K41/00,610@A,B60K41/00,610@E,B60T7/12@B,B60W40/08,190,B60W40/09,B60W50/08,260,B60W50/16,B62D6/00,F02D29/02@K","(57)【要約】
【課題】  運転者の運転技量に応じて運転操作の補助を<BR>行う構成において、車両の運転者に不安感を与えないよ<BR>うにする。
【解決手段】  車両の運転者による運転操作を検出し、<BR>その検出した運転操作に基づき車両の運転者の運転技量<BR>を判定する（Ｓ３２０）。そして、この運転技量に基づ<BR>き車両の運転者による運転操作を補助すべき状態である<BR>か否かを判定し（Ｓ３３０）、補助すべきであると判定<BR>した場合には（Ｓ３３０：ＹＥＳ）、運転者による運転<BR>操作の補助を許可する旨の意思表示を受けた後に（Ｓ３<BR>４０，Ｓ３５０：開始必要）運転操作の補助を開始する<BR>（Ｓ３８０，Ｓ４６０）。このため、運転者の知らない<BR>間に運転操作の補助が開始されてしまうことが防止され<BR>、運転者に不安感を与えないようにすることができる。
【選択図】  図４
","特開2005-319872","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-319872/0932CAA2328FE06F1B62CDF4CC91C3EB2F9917253809DB5307C67DB43BB56657/11/ja"
"特開2005-313880","特願2005-091734","2005/03/28","2005/11/10","ランブルストリップ応答システム","ニッサン　テクニカル　センター　ノース　アメリカ、　インコーポレイテッド","B60G17/015@A,B60G17/015@B,B60K41/00,301@F,B60K41/00,301@G,B60K41/00,332,B60K41/00,390,B60K41/00,610@B,B60K41/00,610@E,B60K41/00,610@J,B60K41/00,B60R21/00,626@B,B60W10/18,284,B60W10/184,B60W10/20,B60W30/12,B60W50/08,260,B60W50/16,G08G1/16@C,B60R21/00,993","(57)【要約】      （修正有）
【課題】車両走行中における、路面からの逸脱による事<BR>故防止すること。
【解決手段】道路上に取り付けられた路外逸脱警告据付<BR>物の車両運転者に対する転送特性を変更するための装置<BR>を含む。この装置は、ランブルストリップからの入力を<BR>感知するランブルストリップセンサと、このランブルス<BR>トリップセンサと通信する調節可能車両コンポーネント<BR>とを含む。この調節可能車両コンポーネントは、運転者<BR>によって感知されるランブルストリップからの入力の量<BR>を自動調節するように構成される。別の実施形態は、車<BR>両の横方向変位の推測を、道路上に取り付けられたラン<BR>ブルストリップの車両に対するロケーションに基づいて<BR>行う装置を含む。この装置は、ランブルストリップと車<BR>両の関連付けられた四輪それぞれとの間の接触を示す４<BR>つの信号を受信し、車両が検出ランブルストリップを超<BR>えて移動した横方向距離を推測するように構成されたプ<BR>ロセッサを含む。
【選択図】図１
","特開2005-313880","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2005-313880/A86CF48F0085B129595BE0709E5F0F1EEDCA7E37F179B8619A52F09E8828C920/11/ja"
