"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"再表2011/158347","特願2012-520206","2010/06/16","2011/12/22","運転支援装置","トヨタ自動車株式会社","B60W30/09,B60W30/18,282,B60W30/182,B60W40/08,G08G1/16@C","(57)【要約】
  本発明は、運転者に違和感を与えず、感覚的に操作し<BR>やすい運転支援装置を提供することを目的とする。本発<BR>明に係る運転支援装置によれば、自動運転スイッチによ<BR>って自動運転の実行が指示された場合に、ＥＣＵは、目<BR>的地設定部によって目的地が設定されている場合は目的<BR>地自動運転のための進路を生成して自動運転を開始し、<BR>目的地設定部によって目的地が設定されておらず走行意<BR>志検出部によって運転者に走行継続意志があると検出さ<BR>れた場合は道なり自動運転のための進路を生成して自動<BR>運転を開始し、目的地設定部によって目的地が設定され<BR>ておらず走行意志検出部によって運転者に走行継続意志<BR>がないと検出された場合は自動停車のための進路を生成<BR>して自動運転を開始することで、運転者の意思に沿って<BR>自動的に自動運転が開始されるため、運転者に違和感を<BR>与えず、感覚的に操作しやすい装置となっている。
","WO2011/158347","","特許5382218","","再表2011/158347","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-158347/F60C91572BEA7B783860C47A145AC6BD9FD9A21EAC95B32846984A770F7BCF86/19/ja"
"再表2011/158327","特願2012-520189","2010/06/15","2011/12/22","運転支援システム","トヨタ自動車株式会社","B60T7/12@A,B60T8/32,B60W10/04,B60W10/18,B60W30/14,B60W50/10","(57)【要約】
  車両（１０）に制動力を作用させるブレーキペダル（<BR>６１）、ブレーキアクチュエータ（６４）、制動部（６<BR>５ｆｌ，６５ｆｒ，６５ｒｌ，６５ｒｒ）等による制動<BR>装置を備えると共に、目標車速変化率を設定する車速変<BR>化率設定装置と、前記制動装置に対する所定の操作を運<BR>転者が行うことで前記目標車速変化率となるように車速<BR>制御を行う車速制御装置と、を電子制御装置（１）に備<BR>えること。例えば、その車速変化率設定装置は、停車中<BR>に前記所定の操作が行われた場合、車両（１０）を加速<BR>させる目標車速変化率を設定する。
","WO2011/158327","","特許5310948","","再表2011/158327","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-158327/F6520F3E0F3319924EE61391F8F158FA406942004FBB97432608DFCD98CB372F/19/ja"
"再表2011/145165","特願2012-515655","2010/05/17","2011/11/24","運転支援装置","トヨタ自動車株式会社","B60W40/08,190,B60W40/09,G08G1/09@H,G08G1/16@A","(57)【要約】
  運転支援装置は、自車両の複数の過去の運転状況の各<BR>々を複数の運転状況因子の組として格納すると共に、複<BR>数の過去の運転状況の各々に対応付けて、過去の運転状<BR>況における運転者の行動特性を示す行動特性値と、過去<BR>の運転状況が発生した頻度を示す運転状況発生頻度とを<BR>格納し、且つ、複数の運転状況因子の各々に対応付けて<BR>、運転状況因子が行動特性に与える影響の大きさを示す<BR>因子影響値と、運転状況因子が変化した頻度を示す因子<BR>変化頻度とを格納する格納手段（２１０）と、複数の過<BR>去の運転状況、行動特性値、運転状況発生頻度、因子影<BR>響値及び因子変化頻度に基づいて、運転者の未来の運転<BR>行動を推定する推定手段（２２０）と、この推定された<BR>運転行動に応じて運転支援を実施する実施手段（２３０<BR>）とを備える。
","WO2011/145165","","特許5177327","","再表2011/145165","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-145165/E96E9B91D125C4F68E4916F5C64C2EB069697D79BF55F029BE722ED79BAE2340/19/ja"
"再表2011/142203","特願2012-514740","2011/04/13","2011/11/17","車両制御装置","本田技研工業株式会社","B60R21/0136,B60R25/02,622,B60R25/0215,B60T8/1755@Z,B60W50/02,135,B60W50/035,B60W50/08,200,B60W50/10,F02D29/02@K,B60R21/00,993","(57)【要約】
  車両制御装置（１２）の制御手段（２４）は、車両（<BR>１０）における所定条件の成立時に、押圧スイッチ（１<BR>６）への押圧操作による駆動源（３０）の作動状態又は<BR>車載機器への電源供給状態の制御を禁止する。制御手段<BR>（２４）は、車両（１０）における異常状態の発生が検<BR>出された場合、前記所定条件が成立していても、押圧ス<BR>イッチ（１６）への押圧操作による制御を許可する。
","WO2011/142203","","特許5661752","","再表2011/142203","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-142203/9899D99D37F3762D9928463361B28700AFFD85D271F1E9136B30213F292F1BAC/19/ja"
"再表2011/142020","特願2012-514647","2010/05/13","2011/11/17","車両制御装置及び車両制御システム","トヨタ自動車株式会社","B60W30/18,282,B60W30/182,B60W50/08,240,B60W50/14,F02D29/02@L,F02D29/02,301@Z","(57)【要約】
  車両制御システム（１）、車両制御装置（７）は、車<BR>両（２）を走行させる動力源（８）が作動した状態で当<BR>該車両（２）が走行する通常走行の場合と、動力源（８<BR>）の作動が停止した状態で当該車両（２）が走行する惰<BR>性走行の場合とで、車両（２）の運転を支援する支援装<BR>置（６）の制御を切り替え可能であることを特徴とする<BR>。したがって、車両制御システム（１）、車両制御装置<BR>（７）は、通常走行の場合と惰性走行の場合とで支援装<BR>置（６）の制御を切り替えるので、適正に車両（２）を<BR>惰性走行させることができる、という効果を奏する。
","WO2011/142020","","特許5310942","","再表2011/142020","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-142020/4962ADEC6CBC091CA01FDF03A901A43CACA95485E272B308B16168B40F68D04A/19/ja"
"特開2011-230753","特願2011-085508","2011/04/07","2011/11/17","運転者状態検出方法及び運転者状態検出システム","ニッサン　ノース　アメリカ，インク,日産自動車株式会社,バージニア　テック　インテレクチュアル　プロパティーズ　インク","B60K28/06@Z,B60W40/08,B60W40/10,214,B60W40/114","(57)【要約】
【課題】運転者の状態が異常であるか否かをより正確に<BR>特定する。
【解決手段】運転者状態検出方法は、検出期間において<BR>車両に生じるヨーレイトを検出し（Ｓ１）、検出された<BR>ヨーレイトの実測値に基づいて、検出期間においてヨー<BR>レイトの増減が反転する反転ポイントを特定し（Ｓ３）<BR>、時間軸上で連続する２つの反転ポイントを結ぶ線分か<BR>らなるヨーレイトの線形変化率を演算し（Ｓ４）、時間<BR>軸上で連続する２つの反転ポイントの間におけるヨーレ<BR>イトの実測値を検査し、ヨーレイトの線形変化率とヨー<BR>レイトの実測値との差を決定してこれを相違値として取<BR>得し（Ｓ５、Ｓ６）、この相違値に基づいて、運転者の<BR>状態が異常であるか否かをを判断する（Ｓ７～Ｓ９）。
【選択図】図２
","特開2011-230753","","特許5295300","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-230753/DC95A90C61EF6AC196B56276E0FADC1EA1577916FDE9F3B77B9618B12A659D5C/11/ja"
"特開2011-221620","特願2010-087370","2010/04/05","2011/11/04","車両制御装置及び車両制御システム","トヨタ自動車株式会社","B60K41/00,442,B60W40/08,190,B60W40/09,F02D17/00@P,G08G1/00@D","(57)【要約】
【課題】操作に応じて適正に車両を惰性走行させること<BR>ができる車両制御装置及び車両制御システムを提供する<BR>ことを目的とする。
【解決手段】車両制御装置７は、車両２の走行中に操作<BR>に応じて当該車両２の駆動装置４での燃料の消費を停止<BR>し当該車両２を惰性走行させる制御に移行可能であると<BR>共に、前記操作に関する運転技量に応じて通知装置６を<BR>制御し前記操作に関する情報を通知可能であることを特<BR>徴とする。したがって、車両制御システム１、車両制御<BR>装置７は、操作に応じて適正に車両２を惰性走行させる<BR>ことができる。
【選択図】図１
","特開2011-221620","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-221620/22B3DA99124C0AD27D90C566B6835FAFF38CB3CAFD0D94CE83E06F3188F85712/11/ja"
"特開2011-219092","特願2011-138778","2011/06/22","2011/11/04","車両の駆動制御装置","日産自動車株式会社","B60W30/02,150,B60W30/02,300,B60W40/06,164,B60W40/064,B60W50/08,200,B60W50/10,F02D29/02,311@A","(57)【要約】
【課題】砂地を検出して、砂地に適合させて駆動輪の駆<BR>動を制御する。
【解決手段】駆動輪が駆動されたことを検出し、かつ駆<BR>動輪の下方向への移動を検出した場合、車両の走行路が<BR>砂地であると判定する。砂地走行と判定時、駆動輪スリ<BR>ップ防止のため、駆動輪の駆動トルクが予め設定したし<BR>きい値まで減少するようにエンジントルクを制御すると<BR>ともに、しきい値は、車体速度が大きくなるほど大きな<BR>値に変化させる。
【選択図】図５
","特開2011-219092","","特許5136676","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-219092/7B1956FA4A86763EC2D83A775AB2DC45D92EB25B7142CB0B66BCCD0AD73E5655/11/ja"
"特開2011-213187","特願2010-081414","2010/03/31","2011/10/27","車両制御装置","トヨタ自動車株式会社","B60K28/02,B60K41/00,301@A,B60K41/00,442,B60K41/00,612@M,B60W10/06,B60W40/08,190,B60W40/09,F02D29/02,301@Z","(57)【要約】
【課題】勾配での運転技量を精度よく推定することがで<BR>き、その結果、当該運転技量に合った運転支援が可能と<BR>なり、ドライバビリティをさらに向上させることができ<BR>る車両制御装置を提供することを課題とする。
【解決手段】ＥＣＵは、実際のアクセル操作地点、自車<BR>両の車速および前方道路の道路勾配情報を取得し、当該<BR>車速と予め入力された応答遅れ時間とから、アクセル操<BR>作に対し車両が反応するまでの走行距離を算出し、当該<BR>道路勾配情報から前方道路の勾配の変化地点を検出し、<BR>当該変化地点から当該走行距離だけ手前の地点を理想の<BR>アクセル操作地点として推定する。ＥＣＵは、実際のア<BR>クセル操作地点と理想のアクセル操作地点との乖離距離<BR>が予め設定した閾値より大きかった場合には、運転技量<BR>が低いと推定して駆動力応答性を下げ、そうでなかった<BR>場合には、運転技量が高いと推定して駆動力応答性を良<BR>くする。
【選択図】図２
","特開2011-213187","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-213187/D61B8588D3CCA8F8835A9B42094B773390C058DA93164ED78E3DE5AE583159ED/11/ja"
"特開2011-210095","特願2010-078635","2010/03/30","2011/10/20","運転支援装置","トヨタ自動車株式会社","B60K41/00,364,B60K41/00,442,B60T7/12@C,B60T17/18,B60W30/08,190,B60W30/09,B60W40/08,190,B60W40/09,G08G1/16@C","(57)【要約】
【課題】本発明は、運転支援のための各種のデバイスに<BR>故障が発生した場合であっても適切な運転支援を実現す<BR>る。
【解決手段】運転支援装置１は、車両の運転者に対して<BR>、車両の運転におけるリスクの対象となる対象物を回避<BR>するために、対象物及び車両の状況に応じて算出された<BR>衝突余裕時間及び対象物が車両の予測進路上に移動する<BR>可能性の度合いを示す推定危険度に基づき運転支援形態<BR>を判定し、判定された運転支援形態に基づき運転支援の<BR>ための１つ以上のデバイスを制御することにより運転支<BR>援を実施する装置であって、デバイスの故障を検出する<BR>故障検出部２０と、デバイスによる運転支援が安全に寄<BR>与する度合いを示す値である安全寄与率と、故障検出手<BR>段により検出された故障デバイスに関する情報とに基づ<BR>き推定危険度を増加させる危険度増分値算出部１２、推<BR>定危険度判定部１３とを備える。
【選択図】図１
","特開2011-210095","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-210095/0593D8590E27B123BDC7DE06C1CB86E4A5EB409C8FCD9889BE35DC4149B7DFF8/11/ja"
