"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2014-240260","特願2013-124136","2013/06/12","2014/12/25","操舵補助表示装置","トヨタ自動車株式会社","B60K35/00@A,B60R11/02@C,B60W40/114,B60W50/14,G08G1/16@C","(57)【要約】
【課題】見栄え向上を図ることができる操舵補助表示装<BR>置を提供すること。
【解決手段】本発明の操舵補助表示装置１は、車両の走<BR>行する曲線道路の半径Ｒと車両の車速Ｖと舵角θを検出<BR>する検出手段２ａと、半径Ｒと車速Ｖに基づいて定まる<BR>慣性力と舵角θとに基づいて車両の進行方向（ΘｏｒＤ<BR>）を算出する算出手段２ｂと、進行方向をヘッドアップ<BR>ディスプレイにより表示する表示手段２ｃと、含むこと<BR>を特徴とする。
【選択図】図１
","特開2014-240260","","特許5786899","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-240260/7DD29B1CA879A7CAC1DBFED08BCA23D7448E1C62FD5DB349F563F3A921A3DA15/11/ja"
"特開2014-240233","特願2013-123116","2013/06/11","2014/12/25","運転支援システム","株式会社東芝","B60W30/16,B60W30/182,B60W50/14","(57)【要約】
【課題】運転者の力量に依存せずに、実走行燃費向上を<BR>支援するシステムを提供する。
【解決手段】実施形態に係る運転支援システムは、先行<BR>車に追従して自車を走行させるオートクルーズコントロ<BR>ール手段と、自車の実走行燃費を向上させる現時点以降<BR>の目標走行速度を示す走行計画を演算する走行計画演算<BR>手段と、前記走行計画及び現時点の自車の車速を表示す<BR>る走行計画表示手段と、前記先行車との車間距離に応じ<BR>て、前記オートクルーズコントロール手段によるオート<BR>クルーズコントロールモードと、前記走行計画を前記走<BR>行計画表示手段に表示し運転者の運転操作に応じて自車<BR>を走行させる走行計画表示モードとの切替を行う切替制<BR>御手段とを具備する。
【選択図】図１
","特開2014-240233","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-240233/401A704A2018E45A5B9D963DE663035F6694EF99618151526A6E58B81B2012FC/11/ja"
"特表2016-523199","特願2016-518875","2014/04/14","2014/12/18","車両を動作させる方法および装置","ローベルト　ボツシユ　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング","B60W50/08,B62D6/00,G08G1/16@C,B60W60/00","(57)【要約】
  本発明は、車両を動作させる方法に関し、当該方法は<BR>、・前記車両の運転ストラテジーについての車両乗員の<BR>要望を取得するステップ（１０１）と、・前記車両の現<BR>在の運転状況に対応する複数の可能な運転ストラテジー<BR>のセットと、要望された運転ストラテジーとの比較を行<BR>うステップ（１０３）と、・前記比較の結果に応じて前<BR>記複数の可能な運転ストラテジーのセットから選択され<BR>た運転ストラテジーに依存して、前記車両を操縦するス<BR>テップ（１０５）とを有する。本発明はさらに、当該方<BR>法に対応する、車両を動作させるための装置（２０１）<BR>と、コンピュータプログラムとにも関する。
","特表2016-523199","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-523199/6F6CC969E1F4494852862E243F1E59075AF57668742E189F5193346641112563/11/ja"
"特開2014-238809","特願2013-251071","2013/12/04","2014/12/18","短期運転性向判定可変制御装置及びその方法","現代自動車株式会社,起亞自動車株式会社","B60W40/09,G08G1/16@C","(57)【要約】
【課題】前方車両に対する相対速度及び加速操作による<BR>運転者短期運転性向判定可変制御装置及びその方法を提<BR>供する。
【解決手段】本発明の実施形態による車両運行による運<BR>転者の短期運転性向判定可変制御装置は、運転性向判定<BR>のための運行情報を収集する運行情報収集部と、入力さ<BR>れたアクセルペダル位置センサー（Ａｃｃｅｌｅｒａｔ<BR>ｏｒ  Ｐｏｓｉｔｉｏｎ  Ｓｅｎｓｏｒ、ＡＰＳ）開度<BR>量基盤ファジィ制御理論を用いて第１短期運転性向指数<BR>を算出する第１短期運転性向演算モジュールと、入力さ<BR>れた前方車両相対速度基盤ファジィ制御理論を用いて第<BR>２短期運転性向指数を算出する第２短期運転性向演算モ<BR>ジュールと、車両速度別前記第１短期運転性向指数及び<BR>前記第２短期運転性向指数の加重値を差別的に適用して<BR>最終短期運転性向指数を算出する制御モジュールとを含<BR>む。
【選択図】図２
","特開2014-238809","","特許6355323","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-238809/06DDEEE166CD6D22EBB17B30ECB30D1D7AC09047740AA4D1C031C8504D58ED84/11/ja"
"特開2014-238676","特願2013-120241","2013/06/06","2014/12/18","運転診断装置、運転診断システム、および運転診断方法","富士通株式会社","B60W50/14,G08G1/00@D","(57)【要約】
【課題】より適切なアドバイスをドライバに与える。
【解決手段】診断部１は、ドライバがある車両を運転し<BR>ている間の、当該ある車両の挙動とドライバの操作の少<BR>なくとも一方を示す車両情報５に基づいて、ドライバの<BR>運転について診断を下す。判定部２は、当該ある車両を<BR>含む互いに異なる１台以上の車両を、ドライバが今まで<BR>に運転してきた履歴に関する履歴情報７に基づいて、当<BR>該ある車両をドライバが運転しだす前のドライバの運転<BR>経験が診断に与える影響の度合いを判定する。記憶部３<BR>は、複数のアドバイスを記憶する。各アドバイスは、診<BR>断の結果と影響の度合いの組み合わせに対応づけられて<BR>いる。決定部４は、診断部１により下された診断の結果<BR>と、判定部２により判定された影響の度合いとの組み合<BR>わせに対応づけられて記憶部３に記憶されているアドバ<BR>イスを、ドライバに対して提示することに決定する。
【選択図】図１
","特開2014-238676","","特許6221364","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-238676/F01D5CE0521D475D1BDDB2860080CA0492B53AC36C65E1D465A38B74424F9535/11/ja"
"特開2014-237337","特願2013-119672","2013/06/06","2014/12/18","ドライバ状態検出装置","スズキ株式会社","B60W40/08,G08G1/16@F","(57)【要約】
【課題】  ドライバーの運転状態の異常発生を正確に検<BR>知する。
【解決手段】  自動車の車両中心線上における車両固定<BR>点の目標コースからのずれ量とハンドル操舵角データを<BR>解析する解析区間を抽出し（Ｓ１２）、各区間で検出さ<BR>れたずれ量、ハンドル操舵角データのうちフーリエ変換<BR>対象となるデータの切り出しを行う（Ｓ１４）。ずれ量<BR>データとハンドル操舵角データのフーリエ変換を行い、<BR>正常運転時の周波数成分比を算出する（Ｓ１６）。デー<BR>タ取得開始時刻を適宜変更し（Ｓ２２、Ｓ２４）、Ｓ１<BR>２～Ｓ１６の処理を繰り返し（Ｓ２６）、ずれ量データ<BR>とハンドル操舵角の周波数成分比を取得し（Ｓ２８）、<BR>正常時データの周波数成分比と比較し、運転状態の異常<BR>判定を行う（Ｓ３０）。
【選択図】  図２
","特開2014-237337","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-237337/BA4093771EF1AD117AE158EAFCFE3AEF0F093EE3B3A3CA4C5C350DC2FDA87CB2/11/ja"
"特開2014-234926","特願2013-235969","2013/11/14","2014/12/15","車両用変速制御装置および方法","現代自動車株式会社,起亞自動車株式会社","B60W10/06,B60W10/11,B60W40/09,F16H61/02","(57)【要約】
【課題】運転者の長期運転性向と短期運転性向に差があ<BR>る場合に運転者の長期運転性向を補正した補正性向指数<BR>によって変速を制御する車両用変速制御装置および方法<BR>を提供する。
【解決手段】本発明による車両用変速制御装置は、変速<BR>制御のためのデータを検出するデータ検出部と、前記デ<BR>ータに基づいて運転者の短期運転性向指数と長期運転性<BR>向指数を計算し、前記運転者の短期運転性向指数または<BR>長期運転性向指数によってエンジンまたは変速機を制御<BR>する制御ユニットとを含み、前記制御ユニットは前記短<BR>期運転性向指数と長期運転性向指数の差を計算し、前記<BR>短期運転性向指数と長期運転性向指数の差が基準指数差<BR>以上である場合に長期運転性向指数を補正した補正性向<BR>指数によって変速を制御することができる。
【選択図】図５
","特開2014-234926","","特許6265696","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-234926/7476C3806656EBA7AD847C32C0184AB4B92118B5D47D553CC5556AE6A2641277/11/ja"
"特開2014-234153","特願2013-245765","2013/11/28","2014/12/15","運転者の短期運転性向を判断する装置及び方法","現代自動車株式会社,起亞自動車株式会社","B60W40/09,G08G1/16@C","(57)【要約】
【課題】車両の速度及び車間距離から運転者の短期運転<BR>性向を正確に判断することによって顧客のニーズに合わ<BR>せた変速が遂行できるようにする。
【解決手段】本発明による運転者の短期運転性向を判断<BR>する装置は、車両速度及び車間距離を検出するデータ検<BR>出部と、前記車両速度及び前記車間距離を用いて運転者<BR>の短期運転性向を判断する制御ユニットと、を含み、
  前記制御ユニットは、前記車両速度及び前記車間距離<BR>それぞれに対応するメンバーシップ関数を設定して、前<BR>記車両速度及び前記車間距離に対する複数のファジー結<BR>果値を抽出し、前記複数のファジー結果値を用いて前記<BR>短期運転性向を判断することを特徴とする。
【選択図】図２
","特開2014-234153","","特許6389602","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-234153/9B7613577CBB7D236E77309C2DBED9B1FDC5163C203C7579146ECB641EDCB1D8/11/ja"
"特開2014-230456","特願2013-110762","2013/05/27","2014/12/08","車両用制動制御装置","日産自動車株式会社","B60L3/00@H,B60L7/24@D,B60R16/02,650@A,B60T8/17@C,B60W10/00,120,B60W10/08,B60W10/188,B60W50/14,F02D29/02@L,F02D29/02,341,F02D29/06@D","(57)【要約】
【課題】操作者に対する非エコ状態である旨の報知を精<BR>度よく実行できる車両用制動制御装置を提供する。
【解決手段】ブレーキペダル２１の踏込量に応じた要求<BR>制動力に基づいて実際の制動力の判断対象値を算出する<BR>算出手段５０と、制動操作を含む車両の運転操作がエコ<BR>状態であるか否かを判断する制動力の判断閾値を設定す<BR>る閾値設定手段５０と、前記判断対象値が前記判断閾値<BR>より大きいか否かを判断し、前記判断対象値が前記判断<BR>閾値より大きい場合には、制動操作を含む車両の運転操<BR>作がエコ状態ではない旨の報知を行う報知手段５０と、<BR>走行レンジを選択するセレクトレバーの位置を検出する<BR>検出手段と、前記セレクトレバーの位置がドライブレン<BR>ジ以外にある場合に、前記閾値設定手段の前記判断閾値<BR>を大きくするか、前記算出手段の前記判断対象値を小さ<BR>くするか、又は前記報知手段の報知量を小さくする切換<BR>手段５０と、を備える。
【選択図】  図１
","特開2014-230456","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-230456/82F44CFCE992BDE2921448FC80733EB44108C4B62F1AC23E3C3BFF4ECDEF5A20/11/ja"
"特開2014-229123","特願2013-109044","2013/05/23","2014/12/08","覚醒維持支援装置","学校法人常翔学園,株式会社デンソー","A61B5/18,B60K28/06@Z,B60W40/114,B60W50/12,G08B21/06,G08G1/16@F","(57)【要約】
【課題】覚醒維持支援装置において、使用者の覚醒低下<BR>とは異なる視点のパラメータとして当該使用者の覚醒努<BR>力を参照することにより、警報等の覚醒維持支援をより<BR>適切に実行すること。
【解決手段】覚醒低下Ａ及び覚醒努力Ｅが増加する（フ<BR>ェーズＦ１）。更に覚醒低下Ａが増加し覚醒努力Ｅが減<BR>少し、最終的には居眠りまたはそれに近い状態に至る（<BR>フェーズＦ２）。一方、そのような極めて強い覚醒低下<BR>状態から覚醒低下Ａが徐々に減少し覚醒努力Ｅは増加す<BR>る（フェーズＦ３）。そして、覚醒低下Ａがある程度以<BR>下に減少し覚醒努力Ｅも減少する（フェーズＦ４）。ま<BR>た、覚醒低下Ａを横軸に、覚醒努力Ｅを縦軸に取った領<BR>域全体を、覚醒低下Ａ，覚醒努力Ｅに閾値を設定するこ<BR>とで４つの領域Ａ１～Ａ４に区分する。本発明はフェー<BR>ズ及び領域の少なくとも一方に応じて支援方法を選択す<BR>る。
【選択図】図２
","特開2014-229123","","特許6039504","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-229123/3B92EED7F9CBD2B2D12FC4C164A45EE72D8589E1A7EFCF24E0EB82C38AA6E806/11/ja"
