"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特表2018-520045","特願2017-566625","2016/06/20","2016/12/29","車両速度の制御方法","ベントレー　モーターズ　リミテッド","B60W50/00,G01C21/34,B60W40/105,B60W30/09,B60W30/16,B60W30/10,B60W50/14,B60W50/16,G08G1/00@D","(57)【要約】
  経路及び交通状況に関する情報に対する応答として、<BR>車両、特に、自動車の速度を制御する方法に関するもの<BR>である。本方法は、ナビゲーション・システムからの計<BR>画経路データに基づいて、及び／または、繰返行程ロガ<BR>ーからのデータに基づいて、少なくとも想定経路の一部<BR>を特定する。本方法は、想定経路に基づいて、最適な制<BR>動または加速点を決定し、最適な制動または加速点に基<BR>づいて、運転者に速度プロファイルを調整するためのサ<BR>インを送る。本方法は、繰返行程ロガーで追跡された車<BR>両が辿った複数の経路に沿う車両の複数の速度プロファ<BR>イルも記録し、これら速度プロファイルを使用して、最<BR>適な制動または加速点を決定する。サインを出力する代<BR>わりに、または、それと同時に、本方法は、最適な制動<BR>または加速点に基づいて、車両の速度プロファイルを調<BR>整してもよい。
【選択図】  図２
","特表2018-520045","","特許6898870","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-520045/B1C7BD8E12BE488069C78B1E4D9D407E76A3DE46974366E1C82FA97EC5635D45/11/ja"
"特開2016-224601","特願2015-108427","2015/05/28","2016/12/28","運転支援装置及び車両","日産自動車株式会社","G08G1/16@A,B60R21/00,628@B,B60W30/14,B60W40/09,G08G1/09@H,B60W40/04,B60R21/00,992,B60R21/00,993","(57)【要約】
【課題】他車両の顕在化していない交通阻害行動を事前<BR>に検知して、この顕在化していない交通阻害行動に対し<BR>ても、リスク低減行動を実行させる。
【解決手段】運転支援装置（３）は、取得した他車両の<BR>運転履歴に基づき、過去の他車両の交通阻害行動に関す<BR>る情報を抽出し（３１）、抽出した交通阻害行動に関す<BR>る情報から他車両のリスクを設定する（３２）。そして<BR>、運転支援装置は、設定されたリスクと、制御対象車両<BR>の位置に関する情報と、他車両の位置に関する情報とを<BR>用いて、制御対象車両（２）のリスク低減行動を決定し<BR>（３４）、決定したリスク低減行動を制御対象車両に行<BR>わせるためのリスク低減制御信号を生成する（３５）。
【選択図】図１
","特開2016-224601","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-224601/427914BC36124BCE32DC4BBB745CEED155517338785CEBE5395B7F620B15991C/11/ja"
"特開2016-222157","特願2015-111776","2015/06/01","2016/12/28","車両の表示装置","トヨタ自動車株式会社","B60W50/14,G01D7/00@K,F16H63/42,F16H61/16,F16H59/66,B60K23/00@H,B60K23/00@J","(57)【要約】
【課題】登降坂変速制御を実行可能な車両において、登<BR>降坂変速制御の作動および車両の制御状態を把握するこ<BR>とができる車両の表示装置を提供する。
【解決手段】登降坂変速制御の実行中は、路面勾配θが<BR>表示されることにより運転者が登降坂変速制御の作動を<BR>認識することができる。さらに、変速可能な変速可能領<BR>域および変速が制限される変速制限領域が表示されるこ<BR>とで、運転者が変速比γの制御状態を認識できるため、<BR>変速による運転者への違和感を緩和することができる。
【選択図】図１
","特開2016-222157","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-222157/6FAC5A3E296F240097331A69A4084FA0187796850779FE1A83037EA9793F1FE3/11/ja"
"特開2016-222143","特願2015-111333","2015/06/01","2016/12/28","自動運転制御装置","株式会社デンソー","B60W40/04,B60R21/00,628@B,G08G1/00@X,B60W50/14,G08G1/16@C,G08G1/0962,B60R21/00,992,B60R21/00,993,B60W60/00","(57)【要約】
【課題】自動運転時に実施される運転行動に対するドラ<BR>イバの安心感を向上させる技術を提供する。
【解決手段】周辺情報取得部（２１）は、自車両に搭載<BR>されたセンサを用いて、自車両および自車両周辺の状況<BR>を表す周辺情報を取得する。行動決定部（２３）は、周<BR>辺情報取得部が取得する周辺情報より広い範囲の状況を<BR>含んだ環境情報に従って車両の運転行動を決定する。走<BR>行制御部（２２）は、行動決定部で決定された運転行動<BR>に従って自車運転を実施する。事前通知部（２４）は、<BR>行動決定部で決定された運転行動が、周辺情報取得部に<BR>より取得された周辺情報から推定される許容範囲内の行<BR>動から外れた非日常行動である場合、その非日常行動を<BR>実施する理由を事前に通知する。
【選択図】図２
","特開2016-222143","","特許6398877","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-222143/FE83D87EF5FEFE9D8B0892673D7026AB023B65334A275D92910236599E3404F4/11/ja"
"特開2016-222129","特願2015-110991","2015/05/31","2016/12/28","走行制御装置、走行制御方法","株式会社デンソー","B60W30/182,G08G1/16@F,B60W50/08,G08G1/00@X,B60W60/00","(57)【要約】
【課題】手動走行中の走行の安全性をより一層高めるこ<BR>とを可能とする。
【解決手段】車両が手動走行制御状態の場合に、運転者<BR>の運転操作に対する集中を阻害する事項として設定され<BR>た所定の集中阻害事項の発生を検知する。そして、手動<BR>走行制御状態の時に集中阻害事項が発生したことを検知<BR>すると、車両の制御状態を、手動走行制御状態から自動<BR>走行制御状態に切り換える。こうすれば、車両が手動走<BR>行制御状態の時に集中阻害事項が発生して、運転者の運<BR>転に対する注意力が一時的に低下した場合でも、車両の<BR>制御状態が自動走行制御状態に切り換わるので、走行の<BR>安全性を確保することができる。
【選択図】図２
","特開2016-222129","","特許6439591","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-222129/C9EC2855584954F9E1EA199582451F704A9EDC88B94D628A0EFBC09BB796228E/11/ja"
"特開2016-222096","特願2015-109726","2015/05/29","2016/12/28","追従走行制御装置","三菱自動車工業株式会社","B60W30/16,G08G1/09@D,B60W50/14,G08G1/16@E,B60W50/10","(57)【要約】
【課題】一般道路で追従走行をする場合に、二酸化炭素<BR>の排出量を抑制すると共に、安全な走行をより確実に実<BR>現することを可能にする。
【解決手段】追従走行制御装置は、先行車両に追従する<BR>追従制御を行う制御部を備える追従走行制御装置であっ<BR>て、信号機の各灯色の各々の点灯時間のサイクルに関す<BR>る信号サイクル情報、及び車両から信号機までの距離に<BR>関する信号位置情報を含む信号情報を取得する信号情報<BR>取得部と、先行車両を含む周辺を走行する他車両の走行<BR>速度を取得する周辺車両走行速度取得部と、を備える。<BR>前記制御部は、前記信号情報取得部で取得した信号情報<BR>に基づいて、自車両の前方の信号機を青色の状態で通過<BR>可能な推奨走行速度を算出する算出手段と、前記算出手<BR>段で算出した前記推奨走行速度から所定範囲内で周辺を<BR>走行し、前記自車両が追従可能である他車両を前記周辺<BR>車両走行速度取得部を通じて検出する検出手段と、を備<BR>える。
【選択図】図５
","特開2016-222096","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-222096/DB46BC783366C4E2DA727A137B8162ED5D6B2D7D3EA13984CDD0689DF80C52C0/11/ja"
"特表2018-520044","特願2017-565728","2016/05/09","2016/12/22","自動車の制御方法","ローベルト　ボツシユ　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング","B60W50/12,B62D6/00,B60W30/08,B60W60/00","(57)【要約】
  本発明は、自動車（１００）を制御するための方法（<BR>２００）に関しており、この方法（２００）は、自動車<BR>（１００）を、道路上で運転者に依存することなく誘導<BR>するステップ（２０５）と、自動車（１００）の事故状<BR>況を検出するステップ（２２０）と、車両誘導への運転<BR>者（１１５）の介入の試みを検出するステップ（２３５<BR>）と、介入の試みが誘導の試みではないことを特定する<BR>ステップ（２４０）と、自動車（１００）の誘導を維持<BR>するステップ（２５０）とを含んでいる。
","特表2018-520044","","特許6808656","拒絶2019-013149","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-520044/AB08F4259A7B239E09065BB02E755386675C8D17FAC13E1AA9F34A32DE04584F/11/ja"
"特開2016-216029","特願2015-252675","2015/12/24","2016/12/22","運転支援方法およびそれを利用した運転支援装置、自動運転制御装置、車両、プログラム","パナソニックＩＰマネジメント株式会社","B60W50/14,G08G1/133,B60W60/00","(57)【要約】
【課題】車両の自動運転中に、乗員に対して有用な情報<BR>を提示する。
【解決手段】運転支援装置１０４０内の画像生成部は、<BR>自動運転中に走行環境により車両が実行可能な行動を表<BR>す第１画像と、前記行動の根拠を表す第２画像を生成す<BR>る。画像出力部１０５１は、画像生成部において生成さ<BR>れた第１画像と第２画像を関連付けて前記車両内の報知<BR>装置１００２に出力する。車両１０００が実行可能な行<BR>動は、行動候補の中か運転者により選択されたものであ<BR>ってもよい。
【選択図】図３２
","特開2016-216029","","特許6551790","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-216029/911CD892322B962A4C835FED28237E22557C0831E08CB8D7FAA5220FAD4B74EC/11/ja"
"特開2016-216028","特願2015-252674","2015/12/24","2016/12/22","運転支援方法およびそれを利用した運転支援装置、運転制御装置、車両、運転支援プログラム","パナソニックＩＰマネジメント株式会社","B60W50/14,B62D6/00,B60K35/00@Z,G08G1/16@C,B60W30/14,B60W30/182,B60W60/00","(57)【要約】
【課題】車両の自動運転中に、運転者に対して有用な情<BR>報を提示する。
【解決手段】運転支援装置１０４０は、車両１０００の<BR>周囲状況および走行状態を検出する検出部１０２０から<BR>、検出結果を示す検出情報を取得する。運転支援装置１<BR>０４０は、車両１０００の周囲状況および走行状態と車<BR>両１０００の行動との関連性を示す第１統計情報と、検<BR>出情報に基づいて、車両１０００に実行させる予定の行<BR>動になり得る第１行動を決定する。運転支援装置１０４<BR>０は、上記の関連性を示す統計情報であり、第１統計情<BR>報とは統計の範囲が異なる第２統計情報と、検出情報に<BR>基づいて、車両１０００に実行させる予定の行動になり<BR>得る第２行動を決定する。運転支援装置１０４０は、第<BR>１行動を表す第１画像と第２行動を表す第２画像を生成<BR>し、車両１０００の運転者の一定視野内に第１画像と第<BR>２画像を表示させる。
【選択図】図３２
","特開2016-216028","","特許6558735","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-216028/457420F5186E0A2213A96EF73C7872F4C2966F20AE544036C20BF80FE96285B0/11/ja"
"特開2016-216027","特願2015-252673","2015/12/24","2016/12/22","運転支援方法およびそれを利用した運転支援装置、運転制御装置、車両、運転支援プログラム","パナソニックＩＰマネジメント株式会社","B60W50/14,B62D101:00,B62D6/00,B60K35/00@Z,G08G1/0962,B62D103:00,B60W30/14,B62D113:00,B60W30/182,B62D117:00,B60W60/00","(57)【要約】
【課題】車両の自動運転中に、運転者に対して有用な情<BR>報を提示する。
【解決手段】運転支援装置１０４０は、車両１０００の<BR>周囲状況および走行状態を検出する検出部１０２０から<BR>、検出結果を示す検出情報を取得する。運転支援装置１<BR>０４０は、車両１０００の周囲状況および走行状態と車<BR>両１０００の行動との関連性を示す第１統計情報と、検<BR>出情報に基づいて、車両１０００が実行可能な第１行動<BR>を決定する。運転支援装置１０４０は、上記の関連性を<BR>示す統計情報であり、第１統計情報とは統計の範囲が異<BR>なる第２統計情報と、検出情報に基づいて、車両１００<BR>０が実行可能な第２行動を決定する。運転支援装置１０<BR>４０は、第１行動を表す第１画像を生成し、第２行動を<BR>表す第２画像を生成し、車両１０００の運転者の一定視<BR>野内に第１画像と第２画像を表示させる。
【選択図】図３２
","特開2016-216027","","特許6558734","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-216027/40548C68B77A93264AACC8B51649217E0267D99789B955F269B61009BBB77A1C/11/ja"
