"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特表2019-525301","特願2018-567295","2016/06/24","2017/12/28","自動化されたリスク制御システムを含む自律的又は部分的に自律的な自動車及びそれに対応する方法","スイス　リインシュランス　カンパニー　リミテッド","G06Q40/08,B60W30/14,B60W30/10,B60W50/14,B60W30/085,G08G1/00@D,B60W60/00","(57)【要約】
  本発明は、自律的な又は部分的に自律的な複数の自動<BR>車（４１，・・・，４５）に関連する自動車システム（<BR>１）及びその方法を提案する。自律的な又は部分的に自<BR>律的な自動車（４１，・・・，４５）は、環境パラメー<BR>タ（４０１１１）を感知するための外的センサ（４０１<BR>１）と、自動車（４１，・・・，４５）の動作パラメー<BR>タを感知するための固有センサ（４０１２）とを有する<BR>。自動車（４１，・・・，４５）は、さらに、外的セン<BR>サ及び固有センサ（４０１１／４０１２）の感知データ<BR>（４０１１１／４０１２１）を解釈し、適切なナビゲー<BR>ション経路及び／又は障害物及び／又は関連する標識を<BR>識別する自律的又は部分的に自律的な運転制御システム<BR>（４６１，・・・，４６５）を含む。自動車（４１，・<BR>・・，４５）又は自動車制御システム（４６１，・・・<BR>，４６５）は、少なくとも使用ベース（３１）及び／又<BR>はユーザベース（３２）及び／又は動作（３３）の自動<BR>車データ（３）を中央機械学習に基づく回路（１１）に<BR>送信するデータリンク（２１）によって中央機械学習に<BR>基づく回路（１１）接続され、使用ベース（３１）及び
","特表2019-525301","","特許6849705","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-525301/DE42B80FD1CB00C5991FBBED2BAEE68AD5B63E47D91DC96A228CB48A3A557761/11/ja"
"特開2017-228076","特願2016-123554","2016/06/22","2017/12/28","運転支援装置","本田技研工業株式会社","G08G1/16@C,B60R21/00,628@E,B60W50/14,B60R21/00,624@B,B60R21/00,991,B60R21/00,992,B60R21/00,993","(57)【要約】
【課題】車線変更を確実に隣接車線の追い越し対象とな<BR>る他車両に伝えることができる運転支援装置を提供する<BR>。
【解決手段】車両２を左側の隣接車線に車線変更するよ<BR>うに制御部３により判断された場合、制御部３は、車間<BR>センサ９により検出された他車両２０までの距離が設定<BR>距離以上であるか否かを判定する。他車両２０までの距<BR>離が設定距離以上である場合、制御部３は、左前ウィン<BR>カー８ａ及び左後ウィンカー８ｃを点滅させる。制御部<BR>３は、エンジン５の駆動を制御して、エンジン５への燃<BR>料供給量を減少させるエンジンブレーキにより減速しな<BR>がら、ステアリング７を反時計方向に回転させて、車両<BR>２を隣接車線で他車両２０の前に車線変更させる。制御<BR>部３は、カメラ１０の撮影画像に基づいて、隣接車線を<BR>検出して車線変更が完了したか否かを判定し、車線変更<BR>が完了したと判定した場合、左前ウィンカー８ａ及び左<BR>後ウィンカー８ｃを消灯させる。
【選択図】図３
","特開2017-228076","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-228076/9F655CCC10AFCE092AF2FA650069372FA4B975BD2032E7E57AFDCFDFD34046FA/11/ja"
"特開2017-226416","特願2017-178893","2017/09/19","2017/12/28","車両情報表示装置および車両情報交換装置","ＮＬ技研株式会社,田中　雅英","B60R16/02,640@K,G01C21/26@C,B60W50/14,B60K35/00@Z,F02D45/00,364@M,F02D45/00,369","(57)【要約】
【課題】経済効率が高く環境負荷の小さい運転への情報<BR>提供できる車両情報表示装置を提案する。運転者と車両<BR>との間の適切な情報交換が容易に行える車両情報交換装<BR>置を提案する。
【課題を解決するための手段】燃費を運転者別に集計し<BR>て表示する。燃費を有料道路料金発生の有無別に集計し<BR>て表示する。燃費と燃料単価に基づくエネルギー料金と<BR>有料道路料金を総合して走行に必要な総合費用を算出し<BR>て表示する。走行にかかった費用および走行にかかった<BR>時間を含む総合コストを算出して表示する。カーナビに<BR>おける複数の走行ルート候補について推定走行費用およ<BR>び推定走行時間を含む推定総合コストを算出して表示す<BR>る。過去の個人別実績を参照して推定する。情報交換部<BR>により免許証情報を読出して認証するとともに個人別走<BR>行実績を書き込む。免許証認証できないと走行を禁止す<BR>る。ＥＴＣカードと免許証を共通スロットに挿入可能と<BR>する。
【選択図】図１
","特開2017-226416","","特許6654311","拒絶2019-012236","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-226416/566C8D9DCCD4E24BCF8E6BB0909088A9F46FC1E44E495E1C5BD27CE41FE96559/11/ja"
"特開2017-226373","特願2016-125183","2016/06/24","2017/12/28","車両走行制御装置","トヨタ自動車株式会社","B60W40/08,B60K28/06@Z,G08G1/16@F,B60W50/08","(57)【要約】
【課題】  ヘルプネットワークシステムＨＮＳを利用し<BR>て運転者の救助などの緊急処置を適切に行うことができ<BR>る車両の車両走行制御装置を提供する。
【解決手段】  運転支援ＥＣＵ１０は、車両の運転者が<BR>、車両を運転する能力を失っている異常状態にあると判<BR>定したとき、ヘルプネットセンタＨＮＣに通信接続要求<BR>を送信し、ヘルプネットセンタＨＮＣとの通信接続が確<BR>立した場合に、ヘルプ信号（車両位置情報）を送信しつ<BR>つ車両を一定の減速度で減速させて停止させる。一方、<BR>ヘルプネットセンタＨＮＣとの通信接続が確立しない場<BR>合には、運転支援ＥＣＵ１０は、車両を定速走行させる<BR>。これにより、異常状態にあると判定された運転者の乗<BR>っている車両の位置をヘルプネットセンタＨＮＣが認識<BR>している状況下で、車両を停止させることができる。
【選択図】  図２
","特開2017-226373","","特許6508137","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-226373/DA6155C49B95CC3F31221E8FD8FB09C1485F8C8FCBB69077EF0A2C4B7C2824D4/11/ja"
"特開2017-226372","特願2016-125182","2016/06/24","2017/12/28","車両走行制御装置","トヨタ自動車株式会社","B60W40/08,B60R21/00,628@B,B60K28/06@Z,G08B21/04,G08B25/08@A,G08G1/16@F,B60R21/00,991,B60R21/00,992,B60R21/00,993","(57)【要約】
【課題】  ヘルプネットセンタＨＮＣへの通報を適切な<BR>タイミングにて行う。
【解決手段】  運転支援ＥＣＵ１０は、車両の運転者が<BR>、車両を運転する能力を失っている異常状態にあると最<BR>初に判定したとき、運転者の状態を「仮異常」に設定し<BR>て、車両を減速させる。運転支援ＥＣＵ１０は、車速が<BR>設定車速にまで低下しても、運転者の異常状態が継続さ<BR>れている場合に、運転者の状態を「本異常」に変更し、<BR>この段階で、ヘルプネットセンタＨＮＣに通報する。
【選択図】  図２
","特開2017-226372","","特許6544305","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-226372/5003FB3C004C7EA32E914E1189934E217F5B7E54CBAB44FEC3AA14A366406C8B/11/ja"
"特開2017-226343","特願2016-124645","2016/06/23","2017/12/28","車両制御システム、車両制御方法、および車両制御プログラム","本田技研工業株式会社","B60N2/44,A47C7/54@F,B60K28/10@Z,B60W30/10,G08G1/00@X,A47C7/54@B,B60N2/46,B60W30/14,G08G1/16@C,B60W50/14,B60N2/75,B60N2/90,B60W60/00","(57)【要約】
【課題】自動運転の度合の遷移状態に応じて、乗員に対<BR>して腕を休める環境が提供可能とすることを目的の一つ<BR>とする。
【解決手段】車両の加減速および操舵のうち少なくとも<BR>一方を自動的に制御する自動運転制御部であって、自動<BR>運転の度合が異なる複数のモードの何れかで自動運転制<BR>御を行う自動運転制御部と、前記自動運転の度合に応じ<BR>て前記車両の乗員が着座するシートのアームレストの位<BR>置を制御する位置制御部と、を備える。
【選択図】図２
","特開2017-226343","","特許6778516","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-226343/5A2EB393EFD0C669FB205EBE223CB68B41BE5DE54A9FA6DBD2DF1288DCDD7F19/11/ja"
"特開2017-226309","特願2016-123560","2016/06/22","2017/12/28","車両制御装置","トヨタ自動車株式会社","B60W30/182,G01C21/34,G08G1/00@X,B60W50/10,B60W60/00","(57)【要約】
【課題】運転者の運転操作を妨げることなく、協調運転<BR>状態への切り替えの意図を受け付ける。
【解決手段】車両Ｖの運転状態を切り替え可能な車両制<BR>御装置１００であって、車両Ｖのアクセルペダル及びブ<BR>レーキペダルよりも車両Ｖの左側に設けられた切替ペダ<BR>ル５と、切替ペダル５の踏み込み状態を検出する踏込状<BR>態検出部１５と、車両Ｖの運転状態を、自動運転状態、<BR>協調運転状態及び手動運転状態に切り替える運転状態切<BR>替部１７と、を備え、運転状態切替部１７は、運転状態<BR>が自動運転状態のときに踏込状態検出部１５によって切<BR>替ペダル５の踏み込みが検出された場合、運転状態を協<BR>調運転状態に切り替える。
【選択図】図１
","特開2017-226309","","特許6443403","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-226309/855158409AEC1CFD2FFD7CCF4404639DA2794742625C3B69CEAA2FE340EDBDA7/11/ja"
"特開2017-226253","特願2016-121972","2016/06/20","2017/12/28","車両制御システム、車両制御方法、および車両制御プログラム","本田技研工業株式会社","B60N2/44,A47C7/50@A,B60N3/06,B60W30/10,G08G1/00@X,B60N2/02,B60W30/14,G08G1/16@C,B60W50/14,B60N2/90,B60W60/00","(57)【要約】
【課題】乗員が操作することなく、自動運転の度合の遷<BR>移状態に応じてオットマンの位置を変更することを可能<BR>とすることを目的の一つとする。
【解決手段】車両の加減速および操舵のうち少なくとも<BR>一方を自動的に制御する自動運転制御部であって、自動<BR>運転の度合が異なる複数のモードの何れかで自動運転制<BR>御を行う自動運転制御部と、前記自動運転の度合に応じ<BR>て前記車両の乗員が着座するシートのオットマンの位置<BR>を制御する位置制御部と、を備える。
【選択図】図２
","特開2017-226253","","特許6735160","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-226253/DFC70D22F893DD20E46B16A6F276DF4339ACE8B5550AD824BDBC46362E5AB278/11/ja"
"特開2017-225647","特願2016-124111","2016/06/23","2017/12/28","運転時の心理状態解析方法","国立大学法人名古屋大学","A61B5/18,B60W50/10,G08G1/16@C","(57)【要約】
【課題】  車両の運転時の心理状態を解析する。
【解決手段】  車両の運転時の生体反応、および運転者<BR>の心理状態に影響を与える外部刺激を逐次取得する。ま<BR>た、運転者による運転中の心理状態についての申告も併<BR>せて取得する。外部刺激としては、道路構造に関するも<BR>の、他車両や歩行者の動きに関するものなどが挙げられ<BR>、これらの外部刺激を時刻と対応づけて整理する。また<BR>、運転者の申告を解析し、不快または不安という心理的<BR>要素に割り当てて整理する。こうして得られたデータに<BR>基づいて、外部刺激と心理的要素、および生体反応と心<BR>理的要素のそれぞれについて相関を解析した上で、心理<BR>的要素を潜在変数として、外部刺激と生体反応との相関<BR>を構造解析する。こうすることによって、運転中に運転<BR>者に与えられる不快、不安などの運転ストレスと、その<BR>要因としての外部刺激との関係を科学的に把握すること<BR>が可能となる。
【選択図】  図１
","特開2017-225647","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-225647/F220AA56C3CBDB72A369DDEE33C5639E63F7C347C886D700A76CABC1ABFBF406/11/ja"
"再表2017/216856","特願2018-523063","2016/06/14","2017/12/21","車間距離推定方法及び車間距離推定装置","日産自動車株式会社","H04N7/18@J,B60W50/14,B60W40/04,G08G1/16@C","(57)【要約】
  車間距離推定方法は、障害物によりセンサから遮蔽さ<BR>れる遮蔽領域と、遮蔽領域を挟む２つの非遮蔽領域とを<BR>推定し、２つの非遮蔽領域の同一車線上をそれぞれ走行<BR>する２台の追跡車両の速度に基づいて、遮蔽領域の同一<BR>車線上を走行する追跡車両に対する車間距離を推定する<BR>。
","WO2017/216856","","特許6699728","","再表2017/216856","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-216856/439E5C51F2EBC991C3944530063B22E0E890997BEFC39688360AEB6FBF8C1016/19/ja"
