"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"再表2018/096688","特願2018-552381","2016/11/28","2018/05/31","運転支援装置、運転支援システム、プログラム及び運転支援装置の制御方法","本田技研工業株式会社","B60W30/188,B60W40/09,G08G1/00@D,G08G1/09@F","(57)【要約】
  車両の各種制御の設定をより高精度に設定する。
  運転者による車両（１０、２０）の運転操作状況を検<BR>出する運転操作状況検出部（１１、２１）と、車両（１<BR>０、２０）が走行する環境を検出する環境検出部（１４<BR>、１２２、１２６、１７２、２４、２２２、２２６、３<BR>２２）と、運転者の感情又は感情の変化を検出する感情<BR>検出部（１２４、１２５、１７４、２２４、２２５、３<BR>２４）と、環境検出部（１４、１２２、１２６、１７２<BR>、２４、２２２、２２６、３２２）が検出する環境にお<BR>ける運転者の運転操作状況と、運転操作のときの運転者<BR>の感情又は感情の変化とに基づいて、車両（１０、２０<BR>）に対する運転者の特性を推定する特性推定部（１７３<BR>、１７４、３２３、３２４）と、特性推定部（１７３、<BR>１７４、３２３、３２４）が推定する運転者の特性に基<BR>づいて、車両（１０、２０）における各種制御の設定を<BR>変更する変更部（１７５、３２５）と、を備える。
","WO2018/096688","","特許6648304","","再表2018/096688","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-096688/6D772A8A264918658776DCE81BE20C54853BEADB401922862CBB4225CF725B4E/19/ja"
"特開2018-085035","特願2016-228962","2016/11/25","2018/05/31","無線給電システム及び送受電監視プログラム","株式会社デンソー","G08G1/16@F,B60W40/08,B60W50/14","(57)【要約】
【課題】電磁波の送受信状態が不安定になった場合でも<BR>、運転者が適切に対処し、運転者の脳活動を安定して計<BR>測する。
【解決手段】ヘッドセット２は、運転者の頭部に装着さ<BR>れ、受電アンテナ４により受信した電磁波を用いて電力<BR>を生成し、その生成した電力により脳センサ８ａ～８ｎ<BR>を駆動して運転者の脳活動を計測し、その計測結果を示<BR>す脳活動計測データを送信する。車両側システム３は、<BR>送電アンテナ１３から電磁波を送信し、ヘッドセット２<BR>から脳活動計測データを受信すると、その受信した脳活<BR>動計測データを用いて運転者の脳活動を監視する。電磁<BR>波の送受信状態を監視する送受電監視部１１ｂ，１１ｃ<BR>と、送受電監視部の監視結果を報知部１７から報知する<BR>報知制御部１１ｄと、を備える。
【選択図】図１
","特開2018-085035","","特許6617686","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-085035/5783B4D8F02AB32FA4FFAE2811D75289199CAC859EEC37CEFF93117E1EDB38B9/11/ja"
"特開2018-084981","特願2016-228034","2016/11/24","2018/05/31","走行制御方法及び走行制御装置","日産自動車株式会社","G08G1/16@A,B60W50/08,A61B5/04,322,B60W60/00,A61B5/18,A61B5/16,120","(57)【要約】
【課題】自車両の挙動に対して運転者が覚える違和感を<BR>運転者毎に個別に低減することができる走行制御方法を<BR>提供する。
【解決手段】自車両の運転者が注目する他車両の挙動を<BR>検出し（Ｓ１～Ｓ３）、検出された他車両の挙動に対す<BR>る運転者の違和感を検出し（Ｓ４～Ｓ８）、自車両の走<BR>行を制御する際に、違和感が検出された挙動を自車両が<BR>行うことを抑制する（Ｓ９，Ｓ１０）ことを含む。
【選択図】図５
","特開2018-084981","","特許6880673","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-084981/790B67800F6E0A276DD4A84A7066AF2788A03AEA9619AE7700560883E4A8E5C2/11/ja"
"特開2018-083610","特願2017-157510","2017/08/17","2018/05/31","自律走行車の車両交通行動を予測して運転決定をするための方法及びシステム","バイドゥ・ユーエスエイ・リミテッド・ライアビリティ・カンパニー","B60W50/10,B60W30/10,G06F3/0488,130,G08G1/16@D,G08G1/09@H,G16Y10/40,B60W60/00,G06F3/04883","(57)【要約】
  
【課題】自律走行車の車両交通行動を予測して運転決定<BR>をするための方法及びシステムを提供する。
【解決手段】自律走行車の１つ又は複数のセンサから受<BR>信されたセンサデータに応答して１つ又は複数の予測軌<BR>跡を生成し、各予測軌跡は関連する確率を有する。ジェ<BR>スチャー認識をトリガーする１つ又は複数の運転シーン<BR>を認識する。各認識された運転シーンに対して、ジェス<BR>チャー検出プロトコルに基づいて１つ又は複数の車両か<BR>らの１つ又は複数のジェスチャーを検出する。検出され<BR>たジェスチャーに基づいて、ジェスチャー送信プロトコ<BR>ルにより自律走行車から車両と通信するための１つ又は<BR>複数のジェスチャーを送信する。検出されたジェスチャ<BR>ー、送信されたジェスチャー及び予測軌跡の関連する確<BR>率に基づいて予測軌跡を修正する。修正された予測軌跡<BR>により自律走行車を制御する。
【選択図】図５
","特開2018-083610","","特許6619778","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-083610/79A7F723C1C1218D2CB36DCC3B22B34FC1240A8A389DC57156A9CE9D36CC180D/11/ja"
"特開2018-083583","特願2016-229202","2016/11/25","2018/05/31","車両感情表示装置、車両感情表示方法および車両感情表示プログラム","本田技研工業株式会社","B60R16/02,640@K,B60W50/14,G06T7/00,130,G06T7/00,650","(57)【要約】
【課題】運転に集中している運転者にとっても車両感情<BR>を容易かつ正しく認識可能な車両感情表示装置を提供す<BR>る。
【解決手段】車両感情表示装置１は、車両状態を検出す<BR>る車両状態検出部２と、検出された車両状態に応じて車<BR>両感情を生成する車両感情生成部１２と、生成された車<BR>両感情に対応する車両の表情画像とその背景となる背景<BR>画像とを含む車両感情画像の画像信号を生成する画像生<BR>成部１４と、生成された画像信号に基づき車両感情画像<BR>を表示するモニタ６とを備える。車両感情は、基本感情<BR>と応用感情とを含み、画像生成部１４は、基本感情に対<BR>応する第１の色彩により基本感情に対応する背景画像の<BR>画像信号を生成する一方、第１の色彩および第２の色彩<BR>の組み合わせにより応用感情に対応する背景画像の画像<BR>信号を生成する。
【選択図】図１
","特開2018-083583","","特許6419134","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-083583/EB1194FD89ACC82788235E9A297ED53D9A0CA0D996A8663DB767E7762E529457/11/ja"
"特開2018-083517","特願2016-227339","2016/11/23","2018/05/31","車両システム","アルパイン株式会社","B60R21/00,624@G,B60R21/00,626@E,B60R21/00,628@C,B60W30/182,G08G1/16@C,B60R21/00,993,B60W60/00,B60W50/08,G09B9/02","(57)【要約】
【課題】自動運転から手動運転に切り替えた際に車両の<BR>走行状態が不安定になることを防止することができる車<BR>両システムを提供すること。
【解決手段】車両システムは、車両を自動運転する自動<BR>運転装置１０と、車両を運転する運転者の前方に表示画<BR>面が配置されている表示装置２６と、車両のハンドル、<BR>アクセル、ブレーキ等を運転者が操作したときに、運転<BR>者の視点位置から前方に見える物体を模擬的に再現した<BR>模擬走行コースを表示画面に表示する運転シミュレータ<BR>２４と、運転シミュレータ２４によって表示された模擬<BR>走行コース上を運転者がハンドル等を操作して走行した<BR>後に自動運転装置１０による自動運転を解除し、運転者<BR>によるハンドル４０等の操作内容を反映した手動運転に<BR>切り替える切替制御部２２とを備えている。
【選択図】図１
","特開2018-083517","","特許6797472","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-083517/26844095BB20F338E0A11110A0735BC4493BA9E4AFAEF279619E5997F964F960/11/ja"
"特開2018-083516","特願2016-227250","2016/11/22","2018/05/31","車両制御システム、車両制御方法、および車両制御プログラム","本田技研工業株式会社","B60W50/14,G08G1/16@C","(57)【要約】
【課題】走行支援に関する設定変更を容易に行わせるよ<BR>うに誘導することができる車両制御システム、車両制御<BR>方法、および車両制御プログラムを提供することを目的<BR>の一つとする。
【解決手段】車両制御システムにおいて、車両の走行支<BR>援制御に関連するイベントを実行する走行支援制御部と<BR>、前記車両の乗員の操作を受け付けるとともに画像を表<BR>示するインターフェース部と、前記走行支援制御部によ<BR>り実行中のイベントに関連して、前記車両の乗員による<BR>設定の変更が可能なメニューを提示するように、前記イ<BR>ンターフェース部を制御するインターフェース制御部と<BR>、を備える。
【選択図】図１
","特開2018-083516","","特許6532170","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-083516/82E9EB8CCA2CB5517DE109DBCD32ED89586AD60016D77CF74C8C4AEAA8A8D436/11/ja"
"特開2018-083480","特願2016-226589","2016/11/22","2018/05/31","駐車支援方法及び駐車支援装置","日産自動車株式会社","B60R21/00,628@D,G06T1/00,330@A,H04N7/18@J,B60W50/14,G06T7/00,650@A,B60R21/00,991,B60R21/00,992,B60R99/00,321,B60R99/00,322,B60R99/00,330,B60R99/00,370,G06T7/00,650","(57)【要約】
【課題】自車が駐車するとき、隣接位置に駐車している<BR>他車との距離を確保しつつ、駐車枠からのはみ出しを抑<BR>える適切な目標駐車位置を決定すること。
【解決手段】駐車枠へ自車が駐車する際に駐車を支援す<BR>る駐車支援方法において、自車Ａが駐車区画Ｓに沿った<BR>走路Ｒにて取得した空間認識情報に基づいて、駐車区画<BR>Ｓから既に駐車している他車Ｂによる占有空間を除いて<BR>自車Ａの駐車可能空間PSを推定する。自車Ａが駐車区画<BR>Ｓに沿った走路Ｒにて取得した画像情報に基づいて、自<BR>車Ａが駐車を予定している駐車枠白線SLの認識情報を抽<BR>出する。駐車可能空間PSに基づいて目標駐車位置Pt’を<BR>求め、駐車枠白線SLの認識情報に基づいて駐車枠SFの制<BR>限値L1,L2を設け、求めた目標駐車位置Pt’に対して制<BR>限値L1,L2による位置制限を加えて目標駐車位置Ptを決<BR>定する。
【選択図】図４
","特開2018-083480","","特許6776842","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-083480/F02CBCCBB93978896102245E6A18EFC5DCD8904C17DA160453AFCACF4C016227/11/ja"
"特開2018-083449","特願2016-226027","2016/11/21","2018/05/31","車両の横滑り限界車速推定装置及び横滑り防止装置","いすゞ自動車株式会社","B60T7/12@F,B60W40/072,B60W40/109,B60W50/14,B60W40/068,B60W30/02","(57)【要約】
【課題】旋回走行時の荷重移動を考慮した適正な限界車<BR>速を得る。
【解決手段】カーブ抽出部１１は、車両１の走行予定経<BR>路を示す走行予定経路情報を取得し、走行予定経路に存<BR>在するカーブの旋回半径を、取得した走行予定経路情報<BR>から抽出する。荷重推定部１２は、車両１の左右の車輪<BR>の各々について、停車中に各車輪に作用する垂直荷重を<BR>それぞれ推定する。限界横加速度演算部１７は、左右の<BR>車輪の各々について、横加速度による車幅方向の荷重移<BR>動により各車輪に作用する垂直荷重が増減した状態での<BR>限界横加速度を、路面から車両１の全体の重心までの高<BR>さと、左右の車輪の車輪間距離と、各車輪と路面との間<BR>の摩擦係数と、各車輪の上記推定した垂直荷重とを用い<BR>て算出する。限界車速演算部１３は、上記算出した左右<BR>の各車輪の限界横加速度のうち最小の限界横加速度と上<BR>記抽出した旋回半径とを用いて限界車速を算出して出力<BR>する。
【選択図】図１
","特開2018-083449","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-083449/F9C2141E88330FBB7DEDF822BA88EC6501A42F107CFBBD4DF77CC056CA6E6868/11/ja"
"特開2018-082805","特願2016-226788","2016/11/22","2018/05/31","違和感判別方法及び違和感判別装置","日産自動車株式会社","A61B5/18,B62D6/00,B60W50/14,A61B5/04,322,G08G1/16@C,B62D101:00,B62D113:00,A61B5/372","(57)【要約】
【課題】運転者の現在の状態に合わせて違和感を覚えて<BR>いるか否かを判別することを目的とする。
【解決手段】違和感判別方法では、運転者の脳活動を測<BR>定して得られた脳活動データを判別基準に照合すること<BR>により運転者が違和感を覚えているか否かを判別する（<BR>Ｓ１、Ｓ２）。そして、判別基準の適正度合いを算出し<BR>（Ｓ３）、適正度合いが所定条件を満たす場合に運転者<BR>に違和感を発生させる（Ｓ７）。違和感を発生させた時<BR>の脳活動データを用いて判別基準を変更する（Ｓ８）。
【選択図】図８
","特開2018-082805","","特許6988075","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-082805/BEAD6559523EA9C0F779FE3C7AD3AF0EC4332A753614E07D2CCD86314A14D61F/11/ja"
