"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"再表2018/235274","特願2019-524835","2017/06/23","2018/12/27","駐車制御方法及び駐車制御装置","日産自動車株式会社","B60W30/06,B60W30/08,B60W50/14,B60W40/02,B60W50/10,B60R99/00,322,B60R99/00,350","(57)【要約】
  操作者（Ｍ）から操作指令を取得し、車両（Ｖ）の周<BR>囲に存在する障害物（Ｘ）を検出し、障害物（Ｘ）を検<BR>出した場合には、操作者（Ｍ）に障害物（Ｘ）の存在を<BR>報知して、障害物（Ｘ）の存在の肯定又は否定の判断の<BR>入力を要求し、肯定の入力が得られた場合には、障害物<BR>（Ｘ）が存在する条件の下で算出された経路を移動させ<BR>る制御命令に従って車両（Ｖ）を駐車させる。
","WO2018/235274","","特許6760499","","再表2018/235274","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-235274/4FE2985F010BEFD4193FE2DAF232257069E1EE42439364BCAA4C9F519BCF7341/19/ja"
"特開2018-206401","特願2018-130641","2018/07/10","2018/12/27","車両","エイディシーテクノロジー株式会社,ＣＡＳＥ特許株式会社","G08G1/16@A,B60W40/06,B60W50/14,B60W30/02,B60W30/08,G08G1/00@J,G08G1/09@F,B60W60/00","(57)【要約】      （修正有）
【課題】安全性が高い車両を提供する。
【解決手段】車両１は、道路に関する危険の位置情報を<BR>取得する危険情報取得ユニット（送受信器３）と、自車<BR>の位置情報を取得する自車位置情報取得ユニット（ナビ<BR>システム５）と、前記危険の位置情報、及び前記自車の<BR>位置情報が所定の位置関係にある場合、危険回避処理を<BR>実行する危険回避処理実行ユニット（ナビシステム５、<BR>スピーカ７、ＡＢＳ１１、ＨＵＤ１３、滑り止め剤噴射<BR>システム２１、自動ブレーキシステム２３、及び制御部<BR>２５）と、を備える。
【選択図】図２
","特開2018-206401","","特許6721811","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-206401/35B873AC6A5CB376C504BA07C219A22474D049B70C6734DCD4C2F1F0FC5A2FAB/11/ja"
"特開2018-206308","特願2017-114485","2017/06/09","2018/12/27","旋回通知装置および旋回通知方法","富士通テン株式会社","G08G1/16@C,B60R21/00,621@C,B60R21/00,628@B,B62D7/08,B62D6/00,B60W50/14,B62D101:00,B62D113:00","(57)【要約】
【課題】後輪操舵型の車両における旋回時の安全性を向<BR>上させる旋回通知装置および旋回通知方法を提供するこ<BR>と。
【解決手段】実施形態に係る旋回通知装置は、旋回検出<BR>部と、通知部とを備える。旋回検出部は、後輪操舵型の<BR>自車両における旋回動作を検出する。通知部は、旋回時<BR>の走行軌跡が、旋回前の車両位置よりも外側に膨らむ場<BR>合に、旋回時の走行軌跡が、旋回前の車両位置よりも外<BR>側に膨らむことを通知する。
【選択図】図１Ｂ
","特開2018-206308","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-206308/5D44823FAF3E6971DAEBBABEE865CA87A4DCB83D152ABA4BB89838A13329F875/11/ja"
"特開2018-206249","特願2017-113513","2017/06/08","2018/12/27","警報出力車載器および運行管理システム","矢崎エナジーシステム株式会社","G08G1/16@C,B60W50/14,F02D29/02@L,G08B21/24,G08G1/00@D","(57)【要約】
【課題】各乗務員に対する警報の出力を最適化可能にす<BR>ると共に、様々な特性を有する各乗務員に対して十分に<BR>警報の効果が得られるようにすること。
【解決手段】各車両４１に搭載した車載器は、出庫の際<BR>に「運転者ＩＤ」を広域無線通信により送信する。事務<BR>所ＰＣ３０は、車載器から「運転者ＩＤ」を取得して、<BR>該当する乗務員の運行履歴から当日以前の過去の警告回<BR>数を取得する。この警告回数に基づき警報の出力形態を<BR>表す警告内容情報Ｄ１、警告音量情報Ｄ２を事務所ＰＣ<BR>３０が決定し、広域無線通信で該当する車載器に送信す<BR>る。各車両４１の車載器は、事務所ＰＣ３０から送信さ<BR>れる警告内容情報Ｄ１、警告音量情報Ｄ２を受信して警<BR>報出力に反映する。車載器は運行中に速度超過、急発進<BR>、急加減速などの事象を検知すると、警告内容情報Ｄ１<BR>、警告音量情報Ｄ２に従って警報を出力する。
【選択図】図２
","特開2018-206249","","特許7182119","拒絶2021-015586","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-206249/DEE83CA7CA36ED0E443A04ADD43D30B9048C71D9F077FB9DD27C91C9D63A6264/11/ja"
"特開2018-205854","特願2017-107298","2017/05/31","2018/12/27","移動体の制御システム","ダイキン工業株式会社","G08G1/00@X,B60W40/02,B60W40/08,B60W30/06,F24F11/02@S,F24F11/02@Z,B60L15/20@J,G05D1/02@H,F24F11/89,F24F120:10,F24F120:14,F24F120:20,F24F11/62,F24F11/70","(57)【要約】
【課題】室内に居る人が快適と感じる温熱環境を個別に<BR>提供できるようにする。
【解決手段】室内（11）には、温熱環境の異なる複数の<BR>温熱エリア（11a,11b,11c,11d）が形成されている。移<BR>動体（20）に乗っている人（13）がその温熱エリア（11<BR>d）で不快と感じていると判断されると、その人（13）<BR>が快適と感じる温熱エリア（11a）に向かって移動体（2<BR>0）が移動するように遠隔操作される。
【選択図】図１
","特開2018-205854","","特許6772961","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-205854/4B6E30965746E701CD2CF1C1E6023DDEEB46580CC00E2374F30784512E6B5EFB/11/ja"
"特開2018-205829","特願2017-106979","2017/05/30","2018/12/27","ライドシェア管理装置、ライドシェア管理方法、およびプログラム","本田技研工業株式会社","G08G1/123@A,G01C21/34,B60W30/095,B60W50/10,B60W50/14,G08G1/09@V,G08G1/0968,G06Q50/30,B60W60/00","(57)【要約】
【課題】車両の相乗りを行う場合に利用者の希望する乗<BR>車条件を満たす車両が無い場合でも待ち時間を低減しつ<BR>つ、利用者の希望する乗車条件を満たす配車を行うこと<BR>ができるライドシェア管理装置、ライドシェア管理方法<BR>、およびプログラムを提供すること。
【解決手段】利用者の乗車地点及び降車地点を含む乗車<BR>条件が定義された乗車リクエストを取得する取得部と、<BR>乗車リクエストの乗車条件に基づいて、配車可能な車両<BR>を検索し、乗車条件を満たす運行スケジュールを決定す<BR>る管理部であって、１台の車両で乗車条件を満たす運行<BR>スケジュールを決定できない場合、配車可能な車両の中<BR>のうち第１の車両から第２の車両に乗車条件を満たす運<BR>行スケジュールを決定する管理部と、を備えるライドシ<BR>ェア管理装置である。
【選択図】図１
","特開2018-205829","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-205829/15A21ED01BD4A203CBAA26CEFAD3D939765BD97C29D61E5759FB3978277DFFCC/11/ja"
"特開2018-205577","特願2017-112096","2017/06/06","2018/12/27","運転能力評価システムおよび運転能力評価方法","本田技研工業株式会社","G09B19/00@H,B60W40/08,G08G1/00@D,G08G1/16@F","(57)【要約】
【課題】評価対象者の幅の拡張を図りながら、車両の運<BR>転能力の評価精度の向上を図り得るシステムおよび方法<BR>を提供する。
【解決手段】複数の評価項目群のそれぞれが第１指定順<BR>序にしたがって出力インターフェース２２を通じて出力<BR>される。各評価項目群は、対象者が車両４を実際に運転<BR>していない複数の状況のそれぞれに対応しており、かつ<BR>、対象者の高次脳機能および身体機能のそれぞれを評価<BR>するための一または複数の評価項目からなる。各評価項<BR>目について入力インターフェース２１を通じて入力され<BR>た評価結果が出力インターフェース２２を通じて出力さ<BR>れる。複数の状況には、対象者が車両４に対して仮想的<BR>に接している一または複数の状況からなる「第１状況群<BR>」と、対象者が停車状態の車両４に対して実際に接して<BR>いる一または複数の状況からなる「第２状況群」と、が<BR>含まれている。
【選択図】  図１
","特開2018-205577","","特許6920892","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-205577/0DFD4E799CA21AC08878EF70BFADC842A4CE5EC81E5532E1F2FB55ED3B0ABFC6/11/ja"
"特開2018-204749","特願2017-112984","2017/06/07","2018/12/27","車両の制御装置","トヨタ自動車株式会社","F16H61/02,B60K6/48,B60K6/547,B60K6/445,B60W20/00,900,B60W10/10,900,B60W50/10,B60W30/14,F16H63/50,F16H61/04,F16H59/02,B60L11/14,B60L15/20@K,B60L50/16,B60W60/00","(57)【要約】      （修正有）
【課題】第１運転制御と第２運転制御とを選択的に行う<BR>ことが可能な車両において、自動変速機の変速特性を学<BR>習する機会を増やして変速制御の精度を速やかに向上さ<BR>せる。
【解決手段】所定の運転状態での変速における自動変速<BR>機の変速特性の学習が未完了のときであって且つ第２運<BR>転制御（自動運転制御、クルーズ運転制御）にて走行し<BR>ているときには、第１運転制御（手動運転制御）にて走<BR>行しているときと比べて、その未完了である学習が実行<BR>され易い運転状態となるように目標走行状態が補正され<BR>るので、第１運転制御時には学習の機会を十分に担保で<BR>きないような学習が第２運転制御時に実行され易くなる<BR>。よって、第１運転制御と第２運転制御とを選択的に行<BR>うことが可能な車両において、自動変速機の変速特性を<BR>学習する機会を増やして変速制御の精度を速やかに向上<BR>させることができる。
【選択図】図６
","特開2018-204749","","特許6772964","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-204749/5432618DDF04B56BE956AEAEE3884E2F9EEF6747F6EFD1EF6F694E81953A5F5A/11/ja"
"特開2018-203252","特願2018-115796","2018/06/19","2018/12/27","後方衝突を軽減するアダプティブ・クルーズ・コントロールの修正","ローベルト　ボッシュ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング","B60W30/09,B60W30/16,B60W50/14,B60W40/04,B60T7/12@F,B60T7/12@C,G08G1/16@E,G08G1/16@C","(57)【要約】      （修正有）
【課題】ホスト車両をコントロールして後方衝突を軽減<BR>するための方法およびシステムを提供する。
【解決手段】１つの方法は、ホスト車両の前方を移動す<BR>る前方車両から少なくともあらかじめ決定済みの車間距<BR>離にホスト車両を自動的に維持することを含む。その方<BR>法はまた、ホスト車両の後方を移動する後方車両を検出<BR>７２することと、後方車両がホスト車両への後方衝突の<BR>リスクを呈するときを決定７４することも含む。それに<BR>加えて方法は、コントローラによって、後方車両がホス<BR>ト車両への後方衝突のリスクを呈するときにホスト車両<BR>の速度を自動的に増加７８することと、後方車両がホス<BR>ト車両への後方衝突のリスクを呈するときにあらかじめ<BR>決定済みの車間距離を自動的に減じてホスト車両と前方<BR>車両の間の距離を減少７６させ、ホスト車両と後方車両<BR>の間の距離を増加することと、を含む。
【選択図】図４Ｂ
","特開2018-203252","","特許6808685","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-203252/650CBC152CB5C98825B6E66DBD52461D5CB9DB0D2D51B15B7E09BAEA27615653/11/ja"
"特開2018-203250","特願2018-106800","2018/06/04","2018/12/27","交通に応じた動的車両制御のためのシステムおよび方法","トヨタ　モーター　エンジニアリング　アンド　マニュファクチャリング　ノース　アメリカ，インコーポレイティド","B60W30/14,B60W50/14,B60W40/04,B60W40/09,B60L11/18@A,G08G1/0962,G08G1/09@H,G08G1/09@F,B60L58/13,B60L50/60,B60W60/00","(57)【要約】      （修正有）
【課題】交通内で運転しているときの周期的な加速およ<BR>び減速を回避するために車両の制御を容易にする。
【解決手段】方法には、車両に近接する交通の現在のレ<BR>ベルが交通閾値を満たしていることの検出に応答して、<BR>少なくとも交通の現在のレベルにしたがって制御プロフ<BR>ァイルを決定することが含まれる。制御プロファイルは<BR>、交通内を走行中に車両を減速するための制動を回避す<BR>る車両についての目標巡行速度および加速入力を少なく<BR>とも示す。該方法は、交通内を走行中に車両に目標巡行<BR>速度を実質的に維持させるため制御プロファイルにした<BR>がって車両の１つ以上の車両システムを制御することを<BR>含んでいる。
【選択図】図１
","特開2018-203250","","特許6791905","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-203250/68A6A0110142150D14F19FFAAE8C8AE966E82FDB73598F01E4C67D4C9AFCB05A/11/ja"
