"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特表2021-504812","特願2020-528314","2018/11/21","2019/05/31","自律車両のための物体相互作用予測システムおよび方法","ユーエーティーシー，　エルエルシー","G08G1/16@C,G08G1/0969,G01C21/34,B60W50/14,B60W60/00","(57)【要約】
物体の挙動を決定しかつ自律車両を制御するためのシス<BR>テムおよび方法が提供される。実施形態の一例において<BR>計算システムは、プロセッサ（単数または複数）と、命<BR>令を集合的に記憶する１または複数の有形の非一過性コ<BR>ンピュータ読み取り可能な媒体とを含み、命令は、プロ<BR>セッサ（単数または複数）によって実行されると、計算<BR>システムに動作を遂行することを行わせる。動作は、自<BR>律車両の周辺環境内の第１の物体および１または複数の<BR>第２の物体と関連付けられるデータを取得することと、<BR>少なくとも部分的にデータに基づいて第１の物体と１ま<BR>たは複数の第２の物体との間の相互作用を決定すること<BR>と、第１の物体と１または複数の第２の物体との間の相<BR>互作用に少なくとも部分的に基づいて周辺環境内の第１<BR>の物体の１または複数の予測される軌道を決定すること<BR>と、第１の物体の１または複数の予測される軌道を表示<BR>するデータを出力することとを含む。
","特表2021-504812","","特許7150846","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-504812/B93357A750B83B73D2E4339D9DE7989A8145BAA2F8D04469BAB65588101F7FE8/11/ja"
"特表2021-519717","特願2020-553542","2018/11/20","2019/05/31","自律走行車の速度計画のための不快感の利用","ウェイモ　エルエルシー","B60W50/08,B60W60/00,B60W30/10","(57)【要約】
  本開示の態様は、自律運転モードで第１の車両（１０<BR>０）を制御することに関する。自律運転モードで制御し<BR>ている間に、第２の車両（７２０、８２０、９２０、１<BR>０２０）が識別され得る。第１の車両の将来の軌道のジ<BR>オメトリが識別され得、初期許容不快値が識別され得る<BR>。値を満たすジオメトリの速度プロファイルを判定する<BR>ことは、少なくとも第１の車両の搭乗者の不快感および<BR>第２の車両の搭乗者の不快感に関する要因のセットに基<BR>づいて、速度プロファイルの不快値を判定することによ<BR>って試みられ得る。値を満たす速度プロファイルが判定<BR>できないときには、値を満たす速度プロファイルが判定<BR>されるまで、値を調整し得る。調整された値を満たす速<BR>度プロファイルは、自律運転モードで第１の車両を制御<BR>するために使用される。
【選択図】図１１
","特表2021-519717","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-519717/69C4695094AE119885BFD0C2043DEC46BC45C97F4C5501495E7B48B9AC012F1E/11/ja"
"特開2019-083017","特願2018-219478","2018/11/22","2019/05/30","自動走行制御システム、及び、センタ","株式会社デンソー","G08G1/09@V,G01C21/26@A,B60W50/12,B60W30/14,G08G1/16@A","(57)【要約】
【課題】自動走行中に生じた予期せぬ事態に円滑に対処<BR>する。
【解決手段】自動走行制御システム（１）は、車両に搭<BR>載された自動走行制御装置（２０）と、センタ（１０）<BR>とを有する。自動走行制御装置は、センタから通知され<BR>た走行ルートに沿って自動走行を行う自動走行部（２１<BR>、２３）と、センタに対し、車内で禁止行為及び／又は<BR>非常操作が発生したことを通知する発生通知を行う通知<BR>部（Ｓ１００、Ｓ１０５）と、禁止行為及び／又は非常<BR>操作が発生した場合に自車両を停車させる停車部（Ｓ１<BR>２５、Ｓ１５０）とを備える。一方、センタは、車両か<BR>ら発生通知を受け取ると、該車両の停車位置に基づき他<BR>の車両を走行させる制御部（１３、１５）を備える。
【選択図】図２
","特開2019-083017","","特許6658848","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-083017/26BB3B70AE54C094380FC2892F997F85C3D025F3E0ACBD00345AF35375B9DD54/11/ja"
"特開2019-082856","特願2017-209812","2017/10/30","2019/05/30","表示装置、表示制御方法、及びプログラム","日本精機株式会社","G06F3/0482,G02B27/01,B60R16/02,640@K,B60W50/08,B60K35/00@Z,G09G5/00,510@A,G09G5/00,530@T,G09G5/00,510@H,B60W60/00","(57)【要約】
【課題】自動運転モード中にユーザが娯楽コンテンツを<BR>便利に使用することができるようにする。
【解決手段】表示装置１００は、自動運転モードと手動<BR>運転モードの切り替え制御が可能な車両２で使用され、<BR>画像を表示する表示手段１０と、車両２から取得した情<BR>報に基づいて手動運転モードから自動運転モードへの切<BR>り替えを特定したことに応じて、娯楽コンテンツ項目を<BR>含む複数のコンテンツ項目が示されたメニュー画像を表<BR>示手段１０に表示させる制御部１１０と、を備える。制<BR>御部１１０は、メニュー画像における複数のコンテンツ<BR>項目のうち、いずれかを選択する選択操作を受け付けた<BR>ことに応じて、表示手段１０における表示を、メニュー<BR>画像から、当該選択操作で選択されたコンテンツ項目に<BR>応じたコンテンツを表示するコンテンツ画像へと切り替<BR>える。
【選択図】図１
","特開2019-082856","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-082856/2B68E69F0CD519FA6945E3F292599DD0D6EDA89A7842BF01E2BA9D0C54D5A824/11/ja"
"特開2019-082805","特願2017-209239","2017/10/30","2019/05/30","車両用装置及びコンピュータプログラム","株式会社デンソー","G08G1/16@F,B60R16/02,650@D,B60R21/00,628@B,B60R21/00,626@E,B60R11/04,B60W40/08,B60W50/14,B60W30/08,G08G1/09@H,G08G1/16@A","(57)【要約】
【課題】自車の運転者が安全運転から乖離する可能性の<BR>判定精度を高める。
【解決手段】車両用装置２は、運転者の開眼度を判定す<BR>る開眼度判定部１９ａと、運転者の視線移動の頻度を判<BR>定する視線移動判定部１９ｂと、運転操作機器１４～１<BR>６に対する運転者の操作状態を判定する操作判定部１９<BR>ｃと、運転者の開眼度の判定結果と、運転者の視線移動<BR>の頻度の判定結果と、運転操作機器に対する運転者の操<BR>作状態の判定結果とを用い、自車の運転者が安全運転か<BR>ら乖離する可能性を判定する乖離判定部１９ｄと、を備<BR>える。
【選択図】図１
","特開2019-082805","","特許6773002","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-082805/50E5943FED250BE2D755EED77BD191C25D302D792158212429FD017F7B7607ED/11/ja"
"特開2019-081473","特願2017-210233","2017/10/31","2019/05/30","運転支援装置","ダイハツ工業株式会社","B60W30/06,B60R21/00,628@D,B60W50/14","(57)【要約】
【課題】許容される車速がどの程度かを、運転者により<BR>明確に認識させることができる運転支援装置を提供する<BR>。
【解決手段】運転支援ＥＣＵは、車１を走行させるため<BR>の理想軌道Ｌを作成し、理想軌道Ｌにおける各位置に車<BR>速の上限または下限を設定する軌道作成部と、理想軌道<BR>Ｌに沿って車１を移動させるように自動操舵を行う誘導<BR>制御部と、車１の現在の位置を推定する自車位置推定部<BR>と、自車位置推定部によって推定された位置に基づいて<BR>、車速の上限および下限を示す車速レベルゲージＧをデ<BR>ィスプレイに表示させる画像制御部とを備えるようにし<BR>た。
【選択図】図６
","特開2019-081473","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-081473/EF0C384C996B7A58BFD3D6FC86AAE1C1263FF78160E2E2D9708A88DFA21C4E9F/11/ja"
"特開2019-081440","特願2017-209609","2017/10/30","2019/05/30","運転制御装置、運転制御方法","株式会社デンソー","B60W40/09,B60W30/10,B60W50/10,B60W60/00","(57)【要約】
【課題】運転者に違和感を与えることのない自動運転を<BR>実現する。
【解決手段】車両の運転状態を手動運転状態と自動運転<BR>状態とに切換可能となっており、自動運転状態では車両<BR>の周囲の状況に基づいて運転操作の内容を決定すると共<BR>に、運転操作の内容に対する自信度も決定する。そして<BR>、自動運転状態の時に運転者による運転操作を検出した<BR>場合には、運転状態を手動運転状態に切り換えると共に<BR>、運転者による運転操作が行われた時の自信度に応じて<BR>、運転者による運転操作の内容を、自動運転状態での運<BR>転操作の内容に反映させる。こうすれば、運転操作の内<BR>容に違和感を覚えたために運転者が行った運転操作の内<BR>容を、その後の自動運転状態での運転操作に反映させる<BR>ことができるので、自動運転状態での運転操作の内容を<BR>、運転者に違和感を与えない内容に近付けていくことが<BR>可能となる。
【選択図】図２
","特開2019-081440","","特許6729533","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-081440/2A1B91179C8270ECBC1AF6186E41170D3D2A6913B012060D66927C5021FE3996/11/ja"
"特開2019-080873","特願2017-211393","2017/10/31","2019/05/30","検出装置および運転手監視システム","旭化成株式会社","A61B5/02,310@B,B60W30/182,B60W40/08,A61B5/02,310@H,A61B5/10,310@A,A61B5/11,B60W60/00,A61B5/1455","(57)【要約】
【課題】生体情報を算出する検出装置１００を提供する<BR>。
【解決手段】予め定められた第１波長を含む第１照射光<BR>と、第１波長と異なる第２波長を含む第２照射光とを、<BR>生体の部位に照射する光源部１０と、第１照射光が部位<BR>で反射された第１反射光と、第２照射光が部位で反射さ<BR>れた第２反射光とを受光する受光部２０と、第１反射光<BR>に応じた第１入力信号および第２反射光に応じた第２入<BR>力信号を処理することにより、生体の生体情報を出力す<BR>る処理部３０とを備え、処理部３０は第１入力信号と第<BR>２入力信号とが線形結合された合成信号を生成する信号<BR>合成部５０と、合成信号に基づいて生体情報を算出する<BR>生体情報算出部６０とを有し、信号合成部５０は、合成<BR>信号を生成するための係数を、複数の係数候補から選択<BR>する検出装置１００を提供する。
【選択図】図１
","特開2019-080873","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-080873/B431234EF20193D895CFA28756BEF9B12484C2B484C9049960ACF04A8CE87323/11/ja"
"再表2019/097944","特願2019-553760","2018/10/17","2019/05/23","情報処理装置および情報処理方法","ソニーセミコンダクタソリューションズ株式会社","B60W50/14,G08G1/00@X,G08G1/09@F,B60W60/00","(57)【要約】
  運転者に運転復帰の通知を適切なタイミング行う。
  通知制御部は、運転者に運転復帰を促すための通知を<BR>制御する。例えば、通知は、音出力、光出力、文字やマ<BR>ークの表示、ハプティックス等で行われる。算出部は、<BR>運転者の状態に基づいて通知タイミングを決めるための<BR>復帰遅延時間を算出する。例えば、算出部は、運転者が<BR>実行中の二次タスクの種類と運転者の生体活動可観測情<BR>報に基づく可観測評価値に応じて復帰遅延時間を算出す<BR>る。２次タスクの種類と運転者の生体活動可観測情報に<BR>応じて通知タイミングを決めるための復帰遅延時間を算<BR>出するものであり、より適切な復帰遅延時間を得ること<BR>ができ、運転者に運転復帰の通知を適切なタイミング行<BR>うことが可能となる。
","WO2019/097944","","","","再表2019/097944","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-097944/A5974F0226EF21BDBC99BBF6B2E60884A86CE5DD568984DDFA579AA8422301E7/19/ja"
"特表2021-502926","特願2020-545239","2018/11/15","2019/05/23","車両を制御するためのシステム及び方法","オータナマス　スタッフ，　エルエルシー","B60W30/14,B60W60/00,B60W50/08,B60W50/04,G08G1/09@V","(57)【要約】
車両を制御するためのシステム及び方法が提供される。<BR>本発明のいくつかの態様では、装置が外部装置から命令<BR>を受信する装置インターフェースと、１つ又は複数の車<BR>両センサからセンサ信号を受信する制御インターフェー<BR>スとを含む。システムは、装置インターフェース及び制<BR>御インターフェースと通信するコントローラモジュール<BR>を含み、コントローラモジュールは、受信された命令に<BR>基づいて制御信号を生成し、制御信号又はセンサ信号を<BR>車両上の少なくとも１つの制御ユニットに選択的に送信<BR>するステップを実行するように構成される。
【選択図】図１
","特表2021-502926","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-502926/340561E6668BA53905147AB3CB9582FF867A17218E713F2E9A56232ED2D8C1D9/11/ja"
