"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"再表2019/244517","特願2020-525356","2019/05/15","2019/12/26","車両制御装置、車両管制センタおよび駐車支援システム","日立オートモティブシステムズ株式会社","G01C21/34,G08G1/14@A,B60L15/20@J,B60L50/60,B60L53/10,B60L58/12,B60W30/06,B60W50/14","(57)【要約】
  本発明は、駐車場における車両のエネルギー残量の不<BR>足による問題を回避可能な車両制御装置を提供する。車<BR>両制御装置１００は、エネルギー残量演算部１１０と、<BR>駐車場情報取得部１２０と、予測部１３０と、エネルギ<BR>ー必要量演算部１４０と、駐車判定部１５０と、を備え<BR>る。エネルギー残量演算部１１０は、車両Ｖのエネルギ<BR>ー残量を算出する。駐車場情報取得部１２０は、駐車場<BR>の地図情報および他車情報を取得する。予測部１３０は<BR>、車両Ｖの入出庫時の走行速度および移動時間を予測す<BR>る。エネルギー必要量演算部１４０は、エネルギー必要<BR>量を算出する。駐車判定部１５０は、エネルギー残量と<BR>エネルギー必要量とに基づいて車両Ｖの駐車可否を判定<BR>する。
","WO2019/244517","","特許6991328","","再表2019/244517","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-244517/90396FD4C54EACB2A2DC7782DE5BBEA6B829DD1CECDE2B00F8D412FFD0AB8618/19/ja"
"再表2019/244239","特願2020-525115","2018/06/19","2019/12/26","走行情報処理装置及び処理方法","日産自動車株式会社","B60W50/10,B60W40/02","(57)【要約】
ユーザの音声データが入力される音声入力部（１１）と<BR>、前記音声データから抽出された、走行経路周囲の物体<BR>を示す単語と物体の位置を示す単語とに基づいて、前記<BR>音声データから推定される物体を特定し、特定された物<BR>体を示す画像データ又は音声データを出力する出力部（<BR>１２，１６，１７，１８）と、前記特定された物体に基<BR>づいて、自車両の走行動作を変更する走行情報処理部（<BR>１９）と、を備える。
","WO2019/244239","","特許6992893","","再表2019/244239","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-244239/9B64628C3FB7C3C221DD8FD6E216262ABABF3D39B9278FF3AF36A4ADDCF168AD/19/ja"
"特開2019-220199","特願2019-143657","2019/08/05","2019/12/26","自動車及び自動車用プログラム","みこらった株式会社","G08G1/16@E,G01C21/26@A,B60W40/04,B60W50/10,B60W50/14,B60W30/00,G08G1/00@X,G08G1/09@H,B60W60/00","(57)【要約】
【課題】他車影響振る舞いを実行しようとする場合にお<BR>いて、交通事故を確実に回避して、安全に行えることを<BR>担保することができる自動車を提供する。
【解決手段】周辺の他車の振る舞いに影響を与える振る<BR>舞いとして予め定められた他車影響振る舞いをすべきタ<BR>イミングとなった時に、無線通信部を通じて、周辺の他<BR>車に車々間通信要求を送信する。自律的に自車の振る舞<BR>いを実行する自動運転車あるいは自律的に自車の振る舞<BR>いを実行する自動運転モードの状態の他車からの車々間<BR>通信要求に応じた応答情報を受信したら、当該他車との<BR>間に通信路を生成する。実行予定の他車影響振る舞いを<BR>他車に通知するための振る舞い予定情報を、通信路を通<BR>じて周辺の他車に送信し、それに対応して他車から送ら<BR>れてくる返信情報を解析して、振る舞い予定情報に対応<BR>して決定された他車の振る舞いを確認する。確認した他<BR>車の振る舞いに応じた処理を行う。
【選択図】図１
","特開2019-220199","","特許6865979","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-220199/7F41FFBC7156A624DCFA9CAC991E3D507BB945DC78619D1466365D2A00BF9243/11/ja"
"特開2019-220078","特願2018-118882","2018/06/22","2019/12/26","運転支援システム、サーバ、および運転支援方法","株式会社ＳＵＢＡＲＵ","G08G1/16@A,B60W30/095,B60W30/10,B60W50/14,B60W40/04,B60W30/09,G08G1/13,G08G1/01,G08G1/09@F,G08G1/09@H","(57)【要約】
【課題】運転者の利便性を高めることができる運転支援<BR>システムを提供する。
【解決手段】本開示の一実施の形態に係る運転支援シス<BR>テムは、自車両に搭載可能であり、自車両の位置につい<BR>ての位置情報を生成する生成部と、運転者に対して情報<BR>を通知する通知部と、第１の通信部とを有する運転支援<BR>装置と、複数の車両の位置の軌跡を示す複数の軌跡デー<BR>タが蓄積された第１のデータベースを記憶する記憶部と<BR>、第１のデータベースを用いて、第１の期間に蓄積され<BR>た第１の複数の軌跡データに基づいて第１の走行ルート<BR>を生成するとともに、第２の期間に蓄積された第２の複<BR>数の軌跡データに基づいて第２の走行ルートを生成する<BR>処理部と、第２の通信部とを有するサーバとを備える。<BR>処理部または運転支援装置は、第１および第２の走行ル<BR>ートの差に基づいて障害を検出する障害検出処理を行う<BR>。通知部は、運転者に対して障害についての障害情報を<BR>通知する。
【選択図】図５
","特開2019-220078","","特許7066545","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-220078/E93DB0AB756FAD26606D72633EE7D638CE63FA65CFD7892349C7284C81482387/11/ja"
"特開2019-220027","特願2018-118272","2018/06/21","2019/12/26","情報処理方法及び情報処理装置","パナソニック　インテレクチュアル　プロパティ　コーポレーション　オブ　アメリカ","G08G1/00@D,G09B29/10@A,G09B29/00@F,B60W40/02,B60W50/14,G06N99/00,153,G08G1/00@X,G06N20/00,130,B60W60/00","(57)【要約】
【課題】移動体の自動走行のための学習状況を知ること<BR>ができる情報処理方法を提供する。
【解決手段】情報処理方法は、移動体の操作情報又は移<BR>動体の移動経路を示す移動情報、及び移動体に備えられ<BR>るセンサの移動経路におけるセンシングにより得られた<BR>センサデータを前記移動体から取得し（ステップＳ１１<BR>）、操作情報又は移動情報、及びセンサデータを入力と<BR>して用いて、移動経路におけるセンサデータを用いた移<BR>動体の操作又は移動を学習モデルに学習させ（ステップ<BR>Ｓ１２）、学習モデルの学習回数に応じて、移動経路に<BR>ついての学習モデルの学習完了までに要する入力を示す<BR>提示情報を生成し（ステップＳ１３）、提示情報を提示<BR>装置２０に提示させる（ステップＳ１４）。
【選択図】図２
","特開2019-220027","","特許7079156","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-220027/C7CE09F29A16E6E48504650ECFB11C22095941DFECA0CB7166D960292C0C2267/11/ja"
"特開2019-219723","特願2018-114467","2018/06/15","2019/12/26","遠隔運転システム","本田技研工業株式会社","G08G1/123@A,B60R25/24,B60W40/09,G08G1/09@V,B60W60/00","(57)【要約】
【課題】車両の遠隔運転サービスを提供するにあたり、<BR>車両のセキュリティを向上可能な技術を提供することが<BR>望ましい。
【解決手段】車両を遠隔運転する遠隔運転装置のユーザ<BR>の候補を提示する候補提示部と、候補から選択された遠<BR>隔運転装置のユーザの通信端末に、車両の遠隔運転を要<BR>求する要求情報を送信する要求情報送信部と、要求情報<BR>に対する確認応答を遠隔運転装置のユーザの通信端末か<BR>ら受信する応答受信部と、車両のユーザを識別する第１<BR>ユーザ識別情報と、遠隔運転装置のユーザを識別する第<BR>２ユーザ識別情報とをサーバに送信して、第２ユーザ識<BR>別情報に対応する遠隔運転装置から第１ユーザ識別情報<BR>に対応する車両を遠隔運転できるようにするための鍵デ<BR>ータの生成をサーバに要求する生成要求部とを備える通<BR>信端末を提供する。
【選択図】図１
","特開2019-219723","","特許7102242","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-219723/03B0306DAA6D73F771EA108A914BC6A8BDA98885AA1A8DFE3F0C2BFCE820CB6B/11/ja"
"特開2019-218055","特願2019-153034","2019/08/23","2019/12/26","車体運動および乗員体験を制御するための方法およびシステム","クリアモーション，インコーポレイテッド","B60G17/016,B60C19/00@H,B60W40/11,B60W40/112,B60W50/06,B60W50/14,B60W40/08,B60G17/017,B60W60/00","(57)【要約】
【課題】車両の１または複数のサスペンションシステム<BR>、及び能動サスペンションが開示されている。
【解決手段】車両の１または複数のサスペンションシス<BR>テムは、１または複数の周波数範囲における運動を制限<BR>することによって乗り物酔いを軽減するために用いられ<BR>る。能動サスペンションは、自律車両アーキテクチャに<BR>一体化される。また他の実施形態において、車両の能動<BR>サスペンションシステムは、車両に運動を誘発するため<BR>に用いられ得る。車両は技術調査用の試験台としておよ<BR>び／または乗員によるビデオおよび／またはオーディオ<BR>の娯楽性を高めるためのプラットフォームとして用いら<BR>れる。能動サスペンションシステムは、車両の内外の人<BR>間との伝達手段としてジェスチャを行うために用いられ<BR>る。いくつかの実施形態において、能動サスペンション<BR>システムは、特定の道路状況に応答して車両操作者また<BR>は他の人間への触覚警報を発生するために用いられる。
【選択図】図１１
","特開2019-218055","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-218055/EFD68D49DCA1FCBB24AA8ECD909427718DA20ECFE5748CD2E2F442ED8B203158/11/ja"
"特開2019-218046","特願2019-072681","2019/04/05","2019/12/26","予め定められた運転状況に応じて車両のユーザの意図を自律的に示すための運転者支援システム","トヨタ　モーター　エンジニアリング　アンド　マニュファクチャリング　ノース　アメリカ，インコーポレイティド","B60W50/08,B60W50/00,B60W60/00","(57)【要約】      （修正有）
【課題】車両の外部の人間によって知覚可能であり、且<BR>つ所与の運転状況に応じてユーザの意図を示す、特定の<BR>インジケータを生成できるようにする。
【解決手段】車両のコンピューティングシステムは、車<BR>両が現在のところユーザ選択の予め定められた運転状況<BR>にあるときを判定し、その判定に応じて、ユーザ選択の<BR>予め定められた運転状況に関連付けられた車両応答モー<BR>ドを実行する。車両応答モードは、最初のインジケータ<BR>を指定する最初の制御モードと、二番目のインジケータ<BR>を指定する条件付きの二番目の制御モードとを含む。最<BR>初のインジケータ及び二番目のインジケータを生成する<BR>ために、アクセルペダル、ブレーキペダル、ステアリン<BR>グホイールを介して運転者に触覚フィードバックを与え<BR>て運転者が車両の少なくとも一部を動作させるようにし<BR>、あるいはヘッドライト、ハイビームライト、走行用ラ<BR>イトを点滅させてユーザの意図を外部の人に示す。
【選択図】図１
","特開2019-218046","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-218046/70C7B1BA8A0E4DFE004BDE41C016C373EE1B66A8A5A5AC5F156EB8E6F8081AAE/11/ja"
"特開2019-218000","特願2018-118744","2018/06/22","2019/12/26","衝突軽減制御装置","本田技研工業株式会社","B60W10/00,126,B60W10/11,B60W10/184,B60W30/095,B60W50/14,B60T7/12@C,F16H61/14,601@B,F16H59/60,F16H61/02,F16H63/50,B60W10/00,148,B60W10/06","(57)【要約】
【課題】自動ブレーキ作動後の車両発進時の駆動力不足<BR>を軽減する衝突軽減制御装置を提供する。
【解決手段】衝突軽減制御装置１０は、自動可変変速機<BR>２５を有する車両１に搭載され、障害物に対する車両１<BR>の衝突を回避、又は衝突の被害を軽減する衝突軽減制御<BR>装置であって、車両１が障害物に閾距離以下まで近づい<BR>たとき又は車両１が障害物に到達するまでの予想時間が<BR>所定閾値以下になったときに、運転者に警報を行った後<BR>に、車両１のブレーキを自動的に作動させることにより<BR>、車両１の衝突を回避又は衝突の被害を軽減する衝突軽<BR>減制御部１１と、自動可変変速機２５の変速比を変化さ<BR>せる変速制御部１３とを備え、変速制御部１３は、警報<BR>が作動したときに、自動可変変速機２５の変速比を現在<BR>の変速比よりも大きい側に変更する。
【選択図】図１
","特開2019-218000","","特許6746633","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-218000/806192BDADC05052A31AF0B94A8C862354E696FD2B180CB31C8141B4748F7E01/11/ja"
"特開2019-217943","特願2018-117672","2018/06/21","2019/12/26","オートドライビングポジション装置","三菱自動車工業株式会社","B60N2/12,B60N2/16,B60N2/07,B60N2/10,B60R16/037,B60W40/09","(57)【要約】
【課題】ドライバがドライビングポジション及び走行関<BR>連機能等の設定を好みの状態に簡便に変更することがで<BR>きるようにしたオートドライビングポジション装置を提<BR>供する。
【解決手段】複数の保存領域１０１～１０３を備え、保<BR>存領域毎にそれぞれ登録されたドライバの運転姿勢に対<BR>応する調整要素の状態を保存する記憶手段１０Ａと、複<BR>数の保存領域のうちの一の保存領域についての呼び出し<BR>指令に対して一の保存領域に保存された調整要素の状態<BR>を再現する状態再現手段１０Ｂとを備え、記憶手段１０<BR>Ａは、それぞれの保存領域に調整要素の状態と共に車両<BR>の走行関連設定機能の状態が保存され、状態再現手段１<BR>０Ｂは、一の保存領域についての呼び出し指令に対して<BR>一の保存領域に保存された調整要素の状態と走行関連設<BR>定機能の状態とを再現する。
【選択図】図１
","特開2019-217943","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-217943/EEDEFD5DD1561A43807DD6416FD35F43B8258893DA59D3AB09A96BE31E0836C8/11/ja"
