"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特表2022-507916","特願2021-528961","2019/09/18","2020/05/28","車両の運転者に警告するための装置および方法","ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング","G08G1/16@C,B60W50/14,B60W30/08,B60W40/04","(57)【要約】
  本発明は、車両（２）の運転者に警告するための装置<BR>および方法に関し、車両（２）は、車両周辺の物体（３<BR>）を検出する１つ以上の環境センサ（４，５，６）を有<BR>し、１つ以上の環境センサ（４，５，６）の複数の物体<BR>検出（７）から環境モデルを生成する解析装置が設けら<BR>れており、環境モデルで認識された物体（３）に関して<BR>運転者に通知するためのアクチュエータシステム（９，<BR>１０）が設けられおり、運転者に通知するためのアクチ<BR>ュエータシステム（９，１０）が空間的な警告情報を含<BR>み、運転者は物体（３）の位置（７）に関して触覚的に<BR>通知される。
","特表2022-507916","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-507916/D76192B995D3509B9E2B184AFC818CA854E22AC260AF6ABFBDD23340CB00C694/11/ja"
"特開2020-080167","特願2020-018375","2020/02/05","2020/05/28","車両制御システム、車両制御方法、およびプログラム","本田技研工業株式会社","G08G1/16@F,B60W50/10,B60W50/14,B60W30/12,B60W30/14,B62D6/00,B60W60/00","(57)【要約】
【課題】乗員の状態に対応させた運転支援に関する情報<BR>を出力することができる車両制御システム、車両制御方<BR>法、およびプログラムを提供することを目的の一つとす<BR>る。
【解決手段】車両制御システムにおいて、運転支援を実<BR>行する運転支援制御部と、情報を出力する情報出力部と<BR>、車両の乗員による操作を受け付ける操作部と、乗員が<BR>前記車両を手動運転するための運転操作子と、前記運転<BR>操作子が操作されている状態であるか否かを判定する操<BR>作子状態判定部と、前記操作部による操作が受け付けら<BR>れた場合に、前記運転支援制御部による運転支援が開始<BR>可能であることを示す情報を、前記情報出力部に出力さ<BR>せる情報出力制御部と、を備える。
【選択図】図１
","特開2020-080167","","特許6853903","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-080167/72630ED51A83FCFF571FEC3E6CC8A3AD935095A906C0A024D99633EA994D5072/11/ja"
"特開2020-080028","特願2018-212628","2018/11/13","2020/05/28","車両動作推定システム、車両動作推定プログラム","アイシン・エィ・ダブリュ株式会社,株式会社アイシン","G08G1/00@D,B60W40/08,G08G1/00@X","(57)【要約】
【課題】走行予定経路から外れた場合の車両の動作を推<BR>定できる可能性を高める技術の提供。
【解決手段】車両の運転者の挙動を取得する運転者挙動<BR>取得部と、取得した挙動が、過去に走行予定経路から外<BR>れた際に運転者が行っていた挙動と類似するか否かを判<BR>定する運転者挙動判定部と、類似すると判定した場合に<BR>、過去に走行予定経路から外れた際の車両の動作が再現<BR>されると推定する車両動作推定部と、を備える車両動作<BR>推定システムを構成する。
【選択図】図１
","特開2020-080028","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-080028/4287149945C32DDA7A960F87A08B297E8C6D38BCF06FC2836E8D04332E76E11D/11/ja"
"特開2020-079792","特願2019-236467","2019/12/26","2020/05/28","臭気に基づいた車両の故障判定方法","トヨタ自動車株式会社","G01M17/007@J,G08G1/09@F,G08B21/00@U,B60W50/14,B60W50/02","(57)【要約】
【課題】車両の故障可能性を事前に検出する。
【解決手段】車両と、情報処理装置と、が行う故障判定<BR>方法であって、前記車両が、前記車両に備えられた一つ<BR>以上の臭気センサから、対応する車両コンポーネントの<BR>臭気測定値を表すセンサデータを収集し、前記情報処理<BR>装置に送信する収集ステップを実行し、前記情報処理装<BR>置が、前記車両コンポーネントの故障に伴って検出され<BR>うる化合物に関するデータである指紋化合物データと、<BR>前記センサデータとの間の一致を判定する判定ステップ<BR>と、前記判定の結果に基づいて、故障が疑われる前記車<BR>両コンポーネントを示す故障データを生成して前記車両<BR>に送信する送信ステップと、を実行する。
【選択図】図１
","特開2020-079792","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-079792/00CE145FB6C2C2FEB24EBBFAA8D8F42C6FF96CD9B2DE6D26413B1CA5DA73C562/11/ja"
"特開2020-079068","特願2018-214007","2018/11/14","2020/05/28","警告補助装置、警告報知装置、警告報知方法およびプログラム","株式会社ＪＶＣケンウッド","B60K35/00@Z,B60W50/14","(57)【要約】
【課題】警告に応じた適切な対応を容易に認識可能に示<BR>すこと。
【解決手段】車両と通信して車両の故障コードを取得す<BR>る通信部１０と、通信部１０が取得した故障コードに基<BR>づいて、車両の状態を解析する状態解析部２１と、状態<BR>解析部２１の解析結果が、警告を報知する状態であるか<BR>を判定する警告判定部３１と、警告判定部３１の判定結<BR>果に応じて警告を報知させる制御を行う報知制御部３２<BR>と、状態解析部２１の解析結果が、警告を報知する状態<BR>であって、かつ、警告に応じた対処措置を分類して示す<BR>警告補助情報を表示する状態であるかを判定する警告補<BR>助判定部４１と、警告補助判定部４１の判定結果に応じ<BR>て警告補助情報を表示させる制御を行う表示制御部４２<BR>とを備える。
【選択図】図１
","特開2020-079068","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-079068/355A1A288C519AD40112A4A4B0AF0E451004CC9637BD210860A7F49240ED3888/11/ja"
"特開2020-078960","特願2018-212089","2018/11/12","2020/05/28","誤発進抑制装置","三菱電機株式会社","B60W50/12,B60W30/09,B60T7/12@A,G08G1/16@C","(57)【要約】
【課題】不要な発進抑制制御が実行されたとき、当該制<BR>御による車両の発進の抑制を解除することができる誤発<BR>進抑制装置を提供する。
【解決手段】誤発進抑制装置１００は、運転者の意図に<BR>対応する車両１の走行方向である第１走行方向を推定す<BR>る第１走行方向推定部１１と、車両１の実際の走行方向<BR>である第２走行方向を推定する第２走行方向推定部１２<BR>と、第１走行方向及び第２走行方向が互いに不一致であ<BR>る場合、車両１の発進を抑制する制御（発進抑制制御）<BR>を実行する発進抑制制御部１３と、発進が抑制されたと<BR>き、車両周辺監視システム５による出力情報（車両周辺<BR>情報）が運転者に通知されている場合は発進の抑制を解<BR>除する制御（発進許可制御）を実行する発進許可制御部<BR>１４と、を備える。
【選択図】図１
","特開2020-078960","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-078960/1F9FCD27B675F6DD4BED4F2F0CCD34971B9A5110AC4E0965B6BB391918909C6F/11/ja"
"再表2020/100585","特願2020-555995","2019/10/30","2020/05/22","情報処理装置、および情報処理方法、並びにプログラム","ソニーグループ株式会社","G08G1/16@F,B60W50/12,B60W50/14","(57)【要約】
  本開示は、運転者の視線方向が運転状況に応じて不適<BR>切であるときに安全を確保できるようにする情報処理装<BR>置、および情報処理方法、並びにプログラムに関する。
車両の運転者の視線方向を検出し、検出された視線方向<BR>が安全視線方向であるか否かを判定し、前記視線方向が<BR>前記安全視線方向ではないと判定された場合、車両を安<BR>全な状態に制御する。本開示は、車載システムに適用す<BR>ることができる。
","WO2020/100585","","","","再表2020/100585","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-100585/F39FAE37CFDF80DBA258BFF96D73E1AD6999DCE6516BC62C246D8491BFB9CF14/19/ja"
"再表2020/100584","特願2020-555994","2019/10/30","2020/05/22","情報処理装置、および情報処理方法、並びにプログラム","ソニーグループ株式会社","G08G1/16@F,B60W50/08,B60W60/00,A61B5/18,A61B5/00,102,A61B5/00@C,A61B3/113","(57)【要約】
  本開示は、運転者の運転中の体調異常を検出して、安<BR>全に配慮した処理を実現できるようにする情報処理装置<BR>、および情報処理方法、並びにプログラムに関する。
車両の運転者のバイタルデータを取得し、取得したバイ<BR>タルデータに基づいて、運転者が体調異常を発生させて<BR>いるとの判定結果を取得した場合、自動運転レベルに応<BR>じて車両を安全な状態に制御する。本開示は、車載シス<BR>テムに適用することができる。
","WO2020/100584","","","","再表2020/100584","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-100584/071CD52C2064B3534D26FB7572E0950835A8BDEB45ED42B9C850A60361A98921/19/ja"
"再表2020/100539","特願2020-556746","2019/10/23","2020/05/22","情報処理装置、移動装置、および方法、並びにプログラム","ソニーセミコンダクタソリューションズ株式会社","B60W50/08,B60W50/10,B60W50/14,B60W60/00,B60W40/08,G08G1/16@C,G08G1/16@F","(57)【要約】
車両の運転者からの手動運転への切り替え拒否の申請に<BR>応じて車両の減速や停止等の退避制御を実行する。自動<BR>運転と手動運転の切り替えが可能な移動装置であり、移<BR>動装置の運転者の運転者情報を取得する運転者情報取得<BR>部と、移動装置の周囲情報を取得する環境情報取得部と<BR>、移動装置の自動運転を手動運転に変更する運転引き継<BR>ぎを運転者が拒否するための引き継ぎ拒否情報をシステ<BR>ムに入力する引き継ぎ断念入力部と、環境情報取得部の<BR>取得する情報に基づいて、自動運転から手動運転への切<BR>り替え地点を確認し、切り替え地点に到達する前に運転<BR>者に手動運転復帰要求通知を実行するデータ処理部を有<BR>し、データ処理部は、さらに、引き継ぎ断念入力に応じ<BR>て車両の退避処理を実行する。
","WO2020/100539","","","","再表2020/100539","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-100539/0D12F9B674620AACB1551BC99096E201803F079962279575E868E89CEA4CC812/19/ja"
"特表2022-506565","特願2021-523984","2019/08/22","2020/05/22","実時間で相対車両の速度及び距離を分析及び保存するイベント検知システム","キム，ヨン　フン","G08G1/16@C,G08G1/00@D,G08G1/09@F,B60W50/14,G06Q40/08","(57)【要約】
本発明の車両のイベント発生検知システムは、相対車両<BR>の速度及び離隔距離を演算し、事故発生のおそれが潜在<BR>する一つ又は二つの車両情報を実時間で画面に表示し外<BR>部デバイスに伝送する。よって、実際に事故が発生した<BR>場合、事故前後の情報に基づいて事故原因を正確に把握<BR>することができる。車両情報は保存部に記憶されるので<BR>、追後の再生及び確認が可能である。
【選択図】  図３
","特表2022-506565","","特許7187080","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-506565/7F5912F5B8DC883E6D78E77EBC7F4A11B5B79758D2756B2BECB19CC5CC92587E/11/ja"
