"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特表2022-538113","特願2021-576550","2020/06/26","2020/12/30","目標車両速度を決定するためのシステム及び方法","ズークス　インコーポレイテッド","B60W30/10,G06T7/00,650@Z,B60W60/00,G06T7/00,350@B,B60W30/095,B60W40/02,B60W40/105,B60W50/08","(57)【要約】
  機械学習済みモデルが、人間運転データを用いてトレ<BR>ーニングされて、運転環境特性の組に基づく望ましい車<BR>両速度を決定する。自律型車両制御システムは、カメラ<BR>、センサ、サービス、及びデータソースから、種々のセ<BR>ンサデータを取得する。センサデータを用いて、自律車<BR>両に対する運転環境に対する特性の組を決定する。機械<BR>学習済みモデルを用いて、自律型車両制御システムは、<BR>少なくとも部分的に運転環境の決定した特性に基づいて<BR>、自律車両に対する人間のような望ましい速度を決定す<BR>る。
","特表2022-538113","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-538113/B129EA1BA39BC7B1B2D2E6D9C55969B7C24E08FA323C2680BB974C289E6BBC54/11/ja"
"特開2020-205037","特願2020-089315","2020/05/22","2020/12/24","車両を遠隔操作するための方法及び装置","ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング","G08G1/09@V,B60W50/08,B60W40/09,B60W60/00","(57)【要約】      （修正有）
【課題】自動運転車両において単独では対応できない状<BR>態に陥った場合や、支援が必要なシステム劣化を検出し<BR>た場合に、対応する方法を提供する。
【解決手段】車両（１１）を遠隔操作する方法は、利用<BR>可能なオペレータ（１２）を登録し、車両（１１）に関<BR>するデータを受信し、データに基づいて選択したオペレ<BR>ータ（１２）を利用可能なオペレータ（１２）から車両<BR>（１１）に通知し、選択したオペレータ（１２）の中で<BR>好ましいオペレータ（１２）を記録し、通信資源を確保<BR>し、好ましいオペレータ（１２）に車両（１１）の通信<BR>ユニット（１３）に接続するように要求し、通信ユニッ<BR>ト（１３）によって車両（１１）の制御機能（１４）を<BR>引き継ぐことを特徴とする。
【選択図】図１
","特開2020-205037","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-205037/69BD5DB42439F04EC39529AE0B937A83A15209846EBED14D3184481B292EB3F2/11/ja"
"特開2020-204998","特願2019-113520","2019/06/19","2020/12/24","運転連携装置、運転連携方法、及び運転連携プログラム","三菱電機株式会社","G08G1/16@A,B60W40/08,G08G1/00@X,G08G1/09@H,B60W60/00","(57)【要約】
【課題】自車両に運転に適した乗員がいない場合でも自<BR>動運転から手動運転に切り替え可能にする。
【解決手段】優先度決定部１５は、自車両乗員情報取得<BR>部１２により取得された自車両乗員情報及び他車両乗員<BR>情報取得部１３により取得された他車両乗員情報に基づ<BR>いて、自車両１Ａ及び他車両に乗車している乗員ごとの<BR>自車両１Ａの運転者としての優先度を決定する。候補者<BR>管理部１６は、優先度決定部１５により決定された優先<BR>度に基づいて、自車両１Ａ及び他車両に乗車している乗<BR>員の中から自車両１Ａを運転する運転候補者を決定する<BR>。運転制御部１１は、自動運転から手動運転へ切り替え<BR>た場合、候補者管理部１６により決定された運転候補者<BR>による自車両１Ａの運転操作を受け付けて自車両１Ａを<BR>制御する。
【選択図】図３
","特開2020-204998","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-204998/3055BA0DEF36A2F5EE95C350D209FD03536590E0AE6CD762FF2C482E21FB9CDE/11/ja"
"特開2020-203620","特願2019-113025","2019/06/18","2020/12/24","トレーラ","本田技研工業株式会社","B60W30/06,B60R99/00,322,B60R99/00,330,B60R99/00,360,B62D6/00,B60W30/165,B60W50/14,G08G1/00@X,G08G1/09@H","(57)【要約】
【課題】トレーラの自動駐車においても牽引状態を維持<BR>し、運転者が確認容易で、安全で利便性の高い駐車を可<BR>能とする技術を提供すること。
【解決手段】機械的な連結なく牽引車に対する自動追従<BR>走行が可能な電動自走式のトレーラであって、周囲状況<BR>を検知する検知手段と、前記検知手段の検知結果に基づ<BR>いて、駐車スペースを認識する認識手段と、前記トレー<BR>ラを前記駐車スペースへ移動させる移動制御手段と、前<BR>記駐車スペースに移動する前記トレーラに前記牽引車を<BR>追従させる追従指示を、前記牽引車に送信する指示手段<BR>と、を備える。
【選択図】図６
","特開2020-203620","","特許7068233","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-203620/89C9B75A1B5BDD5C6AC4C50F97C2216402BE5FB9628E0DC3F9CDC974D7EE5190/11/ja"
"特開2020-203587","特願2019-112528","2019/06/18","2020/12/24","自動運転システム","株式会社日立製作所","B60W30/09,B60W50/14,B60W50/08,G08G1/00@X,G08G1/16@C,G08G1/09@V,B60W60/00","(57)【要約】
【課題】オブジェクトの種類が特定できない場合におい<BR>ても走行支援を行うことのできる自動運転システムを提<BR>供する。
【解決手段】車両の外界情報を取得する外界センサ２と<BR>、外界センサ２の情報に基づいてオブジェクトとの衝突<BR>を回避するように車両の目標軌道を算出する認知判断装<BR>置６とを備える。
  認知判断装置６は、車両がシステム責任の自動運転状<BR>態において、外界センサ２がオブジェクトの情報を検出<BR>するとオブジェクトの種類を判別し、オブジェクトの種<BR>類が特定できない場合にはオブジェクトが動的か否かを<BR>判別し、判別結果の応じた運転支援を行う。
【選択図】  図１
","特開2020-203587","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-203587/C4F9B333DC9254279C5486ACD33BB2785E3D164A75C12E4EB06B9A3C5B7553B2/11/ja"
"特表2022-536743","特願2021-573748","2020/06/10","2020/12/17","自律走行車のための軌道形状生成方法及び装置","リット　モーターズ　コーポレイション","B60W40/08,B60W30/10,B60W40/105,B60W40/109,B60W60/00,G08G1/16@C,G05D1/02@H","(57)【要約】
  自律走行車又は運転者支援型自律走行車（ＡＶ）の移<BR>動方向及び速度を制御する装置である。ＧＰＳ及びマッ<BR>プモジュールは、ＡＶの出発位置及び目的位置を受け取<BR>る。複数のセンサは、ＡＶの現在の車線及び提案された<BR>車線を特定する。ＡＶの移動方向及び速度のうちの１又<BR>は２以上の制御に使用されるＡＶベースライン操縦プロ<BR>ファイルのデータベースが設けられる。軌道プロファイ<BR>ル生成モジュールは、出発位置、目的位置、ＡＶの現在<BR>車線及び提案された車線、及びデータベースから選択さ<BR>れたＡＶベースライン操縦ファイルに基づいて、横加速<BR>度が２Ｈｚ以下のＡＶの計画経路を生成する。ステアリ<BR>ング制御モジュールは、生成されたＡＶ計画経路に基づ<BR>いて、ＡＶの移動方向を制御し、監視制御モジュールは<BR>、生成されたＡＶ計画経路及び内耳制約に基づいて、Ａ<BR>Ｖの速度を制御する。
【選択図】図１
","特表2022-536743","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-536743/A7457CF3933C17AA83036AC99DE8422BC9D0EE732A9448B34D29E7EF1A84AE5B/11/ja"
"特開2020-201760","特願2019-108847","2019/06/11","2020/12/17","車両用制御システム","株式会社デンソー","G06F3/0481,B60W50/14,B60W50/10,B60W50/02","(57)【要約】
【課題】インターフェース部による情報伝達機能の異常<BR>による不都合が生じにくい車両用制御システムを提供す<BR>る。
【解決手段】ユーザへの通知およびユーザによる入力の<BR>少なくとも一方を行うインターフェース部１１を制御す<BR>る車両用制御システムであって、インターフェース部１<BR>１によるユーザとの間の情報伝達機能に異常があること<BR>を検出する異常検出部１６と、異常検出部１６が異常を<BR>検出した場合に、インターフェース部１１による情報伝<BR>達機能に異常が生じていることを外部装置へ通知する通<BR>知処理部２１とを備える。このようにすれば、インター<BR>フェース部１１による情報伝達機能に異常が生じている<BR>ことが通知された外部装置は、インターフェース部１１<BR>よる情報伝達機能に異常が生じていることに対応した制<BR>御が可能になる。
【選択図】図１
","特開2020-201760","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-201760/92A52F70A59DF768C335C09635D50EB62F03D7556FBDE72A74C593351A1E94BE/11/ja"
"特開2020-200039","特願2020-160945","2020/09/25","2020/12/17","車両の走行制御装置","スズキ株式会社","B60W30/165,B60W40/04,B60W50/10","(57)【要約】
【課題】追従走行制御中における車線変更の所要時間を<BR>短縮できる車両の走行制御装置を提供する。
【解決手段】周囲認識手段が自車線を走行する先行他車<BR>を認識しない場合は、目標車速に従って定速走行制御を<BR>行い、先行他車を認識した場合は、第１の目標車間時間<BR>（τ１）に従って先行他車を追従するＡＣＣ機能と、運<BR>転者により自動車線変更機能オン／オフ・スイッチがオ<BR>ン操作された場合、隣接車線の前後安全距離内に近接す<BR>ると推定される他車の有無に基づいて車線変更可否判定<BR>を行い、車線変更可能と判定されると、前記第１の目標<BR>車間時間をより短い第２の目標車間時間（τ２）に変更<BR>し、先行他車との車間時間を短縮することを特徴とする<BR>自動車線変更機能と、を備え、先行他車との車間時間が<BR>短縮した状態で、運転者による同方向のウインカ操作が<BR>行われた場合に、車線変更が継続可能であれば、所定時<BR>間のウインカ点滅後に自動操舵により隣接車線への車線<BR>変更を実行する。
【選択図】図４
","特開2020-200039","","特許6986239","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-200039/55C0EA247EC00768C98AFA345F044E3339EDF3034C81BAD36440F3C33EB77199/11/ja"
"特開2020-199883","特願2019-108274","2019/06/10","2020/12/17","表示制御装置、ヘッドアップディスプレイ装置、方法、及びコンピュータ・プログラム","日本精機株式会社","B60K35/00@A,G02B27/01,B60W40/08,B60W50/14,G06T19/00,600,H04N5/66@D,G09G5/00,510@A,G09G5/36,520@L,G09G5/00,530@M,G09G5/00,550@B,G09G5/00,550@C,G09G5/00,530@H,G09G5/36,520@N,G09G5/36,520@K,G09G5/37,310,G09G5/377,G09G5/377,110","(57)【要約】      （修正有）
【課題】画像の見逃しを防止しつつも、画像の見やすさ<BR>低下を抑制する。
【解決手段】画像表示部が、自車両の運転者から見て前<BR>景に重なる領域に、自車両の前後方向に沿うように視認<BR>される１つ又は複数の画像要素からなる画像を表示し、<BR>運転者が、画像の先端領域２４０を所定の時間より長く<BR>視認していないこと、画像の後端領域２２０を注視して<BR>いること、及び先端領域２４０よりも上側の領域を注視<BR>していること、の少なくとも１つからなる第１条件が満<BR>たされた場合、自車両が走行する路面３３０に沿った角<BR>度から起きて視認されるように、先端領域２４０の角度<BR>を変更する。
【選択図】図５
","特開2020-199883","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-199883/339CE4C3FACBA9B2F5B32C574876663CFD9B8D76EEEA8E5ED7C040FEA74DFA2B/11/ja"
"特開2020-199840","特願2019-107265","2019/06/07","2020/12/17","情報提示制御装置","株式会社デンソー","B60W40/08,H04N5/93","(57)【要約】
【課題】車両制御部からドライバへの運転交代の場面に<BR>て、ドライバが再生コンテンツを円滑に認識可能となる<BR>情報提示制御装置を提供する。
【解決手段】情報提示制御装置としてのＨＣＵは、車両<BR>制御部が運転タスクの少なくとも一部を代行可能な車両<BR>において、ドライバへ向けて情報を提示する情報提示機<BR>器を制御する。ＨＣＵは、車両制御部が代行中の運転タ<BR>スクの少なくとも一部をドライバへ交代する運転交代ま<BR>でのドライバの余裕度を把握する情報取得部と、情報提<BR>示機器が再生する再生コンテンツの再生態様を制御する<BR>情報提示制御部と、を備える。情報提示制御部は、運転<BR>交代に合わせて、再生コンテンツの再生を停止位置にて<BR>停止し、停止位置から巻き戻されて再生が再開される再<BR>開位置を、余裕度に応じて決定する。
【選択図】図３
","特開2020-199840","","特許7107281","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-199840/81D1A5BE97B5F675F47CF948C17B88A921F30A9946B6BFBFA5FA45E15262A2F3/11/ja"
