"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2021-082286","特願2020-189396","2020/11/13","2021/05/27","車線変更の検出を改良するためのシステム、非一時的コンピュータ可読媒体および方法","トヨタ自動車株式会社","G08G1/16@C,B60W30/12,B60W50/14,B60W40/02","(57)【要約】      （修正有）
【課題】自車両の車線変更の検出を改良するための車線<BR>変更システムを提供する。
【解決手段】車線変更システムは、自車両の車線変更の<BR>検出を改良する。車線変更の検出を改良するための方法<BR>は、自車両により周囲環境について取得されたセンサデ<BR>ータからの周囲車両の検出を受けて、自車両に対する周<BR>囲車両の相対位置を推定することを含む。この方法は、<BR>自車両が走行している現在車道に対する周囲車両の状況<BR>を判断することを含む。方法は、状況に従って周囲車両<BR>を変更グループに選択的に分類することを含む。変更グ<BR>ループは、自車両の移動を判定するための一つ以上の車<BR>両を含む。この方法は、変更グループの車両の相対移動<BR>を解析して、自車両が車線変更を実施したかどうかのイ<BR>ンジケータを生成することを含む。
【選択図】図２
","特開2021-082286","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-082286/61D0C8B6E8E7F7A63F32336A9A0C477BF187C11E7A6F9E2D12CAC2F9F009E479/11/ja"
"特開2021-082076","特願2019-209836","2019/11/20","2021/05/27","制御システム、制御装置及び制御方法","ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング","G08G1/00@X,G08G1/09@H,G08G1/16@E,B62J99/00@J,B62J99/00@K,B60W30/14,B60W30/09,B60W50/14,B60W40/02","(57)【要約】
【課題】本発明は、集団走行する複数のモータサイクル<BR>の車体挙動を適切に制御することができる制御システム<BR>、制御装置及び制御方法を得るものである。
【解決手段】本発明に係る制御システム（１）、制御装<BR>置（１２）及び制御方法では、各々に環境センサ（１１<BR>）及び制御装置（１２）が搭載され、当該環境センサ（<BR>１１）の出力に基づいて車体挙動を制御するための制御<BR>モードが当該制御装置（１２）により各々で実行される<BR>複数のモータサイクル（１０）において、複数のモータ<BR>サイクル（１０）のうちの第１モータサイクルに搭載さ<BR>れる第１制御装置は、制御モードの実行中に取得した取<BR>得情報を、複数のモータサイクル（１０）のうちの第１<BR>モータサイクル以外の第２モータサイクルに搭載される<BR>第２制御装置に送信し、第２制御装置は、取得情報を受<BR>信し、取得情報に基づいて制御モードを実行する。
【選択図】図１
","特開2021-082076","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-082076/37C702F1765C4B197D6401CCC6ECEAD3883CCA3D73DF54C69EF654DFE8EA83E8/11/ja"
"特開2021-079942","特願2020-189094","2020/11/13","2021/05/27","車両のアクセルペダル制御の間隔調節器の動作方法および制御機器","ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング","B60W50/08,B60W30/16,B60W40/04,B60T7/12@F","(57)【要約】      （修正有）
【課題】先行車両として認識されたターゲット車両の後<BR>方で、ブレーキ工程を中断し、側方を通過可能とする。
【解決手段】車両１００のアクセルペダル制御の間隔調<BR>節器の動作方法に関し、この間隔調節器は、ターゲット<BR>車両１１２との間隔１１０を、車両のアクセルペダル値<BR>１２２に依存して調節し、かつ必要の際には自動ブレー<BR>キ工程を制御し、これに関しブレーキ工程は、アクセル<BR>ペダル値がブレーキ工程中に増加すると中断される。
【選択図】図１
","特開2021-079942","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079942/06DFF3E52463990CC0B1523C953F003DB5FE0BEF5176EE613124180761CCA9B7/11/ja"
"特開2021-079906","特願2019-211398","2019/11/22","2021/05/27","運転支援装置","トヨタ自動車株式会社","B60W40/09,G08G1/16@C,B60W40/105","(57)【要約】
【課題】運転者による減速行動の学習結果に基づいて車<BR>両の減速支援を行なう運転支援装置において、より適正<BR>な減速行動を学習する。
【解決手段】減速行動のうち、車速が上限速度以下であ<BR>り、且つ、減速開始時の車速と減速終了時の車速との車<BR>速差が所定値以上である減速行動について学習する。即<BR>ち、車速が高すぎる場合や、減速開始時の車速と減速終<BR>了時の車速との車速差が小さくて減速を促す必要がない<BR>場合については学習しない。これにより、より適正な減<BR>速行動を学習することができる。
【選択図】図２
","特開2021-079906","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079906/D5AA669CA1C0865A1790ED73D9581BE789E1E57F0DDD465187441EEA9F15DEFB/11/ja"
"特開2021-079904","特願2019-211373","2019/11/22","2021/05/27","衝突回避支援装置","トヨタ自動車株式会社","B60W30/08,B60T7/12@D,B60W50/12,B62D6/00,B60T7/12@C,B62D101:00,B62D113:00,B62D109:00","(57)【要約】
【課題】  誤踏み操作が発生したと推定された場合でも<BR>、ステアオーバーライド制御を適切に実施する。
【解決手段】  運転支援ＥＣＵ１０は、誤踏み操作が発<BR>生したと判定された場合には、自動ブレーキ制御を開始<BR>し、自動ブレーキ制御を開始した後は、ステアオーバー<BR>ライド判定２を実施して、ステアリング操舵速度ωが閾<BR>値ωｆよりも大きい（ω＞ωｆ）場合に、ステアオーバ<BR>ーライド制御によって自動ブレーキ制御を終了する。一<BR>方、誤踏み操作が発生したと判定されていない場合、運<BR>転支援ＥＣＵ１０は、ステアオーバーライド判定１を実<BR>施して、ステアリング操作量θが閾値θｅよりも大きい<BR>、あるいは、ステアリング操舵速度ωが閾値ωｆよりも<BR>大きい場合に、ステアオーバーライド制御によって自動<BR>ブレーキ制御を開始しない。
【選択図】  図２
","特開2021-079904","","特許7147733","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079904/C8F2C7776B59E283C9C192846F1136E7B48B5112238A644E2BCD9F2489B8AC17/11/ja"
"特開2021-079892","特願2019-210980","2019/11/22","2021/05/27","車両走行方法、目標位置入力アプリケーション","トヨタ自動車株式会社","B60W30/06,G08G1/00@X,G08G1/09@V,B60W30/10,B60W50/10","(57)【要約】
【課題】自車両を制御して目標位置へ走行させる車両走<BR>行方法において、目標位置の入力の利便性を高めること<BR>である。
【解決手段】本車両走行方法においては、情報通信端末<BR>において、目標位置が入力され、その目標位置に関する<BR>情報である目標位置関連情報が車両に送信される。また<BR>、車両において、受信した目標位置関連情報に基づいて<BR>目標位置が設定され、自車両の制御により、自車両が目<BR>標位置に走行させられる。このように、目標位置が情報<BR>通信端末において入力可能であるため、目標位置の入力<BR>の利便性を向上させることができる。
【選択図】図４
","特開2021-079892","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079892/1AF044D88A00502AA7E21E702EE4905AAD6977E1C95882E70C05CBFC33A3F516/11/ja"
"特開2021-079881","特願2019-210606","2019/11/21","2021/05/27","車両制御装置、車両、車両制御装置の動作方法およびプログラム","本田技研工業株式会社","B60W30/06,H04Q9/00,301@B,B60W50/14,B60W50/10,G08G1/16@C,B60R99/00,310","(57)【要約】
【課題】車内で操舵を伴わない前進又は後退による自動<BR>駐車モードの選択を可能にするための技術を提供する。
【解決手段】遠隔操作端末からの指示に応じて車両の自<BR>動駐車を制御する車両制御装置であって、前記自動駐車<BR>の開始を指示する指示手段と、前記指示手段により前記<BR>自動駐車が指示された際の変速機のシフト位置に基づい<BR>て自動駐車モードを制御する制御手段と、を備え、前記<BR>自動駐車モードは、操舵が実行されず前進又は後退が可<BR>能な第１の自動駐車モードと、駐車枠を検出して自動的<BR>に操舵が実行される第２の自動駐車モードとを含み、前<BR>記制御手段は、前記自動駐車が指示された際に、前記シ<BR>フト位置が第１の位置である場合には前記自動駐車モー<BR>ドを前記第１の自動駐車モードに制御し、前記シフト位<BR>置が前記第１の位置とは異なる第２の位置である場合に<BR>は前記自動駐車モードとして前記第１の自動駐車モード<BR>又は前記第２の自動駐車モードを選択可能に制御する。
【選択図】図２
","特開2021-079881","","特許6967055","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079881/B767DEB093D33CE6DDA16C25AD003D5FF608677132308C453E8313611156EB16/11/ja"
"特開2021-079880","特願2019-210602","2019/11/21","2021/05/27","車両制御装置、車両、車両制御装置の動作方法およびプログラム","本田技研工業株式会社","B60W30/06,H04Q9/00,301@B,G05D1/00@B,G08G1/16@A,B60R99/00,360,B60R99/00,350,B60W50/10,H04Q9/00,311@L","(57)【要約】
【課題】操作者による周辺監視が実施された状態で車両<BR>の遠隔制御を実行するための技術を提供する。
【解決手段】車両の外部の遠隔操作端末からの指示を介<BR>して前記車両の移動を制御する車両制御装置であって、<BR>前記車両の周囲を撮像する撮像手段と、前記撮像手段に<BR>より撮像された画像に基づいて前記遠隔操作端末の操作<BR>者を検出する操作者検出手段と、前記車両に対する前記<BR>遠隔操作端末の位置を検出する端末検出手段と、前記操<BR>作者検出手段による検出結果と、前記端末検出手段によ<BR>る検出結果とに基づいて、前記遠隔操作端末を介した前<BR>記車両の遠隔制御の作動の可否を制御する制御手段とを<BR>備える。
【選択図】図２
","特開2021-079880","","特許7000401","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079880/46257D5FE16A19D261D205461B4A39AF374EE550C77D697569F4B43D5F8BD742/11/ja"
"特開2021-079879","特願2019-210598","2019/11/21","2021/05/27","車両制御装置、車両制御方法及びプログラム","本田技研工業株式会社","B60W50/12,B60W30/06,H04Q9/00,301@B,H04Q9/00,331@A,H04M11/00,301","(57)【要約】      （修正有）
【課題】操作端末からの操作により車両を所定の駐車位<BR>置に移動させ、駐車位置に駐車させる車両制御を円滑に<BR>行うこと。
【解決手段】操作端末からの操作に基づいて車両の移動<BR>及び駐車を制御することが可能な車両制御装置は、画面<BR>上に表示した仮想車両を操作端末からの操作により仮想<BR>的に動作させる仮想駐車制御モードでの処理と、操作端<BR>末からの操作に基づいて車両を駐車位置に移動させ駐車<BR>位置に車両を駐車させる遠隔駐車制御モードでの処理と<BR>、を実行可能な処理部を備える。処理部は、仮想駐車制<BR>御モードでの処理を実行した場合、操作端末のユーザの<BR>学習履歴として学習完了情報を登録し、学習完了情報が<BR>登録される前の状態では、遠隔駐車制御モードの実行を<BR>制限し、学習完了情報の登録後、遠隔駐車制御モードの<BR>実行制限を解除するＳ１４。
【選択図】図２
","特開2021-079879","","特許6966525","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079879/4EAE37E18BED2E0E4B90DADB901426E81615EB0DF84E807340E02F60754B55AA/11/ja"
"特開2021-079848","特願2019-209503","2019/11/20","2021/05/27","作業車両","井関農機株式会社","B60W50/12,B60W30/14","(57)【要約】
【課題】オートクルーズ制御の実行中にステアリングホ<BR>イールを所定の角度以上に操作したときに、安全性が確<BR>保されつつ操作性が良好な方向変更を伴う走行を続ける<BR>ことができる作業車両を提供する。
【解決手段】クルーズ走行スイッチ（２７）がオン操作<BR>されたとき、その時点での走行速度をクルーズ速度とし<BR>て記憶して維持するオートクルーズ制御が開始され、オ<BR>ートクルーズ制御の実行中にステアリングホイール（１<BR>２）が所定の角度以上に操作されたとき、オートクルー<BR>ズ制御が停止して走行速度がその時点でのアクセル操作<BR>具（１６）の操作量に対応した速度に変更される場合が<BR>ある。
【選択図】図７
","特開2021-079848","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079848/FBE64629BEF352194EA7BB8CEF9A30C08ABC8DCB71A9D0CC3228B04859DFA399/11/ja"
"特開2021-079757","特願2019-207222","2019/11/15","2021/05/27","駐車支援装置、駐車支援方法、及びプログラム","パナソニックＩＰマネジメント株式会社","B60W30/06,B60R99/00,360,B60R99/00,351,B60R99/00,340,B60W40/02,B60W50/14,B60L53/36,B60L53/12,B60L53/37,B60L53/39,B60L5/00@B,H02J50/10,H02J50/90,H02J7/00,301@D,H02J50/80","(57)【要約】
【課題】受電コイルのタイプと給電コイルのタイプとが<BR>異なる場合に適正な位置合わせを行うことができる。
【解決手段】本開示にかかる駐車支援装置は、第１のコ<BR>イル及び第２のコイルを有する受電コイルが搭載された<BR>車両に用いられる駐車支援装置であって、駐車領域に設<BR>置された給電コイルと、車両が備える受電コイルと、が<BR>対向する対向位置に、車両を駐車させるための経路情報<BR>を取得する取得部と、経路情報に基づき、車両を駐車さ<BR>せる制御を行う車両制御部と、を備え、受電コイルは、<BR>第１のコイルの中心位置と車両の車長方向の中心位置と<BR>の距離が、第２のコイルの中心位置と車両の車長方向の<BR>中心位置との距離に比べ、短くなるように車両に搭載さ<BR>れ、対向位置は、給電コイルと、受電コイルの第１のコ<BR>イルと、が対向する位置である。
【選択図】図２
","特開2021-079757","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-079757/394F40FC3F7AE953DFC98F6E710F5C2EDEEEB44CB88D4DDA2187246A879819EB/11/ja"
