"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2021-197078","特願2020-105400","2020/06/18","2021/12/27","車両、情報処理装置、車両の制御方法、情報処理装置の制御方法、およびプログラム","本田技研工業株式会社","G08G1/00@D,G01C21/34,B60W40/08,B60W50/08,B60W50/14","(57)【要約】
【課題】目的地までの経路に手動運転区間があることを<BR>容易且つ確実に把握することが可能な車両を提供する。
【解決手段】本開示に係る車両は、現在地から目的地ま<BR>での経路における自動運転区間と手動運転区間とを特定<BR>する特定手段と、車両が自動運転又は手動運転により走<BR>行するように車両を制御する制御手段と、を有する。制<BR>御手段は、経路に手動運転区間が含まれる場合、車両の<BR>走行が手動運転により開始するように車両を制御する。
【選択図】図４
","特開2021-197078","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-197078/F45DB48ECE67891F4101419B4A594CC4D8D61740B1BAA624A407F37A167E1540/11/ja"
"特開2021-196938","特願2020-103685","2020/06/16","2021/12/27","車両用の通知制御装置","トヨタ自動車株式会社","G08G1/16@C,G08G1/16@F,B60W50/14,B60W60/00","(57)【要約】
【課題】ドライバに対して正しい運転交代事象を通知す<BR>る。
【解決手段】通知制御装置は、手動運転モードと自動運<BR>転モードとにより運転が行われる車両１００において、<BR>ドライバへの運転交代に関する通知を制御する。通知制<BR>御装置は、手動運転モードへの切り替えが必要な運転交<BR>代事象の発生を検知する事象発生検知部５３３と、運転<BR>交代事象の発生を検知したときにドライバに運転交代を<BR>促す通知を行う交代促進通知部５３４と、運転交代を促<BR>す通知を行うとき又はその後に、運転交代を促す要因と<BR>なった運転交代事象をドライバに通知する事象通知部５<BR>３５とを備える。事象通知部は、検知された第１の運転<BR>交代事象が予め定められた特定の事象であり且つ第１の<BR>運転交代事象の発生後に第１の運転交代事象が発生する<BR>要因となり得る他の第２の運転交代事象の発生が検知さ<BR>れた場合には、運転交代を促す要因となった運転交代事<BR>象として第２の運転交代事象を通知する。
【選択図】図６
","特開2021-196938","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-196938/E8B68336E433311897D619AA2C99030C1D6C8B7FA9675407D997B3FB4A7438BD/11/ja"
"特開2021-196744","特願2020-101593","2020/06/11","2021/12/27","画像処理装置","株式会社デンソー","G08G1/16@C,B60W50/14","(57)【要約】
【課題】緊急車両の接近を車両の乗員に知らせることが<BR>できる画像処理装置を提供すること。
【解決手段】画像処理装置３は、情報取得ユニットと、<BR>条件判断ユニットと、画像変更ユニットとを備える。情<BR>報取得ユニットは、緊急車両の位置を表す情報を取得す<BR>る。条件判断ユニットは、（ａ）緊急車両は車両に接近<BR>しているという第１条件、及び（ｂ）緊急車両から車両<BR>までの距離、又は、緊急車両が車両に到達するまでの予<BR>測時間が閾値以下であるという第２条件が成立するか否<BR>かを判断する。画像変更ユニットは、車両が自動運転を<BR>行っているときに、第１条件及び第２条件が成立すると<BR>判断した場合、画像を変更する。変更の後の画像は俯瞰<BR>画像である。
【選択図】図１
","特開2021-196744","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-196744/BE4AE3950A92D4374E3B38E95121FF7BACD68B659C7BF8C12076E10AF7EC25D5/11/ja"
"特開2021-196026","特願2020-104295","2020/06/17","2021/12/27","車両の駆動力制御装置","トヨタ自動車株式会社","F16H61/02,B60W30/19,B60W40/09,F16H59/18,F16H59/54","(57)【要約】
【課題】運転者のドライバビリティの向上と、車両のエ<BR>ネルギ効率の向上とを両立できる車両の駆動力制御装置<BR>を提供すること。
【解決手段】駆動力制御装置４０は、アクセルペダル２<BR>２の操作量の減少又は操作の解消に伴って車両が減速す<BR>る場合、惰行意志の大きさを示す指標を、アクセルペダ<BR>ル２２の操作状態、ブレーキペダル２３の操作状態、及<BR>び、アクセルペダル２２の操作の解消時点からブレーキ<BR>ペダル２３の操作が開始されるまでの期間の長さを基に<BR>導出する指標導出部５３と、指標を基に、惰行意志の大<BR>きさが一定水準以上であるか否かを判定し、惰行意志の<BR>大きさが一定水準以上であるとの判定をなしたときには<BR>変速装置１５の変速比の低下を制限しない一方、惰行意<BR>志の大きさが一定水準以上であるとの判定をなさないと<BR>きには変速比の低下を制限する制限判定部５４と、制限<BR>判定部５４の処理の結果を基に変速比を制御する変速制<BR>御部５１とを備える。
【選択図】図１
","特開2021-196026","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-196026/D8108D11B26474EB33C5611CAA0C16365EB5C8437C969C7C07E0B63DB6AB3086/11/ja"
"特開2021-195124","特願2021-100474","2021/06/16","2021/12/27","入力としてグレアを使用する注視判定","エヌビディア　コーポレーション","B60W40/08,G06T7/00,350@B,G06T7/00,660@A,G06T7/00,650","(57)【要約】
【課題】グレアを入力として使用する注視判定を行うた<BR>めのシステム及び方法を提供すること。
【解決手段】グレアを学習し、それによって、入力画像<BR>におけるグレアの影響に対するより大きな耐性を有する<BR>方式で、注視方向を判定する、マシン学習システム及び<BR>方法。本マシン学習システムは、画像自体に加えて、明<BR>示的入力として、グレアの分離表現、たとえば、画像内<BR>のグレア・ポイントの位置に関する情報、を有する。こ<BR>の方式で、本マシン学習システムは、注視方向の判定を<BR>行う間にグレアを明示的に考慮し、それによって、グレ<BR>アを含む画像についてのより正確な結果を生み出す。
【選択図】図１Ｂ
","特開2021-195124","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-195124/CD81DF337D4A4BBDD49EE9417E17B6DE147EB71A7EB6B335120A69D81C20D0DC/11/ja"
"特開2021-195080","特願2020-105076","2020/06/18","2021/12/27","車載装置、及び制御方法","クラリオン株式会社","B60W30/06,B60W50/14,G08G1/16@C,B60W60/00","(57)【要約】
【課題】より適切に駐車区画の空き区画へ自動駐車する<BR>こと。
【解決手段】車両３に設けられたセンサ部による周辺の<BR>センシングに基づいて前記車両３の周辺に存在する駐車<BR>区画Ｑが空き区画ＱＡか否かを判定する空き区画判定部<BR>４３と、前記空き区画判定部４３によって判定された空<BR>き区画ＱＡの位置に関する情報を前記車両３の通過経路<BR>Ｔと関連付けて記憶する空き区画記憶部４４と、前記セ<BR>ンサ部による周辺のセンシングに基づいて、現在位置か<BR>ら前記空き区画ＱＡまでの走行経路を生成し、当該走行<BR>経路に沿って走行して前記空き区画ＱＡへ前方から駐車<BR>するように前記車両３を制御する自動走行制御部４８と<BR>、を備える車載装置を構成した。
【選択図】図１
","特開2021-195080","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-195080/1253B58F98C858189FCEF367579FF066496DA391533637D507F324AD20BA87C5/11/ja"
"特開2021-195016","特願2020-102986","2020/06/15","2021/12/27","車両周囲監視装置","クラリオン株式会社","B60W50/14,B60W40/04,G08G1/16@C,G08G1/09@H","(57)【要約】
【課題】自車の周囲の他車の自動運転レベルに応じて、<BR>その他車の運転手の状態を自車の運転手に、適切に通知<BR>する車両周囲監視装置を提供する。
【解決手段】車両周囲監視装置１００は、自車の後方車<BR>両の自動運転レベルを認識する自動運転レベル認識部２<BR>０と、他車の運転手の状態を取得する後方車両運転状態<BR>判定部６１（後方車両運転状態認識部６１ｃ）と、自動<BR>運転レベルと許容される運転手の状態とを対応付けて記<BR>憶した自動運転ガイドラインＤＢ部４０と、自動運転レ<BR>ベルに対応付けられて自動運転ガイドラインＤＢ部４０<BR>に記憶された、許容される運転手の状態と取得された他<BR>車の運転手の状態とを比較して他車の運転手の状態が許<BR>容できるものか否かを判定する後方車両運転状態判定部<BR>６１（総合判定部６１ｄ）と、判定結果が許容できるも<BR>のでない場合は、自車の運転手にその旨を通知する警告<BR>情報発信部６２と、を備える。
【選択図】図１
","特開2021-195016","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-195016/421E1EFA959578D9C40511338169BD7447A2C4843FCB1D04021F6DFF79DF70BA/11/ja"
"特開2021-194976","特願2020-101705","2020/06/11","2021/12/27","車両制御装置","日野自動車株式会社","B60W50/14,B60W60/00,G08G1/16@F,B60W40/08","(57)【要約】
【課題】運転者の特性に応じた適切な態様でハンドオー<BR>バに関する通知を行う。
【解決手段】
  一態様の車両制御装置は、ハンドオーバ要求を複数種<BR>類の通知態様で運転者に通知可能な通知部と、集中パラ<BR>メータを取得する集中パラメータ取得部と、反応パラメ<BR>ータを取得する反応パラメータ取得部と、過去に運転者<BR>に対して通知されたハンドオーバ要求の通知態様と、集<BR>中パラメータと、反応パラメータとが関連付けられた反<BR>応履歴情報を生成する反応履歴情報生成部と、ハンドオ<BR>ーバ要求に対して運転者に要求される反応性を示す要求<BR>反応パラメータを決定する要求反応パラメータ決定部と<BR>、反応履歴情報を用いて運転者の集中パラメータ及び要<BR>求反応パラメータに対応する通知態様を運転者に対して<BR>通知されるハンドオーバ要求の通知態様として決定する<BR>通知態様決定部と、を備える。
【選択図】図１
","特開2021-194976","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-194976/25FC1D397E967DF35F893231A5E81C0DD6C507F8C6793E6C3F5057DBE4360456/11/ja"
"特開2021-194975","特願2020-101682","2020/06/11","2021/12/27","運転管理装置","トヨタ自動車株式会社","B60R25/102,G08G1/00@D,F02N15/00@Z,F02D29/02@L,B60W40/08,B60W50/08","(57)【要約】
【課題】運転免許証の観点から運転者が車両の運転が可<BR>能な状態にあるだけでなく、運転者が身体的および精神<BR>的に運転機能を満たすときに車両の運転を許可する。
【解決手段】運転管理装置は、運転免許証と同じ運転免<BR>許情報と運転者個人を特定するための個人識別情報とを<BR>記憶する情報記憶部材から運転免許情報と個人識別情報<BR>とを読み取って車両情報と共に外部管理装置に送信する<BR>。そして、外部管理装置から、運転免許情報に係る運転<BR>者が車両情報に係る車両の運転が可能な状態にあるか否<BR>かを判定するための免許上許否判定用情報と、個人識別<BR>情報に係る運転者が身体的および精神的に運転機能を満<BR>たすか否かを判定するための機能上許否判定用情報とに<BR>基づいて生成された運転許否情報を受信し、運転許否情<BR>報に基づいて車両のシステム起動を許否する。
【選択図】図２
","特開2021-194975","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-194975/C84B140CF0CC469376CB80DAA1581C148EB2F4476C736D708863B06ECF4CE239/11/ja"
"特開2021-194972","特願2020-101525","2020/06/11","2021/12/27","車両の制御装置","トヨタ自動車株式会社","B60K31/00@Z,B60W50/16,B60W30/17,F02D11/04@C,B60K26/04,G05G1/30@E,G05G5/03@Z,G05G25/00@C","(57)【要約】
【課題】追従制御を実行中に、フットレストの状態から<BR>ペダル反力を制御する場合に、運転者の走行意図に応じ<BR>たペダル反力を発生させることが可能な車両の制御装置<BR>を提供する。
【解決手段】ペダルの踏力に対する反力を発生しその反<BR>力を変化させる反力機構を有し、車両が所定の状態の場<BR>合にペダルをフットレストとして機能させるように構成<BR>され、かつ自車両と先行車両との車間距離を所定距離に<BR>維持しつつ走行する車両の制御装置において、車両がフ<BR>ットレストの状態で停車している状態であると判断した<BR>場合に、停車している状態のペダルの位置から所定位置<BR>まで前記ペダルが踏み込まれたか否かを判断し、ペダル<BR>が前記所定位置まで踏み込まれたと判断した場合にペダ<BR>ル反力を増大させる（ステップＳ３～Ｓ４）。
【選択図】図５
","特開2021-194972","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-194972/0741EB5D4A7E776D5FBE276D5541D72A3F857CA49C7A618D1958A5DA74FF276B/11/ja"
"特開2021-194943","特願2020-100837","2020/06/10","2021/12/27","車両用運転支援装置","株式会社ＳＵＢＡＲＵ","B60W50/12,B60W30/188,B60W40/02,G08G1/16@C","(57)【要約】
【課題】運転者が緊迫した状況に陥りやすい走行を把握<BR>し、当該走行環境でのみブレーキペダルとアクセルペダ<BR>ルとの踏み間違いによる急加速を抑制させるようにする<BR>。
【解決手段】ＧＮＳＳ受信機１３で受信した測位信号に<BR>基づいて推定した自車位置情報を読込み（Ｓ１）、この<BR>自車位置情報に基づいて道路地図データベース１５の道<BR>路地図情報から自車位置、及びその周辺の道路地図情報<BR>を読込む（Ｓ２）。そして自車両Ｍが細街路Ｌｎを走行<BR>していると判定した場合（Ｓ３）、アクセルペダルの踏<BR>込み量に対してエンジンのスロットル開度が抑制された<BR>第２スロットル開度テーブル特性ＴＨ２、或いは第３ス<BR>ロットル開度テーブル特性ＴＨ３をスロットル開度テー<BR>ブルＴＨｔとして設定する。これにより運転者が緊迫し<BR>た状況に陥りやすい細街路Ｌｎを走行中にブレーキペダ<BR>ルとアクセルペダルとを踏み間違えても急加速を抑制さ<BR>せることができる。
【選択図】図２
","特開2021-194943","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-194943/D31A85B193122DF0FEBA14B8B523FB989FFCFB23837763B99A4ED3C433CF0087/11/ja"
"特開2021-193898","特願2020-101251","2020/06/10","2021/12/27","作業車両","井関農機株式会社","A01B63/114,A01B33/12@B,A01B69/00,303@A,B60W50/10,B60W30/182,B60W50/14","(57)【要約】
【課題】測位装置による昇降制御とリヤカバーによる昇<BR>降制御とを切り替えることができる作業車両を提供する<BR>こと。
【解決手段】実施形態の一態様に係る作業車両（１）は<BR>、走行車体（２）と、走行車体（２）に昇降自在に取り<BR>付けた作業機（Ｗ）と、走行車体（２）の位置を測定す<BR>る車両測位装置（３０）と、作業機（Ｗ）の昇降位置を<BR>測定する作業機測位装置（３１）と、作業機（Ｗ）の後<BR>部を覆うリヤカバー（４０ｂ）と、リヤカバー（４０ｂ<BR>）の位置を検出するリヤカバーセンサ（２８）と、作業<BR>機（Ｗ）の昇降位置を制御する制御装置（４０）と、を<BR>備え、制御装置（４０）は、作業機測位装置（３１）に<BR>より得られる測位情報に基づいて作業機（Ｗ）の昇降位<BR>置を制御する測位制御モードと、リヤカバーセンサ（２<BR>８）の検知結果に基づいて作業機（Ｗ）の昇降位置を制<BR>御するカバー制御モードとを、運転者の切替操作に応じ<BR>て切り替える。
【選択図】図１
","特開2021-193898","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-193898/5145EC550EEDE01DF6AB03717CF796DDCA8C5AD30512929F28899AC9DEC2D577/11/ja"
"特開2021-193605","特願2021-150288","2021/09/15","2021/12/23","車両制御装置及び車両制御方法","ソニーセミコンダクタソリューションズ株式会社","G08G1/16@F,G01C21/36,B60W50/08","(57)【要約】
【課題】より安全に自動運転を行う。
【解決手段】車両制御装置は、運転者が車両の運転に介<BR>在している度合いを示す運転介在レベルを検出する運転<BR>者監視部と、前記運転介在レベルが不足している場合、<BR>前記運転者の不利益となるペナルティを適用するペナル<BR>ティ適用部とを備える。本技術は、例えば、運転の制御<BR>を行う車両制御装置に適用できる。
【選択図】図２
","特開2021-193605","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-193605/7E42BD8DF0F6BF3E7265BF406E395D25DB87E5DC40339CD353042CE7EB457110/11/ja"
"特開2021-193024","特願2021-148984","2021/09/13","2021/12/23","車両用の第２列優先着座","ウェイモ　エルエルシー","B60N2/01,B60N2/20,B60N2/06,B60N3/06,B60N2/874,B60W60/00,B60W50/10","(57)【要約】
【課題】本開示の態様は自律運転可能な車両に関する。
【解決手段】車両１４００などのこれらの車両は、異な<BR>る数の乗員を収容するための座席を含むことができる。<BR>場合によっては、座席は、再構成され得る。例えば、車<BR>両は、第１の乗客使用構成を有する第１の着座列１４１<BR>０を含むことができる。第１の列は乗客が第１の着座列<BR>の座席に座り、車両のユーザ入力制御装置にアクセスす<BR>ることを可能にし得る。第１の着座列はまた、第１の列<BR>が折り畳み構成にありもはや乗客が着座するために使用<BR>できない第２の折り畳み構成を有することができる。車<BR>両はまた、第２の着座列１４２０を有することができる<BR>。第１の着座列が第２の折り畳み構成にあるとき、第２<BR>の着座列は着座するために依然として使用可能であり得<BR>、第１の着座列が第１の乗客使用構成にあるときと比較<BR>して乗客用の追加のレッグルームを含むことができる。
【選択図】図１４
","特開2021-193024","","特許7166409","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-193024/EF19C328DC0692AC31F596464683EB484EE22109C46734AD8097FB92001B41EF/11/ja"
"特開2021-193019","特願2021-093616","2021/06/03","2021/12/23","自動車の運転挙動を適応させるための方法","ドクター　エンジニール　ハー　ツェー　エフ　ポルシェ　アクチエンゲゼルシャフト","B60W30/16,B60W50/14,B60W40/04,G08G1/16@C","(57)【要約】      （修正有）
【課題】自動車の運転挙動を適応させるための方法を提<BR>供する。
【解決手段】本発明は、自動車１の運転挙動を適応させ<BR>るための方法であって、少なくとも以下のステップを含<BR>む。ａ．道路ユーザ２と共に連続的に走行している自動<BR>車１の運転挙動を検査するステップであって、連続的走<BR>行は、自動車１の少なくとも１つのセンサ（３、４、５<BR>、６）によって検出されるステップ。ｂ．道路ユーザ２<BR>の検出が失われた場合に交通データを確認するステップ<BR>であって、交通データは、道路ユーザ２の位置を予測す<BR>るための基礎として取られるステップ。ｃ．道路ユーザ<BR>２の予測位置が連続的走行を明らかにする場合、少なく<BR>とも１つのセンサ（３、４、５、６）によって検出され<BR>る連続的走行の場合のように自動車１の運転挙動を検査<BR>するステップ、を含む。
【選択図】図１
","特開2021-193019","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-193019/1728065E69930E8DF732B4102D9DC0A79052EBA4753F50CD4885DE68391E4A92/11/ja"
