"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2022-080830","特願2021-102113","2021/06/21","2022/05/30","自律運転アプリケーションのための緊急対応車両検出","エヌビディア　コーポレーション","G08G1/0965,B60W50/14,B60W60/00","(57)【要約】
【課題】環境内の緊急対応車両の進行方向、位置、及び<BR>／又はタイプを識別するために、自律又は半自律マシン<BR>のマイクロフォンがキャプチャしたオーディオを使用す<BR>る、緊急対応車両のオーディオ警告の検出及び分類を提<BR>供する。
【解決手段】複数のマイクロフォン・アレイが、自律又<BR>は半自律マシンに配設され、環境内の音に対応するオー<BR>ディオ信号の生成に使用される。オーディオ信号は処理<BR>されて、緊急対応車両の位置及び／又は進行方向が判定<BR>される。サイレン・タイプを識別するために、オーディ<BR>オ信号は、オーディオ・データが表す警告タイプの確率<BR>を出力するディープ・ニューラル・ネットワークを使用<BR>して処理される周波数スペクトルの表現を生成するのに<BR>使用される。位置、進行方向、及び／又はサイレン・タ<BR>イプは、エゴ車両又はエゴマシンが緊急対応車両を識別<BR>し、応答してプランニング及び／又は制御決定を行うこ<BR>とを可能にする。
【選択図】図１Ａ
","特開2022-080830","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-080830/7D35588B904E863C02F04B98856DD2BE06F9BB44DAC2C6DAE0E4EF85D13F4B93/11/ja"
"特開2022-080260","特願2021-142361","2021/09/01","2022/05/27","車両制御装置、および車両用報知装置","株式会社デンソー","B60W30/00,B60W30/10,B60W60/00,B60W50/14,B60W40/04,G08G1/16@C","(57)【要約】
【課題】手動運転エリアまたは周辺監視義務のある自動<BR>運転が可能エリアから周辺監視義務のない自動運転可能<BR>エリアに移行する際の運転者の不安を低減することので<BR>きる車両制御装置、および車両用報知装置を提供する。
【解決手段】車両１０の自動運転を実行するにあたって<BR>、走行する道路に応じて、手動または周辺監視義務を伴<BR>う自動運転レベル２以下の第１自動運転状態と、周辺監<BR>視義務のない自動運転レベル３以上の第２自動運転状態<BR>とを切替え制御する制御部７０を備える車両制御装置で<BR>あって、制御部は、第１自動運転状態から、第２自動運<BR>転状態に移行する際に、第１自動運転状態における第１<BR>車速よりも、第２自動運転状態における第２車速を、低<BR>くなる側に設定する。
【選択図】図２
","特開2022-080260","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-080260/62CDA53ECC19FC7036F744FAC28EB7CAE131987FF152BF0525B0137DF6D08D13/11/ja"
"特開2022-080013","特願2020-190942","2020/11/17","2022/05/27","走行支援装置","トヨタ自動車株式会社","G01C21/36,B60W50/14,B60W40/06","(57)【要約】
【課題】ＡＲ（Augmented  Reality：拡張現実）を用い<BR>て車両の走行を支援する。
【解決手段】車両に搭載されるコントローラが実行する<BR>処理は、測位センサから出力される信号に基づいて車両<BR>の位置情報を取得するステップ（Ｓ４１０）と、ＡＲ走<BR>行支援モードの開始指示を検出するステップ（Ｓ４２０<BR>）と、車両の現在の位置、道路位置および車両の進行方<BR>向を特定するステップ（Ｓ４３０）と、フロントウィン<BR>ドウに理想のラインと、視線マーカとをＡＲ画像として<BR>表示するステップ（Ｓ４４０）と、ステアリング操舵ポ<BR>イントおよびブレーキ開始ポイントをフロントウィンド<BR>ウに投影するステップ（Ｓ４５０）とを含む。
【選択図】図４
","特開2022-080013","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-080013/EC51C8649E634C564A6A7219AF2329A6EA1D31DFB7C5CF56A21E272478CAB747/11/ja"
"特開2022-079326","特願2020-190452","2020/11/16","2022/05/26","車両、及び、制御装置","パナソニックＩＰマネジメント株式会社","B60W50/08,B60W60/00,B60W50/10,B60W50/14,B60R25/24,G08G1/16@C","(57)【要約】
【課題】車両の窃盗を抑止しつつ、車両の自律運転及び<BR>手動運転を適切に行う。
【解決手段】第１無線通信端末及び第２無線通信端末と<BR>通信する車両は、手動運転モードにおいて第１無線通信<BR>端末との間で所定の関係が成立している場合、搭乗者に<BR>よる手動運転が可能であり、手動運転モードにおいて第<BR>１無線通信端末との間で所定の関係が成立していない場<BR>合、搭乗者による前記手動運転は不可能であり、自律運<BR>転モードにおいて第１無線通信端末との間で所定の関係<BR>が成立している場合、手動運転モードへの遷移が可能で<BR>あり、自律運転モードにおいて第１無線通信端末との間<BR>で所定の関係が成立していない場合、手動運転モードへ<BR>の遷移が不可能であり、自律運転モードにおいて第１無<BR>線通信端末との間で所定の関係が成立していない場合、<BR>第２無線通信端末の所定の操作により手動運転モードへ<BR>の遷移が可能になる。
【選択図】図２
","特開2022-079326","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-079326/1BE9E447A6DA0A5FACE20C3EB7E82E87911E8029261FEF3778F44BEC8FD4A535/11/ja"
"特許7075550","特願2021-576850","2020/12/10","2022/05/25","車両制御装置、車両制御方法、およびプログラム","本田技研工業株式会社","B60W60/00,B60W50/08","【要約】
  車両の周辺状況を認識する認識部と、車両の運転者の操作に依らずに車両の操舵および<BR>加減速を制御する運転制御部と、車両の運転モードを、第１の運転モードと、第２の運転<BR>モードとを含む複数の運転モードのいずれかに決定するモード決定部と、を備え、車両の<BR>進行方向側に、道路構造に起因して第２の運転モードを終了すべき終了地点が存在するこ<BR>とを認識し、終了地点との距離が基準距離以下になったときに第２の運転モードから第１<BR>の運転モードに車両の運転モードを変更する車両制御装置。
","WO2022/123727","","特許7075550","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-7075550/00C7FDDB08230F19DA86E2DB4D70C3577F4D9F526F951791EECA23F3FF18E745/15/ja"
"特開2022-078114","特願2022-022824","2022/02/17","2022/05/24","車両制御装置及び車両","ＣＡＳＥ特許株式会社","B60W50/12,B60W50/14,B60W40/02,B60W60/00,G08G1/16@C,G08G1/09@D","(57)【要約】      （修正有）
【課題】車両の安全な走行に寄与する車両制御装置を提<BR>供すること。
【解決手段】車両に搭載された車両制御装置であって、<BR>前記車両の周囲に配置されて交通に関する情報を標示す<BR>る標示物の標示内容を認識する標示認識部と、前記標示<BR>認識部で認識された前記標示物の標示内容に応じて、前<BR>記車両の走行状態を制御する車両制御部と、を備えるこ<BR>とを特徴とする車両制御装置。
【選択図】図３
","特開2022-078114","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-078114/879F1710E72AE0F29BBDBFB7EAE5DD03E21ED6959A40F9ABF59972CF518B0CC6/11/ja"
"特開2022-077757","特願2020-188743","2020/11/12","2022/05/24","車両報知装置および車両報知システム","本田技研工業株式会社","G08G1/0965,B60W50/14","(57)【要約】
【課題】走行中の緊急車両の位置を周囲の車両の乗員に<BR>特定されないようにする。
【解決手段】車両の乗員に対して緊急車両の接近を報知<BR>する車両報知装置５０は、車両の位置を検出する測位セ<BR>ンサ３４と、緊急車両の位置情報を取得する情報受信部<BR>４０１と、測位センサ３４により検出された位置と前記<BR>位置情報取得部により取得された位置情報とに基づいて<BR>、前記車両に対して前記緊急車両が接近しているか否か<BR>を判定する判定部４０２と、緊急車両の接近情報を報知<BR>する報知部４０３とを備える。判定部４０２は、緊急車<BR>両から送信される指令に基づいて、報知部４０３による<BR>報知を許可するか否かを判定する。報知部４０３は、緊<BR>急車両が車両に接近していると判定され、かつ、接近情<BR>報の報知を許可すると判定されると、緊急車両の接近情<BR>報を乗員に報知し、接近情報の報知を許可しないと判定<BR>されると、緊急車両が接近していると判定されても接近<BR>情報を報知しない。
【選択図】図４
","特開2022-077757","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-077757/9657D3573AF2296705625E7383C01D4AC7F8A4AC1344288D66F7166603AE2D5E/11/ja"
"特開2022-077698","特願2020-188651","2020/11/12","2022/05/24","情報処理装置及び情報処理方法","日産自動車株式会社","G01C21/26@C,G08G1/14@A,B60W40/09,B60W30/06","(57)【要約】
【課題】駐車場における車両の駐車の難易度を提供する<BR>ことが可能な情報処理装置及び情報処理方法を提供する<BR>。
【解決手段】情報処理装置及び情報処理方法は、車両に<BR>よる駐車場の駐車に関連付けられる運転操作を示す操作<BR>データを受け付け、操作データに基づいて、駐車の難易<BR>度を示す指標を算出し、駐車場と指標を関連付けて出力<BR>する。
【選択図】図１
","特開2022-077698","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-077698/067E61D3168CEA8F3CEC75494E0C44FD58024D8F66671D7CBD88844FAA954D61/11/ja"
"特開2022-077093","特願2020-187744","2020/11/11","2022/05/23","駐車支援装置及び駐車支援方法","クラリオン株式会社","B60W30/06,B60W50/14,G01C21/34,G08G1/16@C,B60R99/00,351,B60R99/00,340","(57)【要約】
【課題】運転者に与える不安感を軽減し、円滑な自動駐<BR>車が可能となる駐車支援装置を提供する。
【解決手段】駐車支援装置１００は、第１駐車経路Ｒ１<BR>を生成する第１経路生成部１３５と、第１駐車経路に複<BR>数の分割点Ｄを設定し、設定した複数の分割点Ｄから駐<BR>車位置Ｐまで自車両１Ａを移動させる第２駐車経路Ｒ２<BR>を生成する第２経路生成部１３６と、第１駐車経路Ｒ１<BR>と、複数の分割点Ｄと、を表示装置６０に表示させる表<BR>示制御部１３７と、１の分割点Ｄを選択する操作情報が<BR>入力されると、入力された操作情報が示す地点までの第<BR>１駐車経路Ｒ１と、操作情報が示す地点から駐車位置Ｐ<BR>まで自車両１Ａを移動させる第２駐車経路Ｒ２と、に従<BR>って自車両１Ａを走行させる制御情報を生成する制御情<BR>報生成部１３８と、を備え、生成された制御情報を、入<BR>出力インターフェイス１１０を介して車両制御ユニット<BR>７０に出力する。
【選択図】図１
","特開2022-077093","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-077093/FB69AA822AAFBF11088C9BBB5BBB1064D8BD7CCBEFC6225623C86822D95A1661/11/ja"
"特開2022-076887","特願2020-187534","2020/11/10","2022/05/20","制御装置、制御システム、車両、及び制御方法","トヨタ自動車株式会社","B60W50/08,B60W60/00,B60W50/14","(57)【要約】
【課題】運転者により端末装置に対する操作が行われる<BR>ことを防止しやすくする。
【解決手段】制御装置２０は、車両の位置を示す第１位<BR>置データと、端末装置の位置を示す第２位置データとを<BR>参照して、端末装置が車両の中に存在するかどうかを判<BR>定し、端末装置が車両の中に存在すると判定された場合<BR>に、車両の運転状態に応じて、端末装置に対して行われ<BR>る第１操作を禁止するかどうかを決定する制御部２１を<BR>備える。
【選択図】図２
","特開2022-076887","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-076887/EE84CC765AA9B4FC5CF00B65298B65289748BBA55004F0FABB56724E51A4205E/11/ja"
