"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2022-190744","特願2021-099144","2021/06/15","2022/12/27","路面情報提供装置及び車両制御装置","株式会社ＳＵＢＡＲＵ","G08G1/00@J,G08G1/16@D,B60W40/068,B60W50/14","(57)【要約】
【課題】路面ごとに詳細な状態を予測して、路面の状態<BR>に応じた運転操作を支援し、適切な車両制御を支援する<BR>。
【解決手段】走行中の複数の車両のうち、少なくとも走<BR>行中に自車両の車輪の空転を検知した車両から、前記車<BR>両の車両情報を取得すると共に、前記車両の周辺の気象<BR>情報を取得する情報取得部と、前記車両情報及び前記気<BR>象情報に基づいて、前記車両の周辺を含む所定領域の路<BR>面の状態を予測した路面情報を生成する路面状態予測部<BR>と、前記路面情報を地図情報に対応付けたリスクマップ<BR>を生成するリスクマップ生成部と、前記所定領域を走行<BR>する車両に前記リスクマップを送信する送信部と、を備<BR>えた路面情報提供装置を提供する。
【選択図】図１
","特開2022-190744","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-190744/A488F7639E421E1B682728A0F1A4BB55048847F0E4D6DCA26BC740428AF0CBDF/11/ja"
"特開2022-188735","特願2022-042666","2022/03/17","2022/12/21","車両操舵制御装置","トヨタ自動車株式会社","B62D6/00,B60W50/16,B62D101:00,B62D113:00","(57)【要約】
【課題】運転者がカーブ路に沿って車両をスムーズに走<BR>行させることができるようにハンドル操作に対して与え<BR>る反力を調整することができる車両操舵制御装置を提供<BR>する。
【解決手段】車両操舵制御装置１０は、自車両１００を<BR>カーブ路に沿って走行させるときの操舵操作の量の変化<BR>の目標を設定し、自車両がカーブ路に沿って走行すると<BR>きに目標に沿った操舵操作の量の変化が達成されるよう<BR>に運転者による操舵操作を誘導するガイド操舵操作量を<BR>設定し、操舵操作の実際の量がガイド操舵操作量よりも<BR>小さい場合、操舵反力を小さくする。又、車両操舵制御<BR>装置１０は、自車両の前方にカーブ路を検出した場合、<BR>運転者が自車両をカーブ路に沿って走行させるための操<BR>舵操作を開始する時刻よりも所定時間だけ前の時点で操<BR>舵反力を小さくする。
【選択図】  図７
","特開2022-188735","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-188735/9E0A60FF655FA0DC6C65BEAB62B056DC1DCE92B613736AA3C3AEF65207A83907/11/ja"
"特開2022-188105","特願2022-149979","2022/09/21","2022/12/20","駐車支援装置","トヨタ車体株式会社","B60R99/00,351,B60W50/14,B60R99/00,330,A61G3/04,B60W30/06","(57)【要約】
【課題】福祉車両の駐車を容易に行うことのできる駐車<BR>支援装置を提供する。
【解決手段】この装置は、乗降を補助する補助装置２０<BR>を有する車両１０の駐車を支援する。補助装置２０は、<BR>車両１０の内部に全体が収容された通常状態から同車両<BR>１０の外部に一部が突出する乗降状態に切り替えられる<BR>ものである。車両制御装置３０のメモリ３８には、車両<BR>１０の外部における前記乗降状態の補助装置２０を利用<BR>した乗降のための乗降スペースが記憶されている。駐車<BR>支援装置は、車両１０の周辺の映像を撮影するカメラ３<BR>９，４０，４１Ｒ，４１Ｌを有している。車両制御装置<BR>３０は、カメラ３９，４０，４１Ｒ，４１Ｌによって撮<BR>影された映像に、メモリ３８に記憶された乗降スペース<BR>を重ねてディスプレイ３６に表示する。
【選択図】図３
","特開2022-188105","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-188105/0F1B359A0EDB26DF416D9B68FCEA7B4AF9B1255A6C29D82ADD03081C3579486C/11/ja"
"特開2022-186232","特願2021-094353","2021/06/04","2022/12/15","情報処理サーバ、情報処理サーバの処理方法、プログラム","トヨタ自動車株式会社","G08G1/16@A,G08G1/00@D,G09B29/10@A,B60W50/08,B60W60/00,G16Y10/40,G16Y20/20","(57)【要約】
【課題】不安定挙動位置で不安定挙動になると推定され<BR>る支援対象車両が存在する場合に、支援対象車両が不安<BR>定挙動になることを抑制する。
【解決手段】複数台の対象車両から対象車両の走行状態<BR>及び対象車両の地図上の位置情報を含む対象車両データ<BR>を得る情報処理サーバであって、対象車両データに基づ<BR>いて、対象車両が不安定挙動になった地図上の位置であ<BR>る不安定挙動位置を認識する不安定挙動位置認識部と、<BR>不安定挙動位置認識部により不安定挙動位置が認識され<BR>た場合に、不安定挙動位置と対象車両データとに基づい<BR>て、一定時間以内に不安定挙動位置で不安定挙動になる<BR>と推定される対象車両である支援対象車両が存在するか<BR>否かを判定する支援対象車両判定部と、支援対象車両判<BR>定部により支援対象車両が存在すると推定された場合に<BR>、不安定挙動位置で不安定挙動になることを抑制するた<BR>めの車両支援を支援対象車両に対して行う車両支援部と<BR>、を備える。
【選択図】図２
","特開2022-186232","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-186232/EB039DE9EF20A3F3E1E6C61C047E200D215115DB6D4A92CF53B2964C2A2CAB66/11/ja"
"特開2022-186231","特願2021-094351","2021/06/04","2022/12/15","情報処理サーバ、情報処理サーバの処理方法、プログラム","トヨタ自動車株式会社","G08G1/00@D,G08G1/16@A,G09B29/10@A,B60W50/14,B60W60/00,G16Y10/40,G16Y20/20","(57)【要約】
【課題】地図上のメッシュに関連付けて不安定挙動位置<BR>の情報を適切に管理する。
【解決手段】
  情報処理サーバは、対象車両の走行状態及び対象車両<BR>の地図上の位置情報を含む対象車両データを取得する対<BR>象車両データ取得部と、対象車両データに基づいて、少<BR>なくとも一台の対象車両が不安定挙動になった地図上の<BR>位置である不安定挙動位置を認識する不安定挙動位置認<BR>識部と、地図に予め設定されたメッシュ内の所定期間内<BR>における不安定挙動位置の発生件数をカウントする発生<BR>件数カウント部と所定期間内における不安定挙動位置の<BR>発生件数が第一閾値以上含まれるようにメッシュの大き<BR>さを拡大するメッシュ拡大部と、メッシュとメッシュ内<BR>の不安定挙動位置とを関連付けて記憶データベースに記<BR>憶する記憶処理部と、を備える。
【選択図】図１３
","特開2022-186231","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-186231/E2F3BC80BE7236A872F080F69E66298EA3C9FC0F02CB411FFDC065066A531205/11/ja"
"特開2022-186227","特願2021-094347","2021/06/04","2022/12/15","情報処理サーバ、情報処理サーバの処理方法、プログラム","トヨタ自動車株式会社","G08G1/00@D,G08G1/16@A,G09B29/10@A,B60W60/00,B60W50/14,G16Y10/40,G16Y20/20","(57)【要約】
【課題】  不安定挙動位置と不安定挙動位置が連続発生<BR>状況であるか非連続状況であるかの判定結果を関連付け<BR>て記憶する。
【解決手段】  情報処理サーバであって、対象車両の走<BR>行状態及び対象車両の地図上の位置情報を含む対象車両<BR>データを認識する対象車両データ認識部と、複数台分の<BR>対象車両データに基づいて、少なくとも一台の対象車両<BR>が不安定挙動になった地図上の位置である不安定挙動位<BR>置を認識する不安定挙動位置認識部と、不安定挙動位置<BR>における複数台の対象車両の不安定挙動の有無に基づい<BR>て、不安定挙動位置が連続発生状況であるか非連続状況<BR>であるかを判定する判定部と、判定部による判定結果を<BR>不安定挙動位置と関連付けて記憶データベースに記憶す<BR>る記憶処理部と、を備える。
【選択図】図８
","特開2022-186227","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-186227/8EAC35D3DB03105002D1344A6729D2E4F7971CD98D11C67DD6D60C5BD8E5F52C/11/ja"
"特開2022-185937","特願2021-093879","2021/06/03","2022/12/15","シート制御装置、シート制御プログラム、状態推定装置、及び状態推定プログラム","株式会社デンソー","G08G1/16@F,B60W40/08,B60W60/00,B60W30/16,B60W50/14,B60N2/90,B60N2/06,B60N2/22","(57)【要約】
【課題】周辺監視義務のない自動運転期間において、ド<BR>ライバの状態監視の中断を抑制可能なシート制御装置等<BR>の提供。
【解決手段】ＨＣＵ１００は、ドライバの状態を監視す<BR>るドライバモニタ２９を搭載する自車両Ａｍにおいて用<BR>いられる。ＨＣＵ１００は、ドライバの着座する運転席<BR>の状態を制御するシート制御装置として機能する。ＨＣ<BR>Ｕ１００は、ドライバによる周辺監視義務のない自律走<BR>行制御によって自車両Ａｍが走行しているか否かを把握<BR>する。そして、自律走行制御によって自車両Ａｍが走行<BR>している場合、ドライバモニタ２９の検出範囲にドライ<BR>バが含まれるように、運転席のリクライニングの状態を<BR>制御する。
【選択図】図５
","特開2022-185937","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-185937/1921DC0135A3F79FE2AD04E5D932C511ED418E6187C685E3EA7B8D80EF9C963C/11/ja"
"特開2022-185223","特願2021-092746","2021/06/02","2022/12/14","車両接触回避装置","トヨタ自動車株式会社","B60W30/08,B60W50/14,B60W60/00,G08G1/16@C","(57)【要約】
【課題】自車両と道路脇に存在する構造物との接触を回<BR>避するための警報等の接触回避制御を不必要に実行する<BR>ことなく接触回避制御により自車両とその構造物との接<BR>触を回避することができる車両接触回避装置を提供する<BR>。
【解決手段】車両接触回避装置１０は、自車両１００が<BR>走行している道路ＲＤの脇に存在する構造物ＳＴと自車<BR>両との接触を回避するための接触回避制御を自車両が構<BR>造物に所定距離まで近づいたときに実行する。車両接触<BR>回避装置は、構造物の高さが自車両のサイドミラーの高<BR>さよりも低い場合、第１距離を前記所定距離として設定<BR>し、構造物の高さがサイドミラーの高さ以上である場合<BR>、第１距離よりも長い第２距離を所定距離として設定す<BR>る。
【選択図】  図７
","特開2022-185223","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-185223/9BED904F97EEEB3ABF32582F7ABDA6238F71AAD9520DA408B4981BB91EE9D3B6/11/ja"
"特開2022-184391","特願2021-092205","2021/06/01","2022/12/13","ドライバ異常判定装置","日野自動車株式会社","B60W40/08,B60W40/06,B60W50/12,G08G1/16@F","(57)【要約】
【課題】車両の走行状況によってドライバの異常を仮判<BR>定する。
【解決手段】ドライバ異常判定装置１は、車両２が走行<BR>している車線の区画線Ｌを検知する区画線検知装置３と<BR>、車両２が区画線Ｌよりも車線中央側に位置する車線維<BR>持判定用仮想線を越えていない場合に車線維持と判定し<BR>、車両２が車線維持判定用仮想線を越えている場合に車<BR>線逸脱と判定する車線逸脱判定部６と、車線逸脱判定部<BR>６の判定結果に基づいて車両２のドライバの異常を仮判<BR>定するドライバ異常判定部１１と、を備える。
【選択図】図１
","特開2022-184391","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-184391/CF5F61C0DCD09314C950E9F8633193B86A0AF0750E3AB5A669B4125D7960743A/11/ja"
"特開2022-183178","特願2022-152077","2022/09/26","2022/12/08","自動運転車及び自動運転車用プログラム","みこらった株式会社","B60W50/08,B60W40/08,B60W60/00,B60R25/25,H04N7/18@J,G08B13/196","(57)【要約】
【課題】犯人逮捕や犯人検挙にも威力を発揮する自動運<BR>転車を提供する。
【解決手段】手動運転モードから自動運転モードに切り<BR>替える第１の切替手段と、自動運転モードから手動運転<BR>モードに切り替える第２の切替手段と、監視カメラシス<BR>テムからの通知を受信する通信手段と、制御手段とを備<BR>える。監視カメラシステムは、監視カメラで撮影した車<BR>両の乗車者の顔画像と特定人物の顔画像との比較結果に<BR>基づいて、乗車者が特定人物であると判断した場合に、<BR>通知を送出する。制御手段は、通信手段を通じて監視カ<BR>メラシステムから乗車者が特定人物であるとの通知を受<BR>けた場合に、自車が自動運転モードの場合は、第２の切<BR>替手段による手動運転モードへの切替を無効または不可<BR>能にし、自車が手動運転モードの場合は、第１の切替手<BR>段により自動運転モードに切り替える。
【選択図】図１
","特開2022-183178","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-183178/B2001561965889D3B6AC93CED1D24D566C8C89F454CCF659102388B53DEB6900/11/ja"
