"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2023-001221","特願2022-173606","2022/10/28","2023/01/04","通知制御装置","トヨタ自動車株式会社","G08G1/16@F,B60W50/14,B60W60/00,B60W40/08","(57)【要約】
【課題】自動運転制御の最中のドライバに対する注意喚<BR>起を必要に応じて行いつつ、この注意喚起をドライバが<BR>煩わしいと感じるのを抑える技術を提供する。
【解決手段】自動運転が行われる車両の表示・音声出力<BR>制御システムは、表示装置と、音声出力装置と、制御装<BR>置と、を備える。制御装置は、表示装置と音声出力装置<BR>による推奨動作の通知制御を行う。通知制御では、推奨<BR>動作の通知条件が満たされるか否かが判定される。通知<BR>条件が満たされると判定された場合、ドライバの状態お<BR>よび車両の走行状況に基づいて、推奨動作の通知緩和条<BR>件が満たされるか否かが判定される。通知緩和条件が満<BR>たされると判定された場合、緩和通知処理が行われる。<BR>そうでない場合、通常通知処理が行われる。緩和通知処<BR>理では、音声出力装置における推奨動作の出力状態が非<BR>アクティブ状態に制御される。
【選択図】図７
","特開2023-001221","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2023-001221/479A183DED4B02FA259258D2C474D1D507A2BF2E34AE2DAB40C7479098A3C007/11/ja"
"特開2022-191223","特願2022-143051","2022/09/08","2022/12/27","センサーデータにおけるエラーの検出","ズークス　インコーポレイテッド","G06V10/98,B60W40/04,B60W50/02,G06N20/00,G06T7/00,350@B,G06T7/00,650@Z,G08G1/16@C,B60W40/06","(57)【要約】
【課題】センサーデータにおけるエラーの検出に関する<BR>方法を提供する。
【解決手段】方法は、第１のセンサーから第１の信号を<BR>受信することを含み、第１の信号は、環境を表すデータ<BR>を含む。さらに、方法は、第２のセンサーから第２の信<BR>号を受信することも含み、第２の信号は、環境を表すデ<BR>ータを含む。さらに、方法は、受信信号に少なくとも部<BR>分的に基づいてオブジェクトのグループを決定すること<BR>と、第１の信号および／または第２の信号に含まれるデ<BR>ータに関連付けられたエラーを特定することを含む。
【選択図】図１
","特開2022-191223","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-191223/E866FA23273CF88638B87BB12B5795CDB960F560DED84051C3CE5B86B4342F64/11/ja"
"特開2022-190744","特願2021-099144","2021/06/15","2022/12/27","路面情報提供装置及び車両制御装置","株式会社ＳＵＢＡＲＵ","G08G1/00@J,G08G1/16@D,B60W40/068,B60W50/14","(57)【要約】
【課題】路面ごとに詳細な状態を予測して、路面の状態<BR>に応じた運転操作を支援し、適切な車両制御を支援する<BR>。
【解決手段】走行中の複数の車両のうち、少なくとも走<BR>行中に自車両の車輪の空転を検知した車両から、前記車<BR>両の車両情報を取得すると共に、前記車両の周辺の気象<BR>情報を取得する情報取得部と、前記車両情報及び前記気<BR>象情報に基づいて、前記車両の周辺を含む所定領域の路<BR>面の状態を予測した路面情報を生成する路面状態予測部<BR>と、前記路面情報を地図情報に対応付けたリスクマップ<BR>を生成するリスクマップ生成部と、前記所定領域を走行<BR>する車両に前記リスクマップを送信する送信部と、を備<BR>えた路面情報提供装置を提供する。
【選択図】図１
","特開2022-190744","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-190744/A488F7639E421E1B682728A0F1A4BB55048847F0E4D6DCA26BC740428AF0CBDF/11/ja"
"特開2022-185937","特願2021-093879","2021/06/03","2022/12/15","シート制御装置、シート制御プログラム、状態推定装置、及び状態推定プログラム","株式会社デンソー","G08G1/16@F,B60W40/08,B60W60/00,B60W30/16,B60W50/14,B60N2/90,B60N2/06,B60N2/22","(57)【要約】
【課題】周辺監視義務のない自動運転期間において、ド<BR>ライバの状態監視の中断を抑制可能なシート制御装置等<BR>の提供。
【解決手段】ＨＣＵ１００は、ドライバの状態を監視す<BR>るドライバモニタ２９を搭載する自車両Ａｍにおいて用<BR>いられる。ＨＣＵ１００は、ドライバの着座する運転席<BR>の状態を制御するシート制御装置として機能する。ＨＣ<BR>Ｕ１００は、ドライバによる周辺監視義務のない自律走<BR>行制御によって自車両Ａｍが走行しているか否かを把握<BR>する。そして、自律走行制御によって自車両Ａｍが走行<BR>している場合、ドライバモニタ２９の検出範囲にドライ<BR>バが含まれるように、運転席のリクライニングの状態を<BR>制御する。
【選択図】図５
","特開2022-185937","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-185937/1921DC0135A3F79FE2AD04E5D932C511ED418E6187C685E3EA7B8D80EF9C963C/11/ja"
"特開2022-185369","特願2021-093009","2021/06/02","2022/12/14","電子制御装置及び制御方法","株式会社日立製作所,日立Ａｓｔｅｍｏ株式会社","G08G1/16@C,B60W50/023,B60W40/02","(57)【要約】
【課題】外部環境の変化に拠るセンサの性能低下や道路<BR>環境の性能要求に対して柔軟かつ安全に走行制御可能な<BR>走行制御装置を提供する。
【解決手段】車両に搭載される電子制御装置であって、<BR>前記車両に搭載される第一の外界センサの検出情報と第<BR>二の外界センサの検出情報を取得するセンサ検出情報取<BR>得部と、前記第一の外界センサの検出情報に示された環<BR>境要素と前記第二の外界センサの検出情報に示された環<BR>境要素との対応関係を特定するセンサ検出情報統合部と<BR>、前記統合検出情報において、前記第二の外界センサで<BR>検出されている環境要素に対する前記第一の外界センサ<BR>の検出状態に基づき、前記第一の外界センサにおける相<BR>対位置と検出能力の関係性を決定し、当該関係性に基づ<BR>き前記第一の外界センサの検出可能領域を決定するセン<BR>サ検出可能領域決定部と、を備える。
【選択図】図６
","特開2022-185369","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-185369/9F0EC9B89F92AE1A1259E82C11AE26936FF6BFB9E9E5F8A3E1C3C7FB09719767/11/ja"
"特開2022-184391","特願2021-092205","2021/06/01","2022/12/13","ドライバ異常判定装置","日野自動車株式会社","B60W40/08,B60W40/06,B60W50/12,G08G1/16@F","(57)【要約】
【課題】車両の走行状況によってドライバの異常を仮判<BR>定する。
【解決手段】ドライバ異常判定装置１は、車両２が走行<BR>している車線の区画線Ｌを検知する区画線検知装置３と<BR>、車両２が区画線Ｌよりも車線中央側に位置する車線維<BR>持判定用仮想線を越えていない場合に車線維持と判定し<BR>、車両２が車線維持判定用仮想線を越えている場合に車<BR>線逸脱と判定する車線逸脱判定部６と、車線逸脱判定部<BR>６の判定結果に基づいて車両２のドライバの異常を仮判<BR>定するドライバ異常判定部１１と、を備える。
【選択図】図１
","特開2022-184391","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-184391/CF5F61C0DCD09314C950E9F8633193B86A0AF0750E3AB5A669B4125D7960743A/11/ja"
"特開2022-183178","特願2022-152077","2022/09/26","2022/12/08","自動運転車及び自動運転車用プログラム","みこらった株式会社","B60W50/08,B60W40/08,B60W60/00,B60R25/25,H04N7/18@J,G08B13/196","(57)【要約】
【課題】犯人逮捕や犯人検挙にも威力を発揮する自動運<BR>転車を提供する。
【解決手段】手動運転モードから自動運転モードに切り<BR>替える第１の切替手段と、自動運転モードから手動運転<BR>モードに切り替える第２の切替手段と、監視カメラシス<BR>テムからの通知を受信する通信手段と、制御手段とを備<BR>える。監視カメラシステムは、監視カメラで撮影した車<BR>両の乗車者の顔画像と特定人物の顔画像との比較結果に<BR>基づいて、乗車者が特定人物であると判断した場合に、<BR>通知を送出する。制御手段は、通信手段を通じて監視カ<BR>メラシステムから乗車者が特定人物であるとの通知を受<BR>けた場合に、自車が自動運転モードの場合は、第２の切<BR>替手段による手動運転モードへの切替を無効または不可<BR>能にし、自車が手動運転モードの場合は、第１の切替手<BR>段により自動運転モードに切り替える。
【選択図】図１
","特開2022-183178","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-183178/B2001561965889D3B6AC93CED1D24D566C8C89F454CCF659102388B53DEB6900/11/ja"
"特開2022-183137","特願2022-086944","2022/05/27","2022/12/08","車両のセンサレイアウト","北京図森智途科技有限公司","B60R11/02@C,B60W50/00,B60W60/00,B60W40/02,B60R1/22","(57)【要約】      （修正有）
【課題】周囲環境の環境情報を確実に感知することがで<BR>きる車両を開示する。
【解決手段】車両は、第１カメラセットは第１カメラサ<BR>ブセットを含み、第１カメラサブセットのカメラは車両<BR>の前方を向く第１カメラセットと、第２カメラセットで<BR>あって、第２カメラセットのカメラの焦点距離は第１カ<BR>メラセットのカメラの焦点距離よりも小さく、第２カメ<BR>ラセットは第２カメラサブセット及び第３カメラサブセ<BR>ットを含み、第２カメラサブセットのカメラは車両の前<BR>方を向き、第３カメラサブセットのカメラは車両の側面<BR>前方及び／又は側方を向き、第３カメラセットであって<BR>、第３カメラセットのカメラの焦点距離は第２カメラセ<BR>ットのカメラの焦点距離よりも小さく、第３カメラセッ<BR>トは第４カメラサブセット及び第５カメラサブセットを<BR>含む。
【選択図】図２
","特開2022-183137","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-183137/532AAADE157883CDE00BAFEEAB537DF695FD10C228C9AC297C6220F7182D55E7/11/ja"
"特開2022-182957","特願2021-185011","2021/11/12","2022/12/08","機能制御装置、機能制御プログラム、自動運転制御装置、及び自動運転制御プログラム","株式会社デンソー","G08G1/16@F,B60W60/00,B60W50/14,B60W40/08,B60W30/09,B60W30/16,B60K35/00@Z,B60K35/00@A","(57)【要約】
【課題】ドライバが異常状態となった場合の乗員の不安<BR>を軽減することが可能な機能制御装置等の提供。
【解決手段】自動運転ＥＣＵは、自動運転機能によって<BR>走行可能な自車両において用いられ、自動運転機能に関<BR>連する制御を行う機能制御装置として機能する。自動運<BR>転ＥＣＵは、自車両のドライバに生じた体調の異常状態<BR>を把握すると共に、ドライバによる周辺監視義務のない<BR>自律走行制御に含まれる複数の走行制御モードのうちで<BR>、自動運転機能が実行中の走行制御モードを把握する。<BR>そして、自律走行制御によって自車両が走行する期間に<BR>異常状態が把握された場合、自動運転ＥＣＵは、自車両<BR>の車両制御及びドライバへ向けた情報提示制御のうちの<BR>少なくとも一方の内容を、自動運転機能が実行中の走行<BR>制御モードに応じて変更する。
【選択図】図９
","特開2022-182957","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-182957/8D14183056217B30E3D02EA7FAB39D8E6489EF240B2BD7D95F4AF657B74F089C/11/ja"
"特開2022-178816","特願2021-085882","2021/05/21","2022/12/02","車両制御装置","マツダ株式会社","B60W50/08,G08G1/16@F,G08G1/00@D,B60W50/14,B60W40/09,B60W60/00,B60W30/10","(57)【要約】
【課題】運転者の運転技能を向上させることが可能な運<BR>転支援装置を提供する。
【解決手段】車両制御装置１００は、リスクを推定する<BR>リスク推定処理と、運転者の行動を検出するリスク回避<BR>行動検出処理と、運転者にリスクを回避させるように情<BR>報を提供する情報提供処理とを実行するように構成され<BR>、情報提供処理において、運転者がリスクを知覚してい<BR>ないと判定した場合、運転者にリスクを知覚させるよう<BR>に、情報報知装置を用いてリスクを報知する第１支援処<BR>理と、運転者がリスク回避のために実行すべき車両操作<BR>を実行していないと判定した場合、車両の運転終了後に<BR>リスクを回避するための車両操作についての情報を報知<BR>する第２支援処理と、リスクを回避できないと判定した<BR>場合、リスクを回避するように操作部を動かして、操作<BR>部の動きにより運転者に適切な操作量を報知する第３支<BR>援処理と、を実行する。
【選択図】図２
","特開2022-178816","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-178816/A3A1447851F743A2B1BF0397CA20133A68516C0AB8472CBC1CDDCAFA5337A7FC/11/ja"
