"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2022-095771","特願2022-056177","2022/03/30","2022/06/28","インテリジェント道路インフラストラクチャシステム（ＩＲＩＳ）：システム及び方法","シーエーブイエイチ　エルエルシー","G08G1/09@A,G08G1/01@A,G08G1/09@F,G08G1/09@V,G08G1/00@A,G08G1/16@A,G01C21/34,G16Y10/40,G16Y20/20,G16Y40/10","(57)【要約】      （修正有）
【課題】コネクテッド自動運転車両幹線道路（CAVH）システムのための車両の操作及び制<BR>御を容易にするシステム及び方法を提供する。
【解決手段】IRISのシステム及び方法は、運転タスクを車両が遂行するために、カスタマ<BR>イズされた情報及びリアルタイムな制御命令を車両に提供する。また、高速道路、都市幹<BR>線道路にも、交通オペレーション及びマネジメントのサービスを管理する。IRISは、以下<BR>の物理的サブシステム：（1）路側ユニット（RSU）ネットワーク、（2）交通管制ユニッ<BR>ト（TCU）及び交通管制センター（TCC）ネットワーク、（3）車両オンボードユニット（O<BR>BU）、（4）交通オペレーションセンター（TOCs）、（5）クラウド情報及びコンピューテ<BR>ィングサービスを備える。IRISは、感知、交通行動予測及び管理、計画及び意思決定、車<BR>両制御のうち、１つ以上を管理する。
【選択図】なし
","特開2022-095771","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-095771/71D30F311C0AD652FD7A4AE515817A75EFEE0E331983381FAB0B919A6D0480DB/11/ja"
"特開2022-074441","特願2020-184479","2020/11/04","2022/05/18","ドライバ状態推定装置、ドライバ状態推定プログラム、運行日報生成方法、及び、運行日報","矢崎エナジーシステム株式会社","G08G1/16@F,G08G1/00@D,G07C5/00@Z","(57)【要約】
【課題】安価に、実際に危険な状況となる脇見を判定す<BR>ることができるドライバ状態推定装置、ドライバ状態推<BR>定プログラムを提供することにある。また、安価に、実<BR>際に危険な状況となる脇見が行われたことを記録できる<BR>運行日報生成方法、及び、運行日報を提案することにあ<BR>る。
【解決手段】脇見判定部２０２が、ドライバの視認状態<BR>に基づいて脇見を判定する。危険運転判定部３０５が、<BR>ドライバが運転する車両の挙動に基づいて危険運転を判<BR>定する。危険脇見判定部３０６が、脇見判定部２０２が<BR>脇見と判定したときに、危険運転判定部３０５が危険運<BR>転を判定した場合、危険な脇見を行ったと判定する。な<BR>お、危険運転判定部３０５は、車両の速度が法定速度以<BR>上であること、車両が車線逸脱したこと、車両が幅方向<BR>にふらついていること、車両が急旋回したこと、車両が<BR>急減速したこと、のうち、少なくとも一つを危険運転と<BR>判定する条件とする。
【選択図】図１
","特開2022-074441","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-074441/A7ED7E454F70B6E677727A70C9EF14E60A2BDF6B5E9A7E65BFC822ADE5401553/11/ja"
"特開2022-051216","特願2020-157573","2020/09/18","2022/03/31","安全運行支援方法、安全運行支援システム及び安全運行支援サーバ","株式会社日立物流","G08G1/16@F","(57)【要約】
【課題】生体データを用いてドライバ毎の個人差を踏ま<BR>えた広義の危険事象を検知して発報の有無を判定する。
【解決手段】
  プロセッサとメモリを有する計算機が、車両の運行を<BR>支援する方法であって、前記計算機が、過去に収集した<BR>車両の走行状態を示す第１の車載センサデータと、予め<BR>設定された危険発生データを入力して、危険事象が発生<BR>する確率を事故リスクとして推定する事故リスク定義モ<BR>デルを生成し、第２の車載センサデータを事故リスク定<BR>義モデルへ入力して、危険事象が発生する確率を事故リ<BR>スク推定データとして生成し、第２の車載センサデータ<BR>を収集したときのドライバの第１の生体データと、事故<BR>リスク推定データを入力して、所定時間後の事故リスク<BR>を予測する事故リスク予測モデルを生成し、第３の生体<BR>データを入力して、当人深刻度を算出する生体状態推定<BR>モデルを生成する。
【選択図】図２
","特開2022-051216","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-051216/068D4B84137B91AED634E6DA92002E7C8045426C38B22579B811F05AD2BE55A0/11/ja"
"特開2021-144580","特願2020-044012","2020/03/13","2021/09/24","ドライバ状態推定装置","マツダ株式会社","G08G1/16@F,B60W40/08,B60W50/12,G06T7/00,660@A,G06T7/00,650","(57)【要約】
  【課題】安価なシステムでもって、お面が示す人工的<BR>な顔面であるのか否かを容易に判定できるようにする。
  【解決手段】カメラＳ１によって、運転席４に着座さ<BR>れたドライバＤの顔面を含む車室内の画像が取得される<BR>。カメラＳ１によって取得された画像に基づいて、ドラ<BR>イバ状態が推定される。コントローラＵには、ドライバ<BR>Ｄが発声したときの顔面の特徴部位（例えば眉、眼、鼻<BR>、口）の変化量または発声に対する特徴部位の変化の同<BR>調性との少なくとも一方に関するデータが、データベー<BR>スとして記憶される。ドライバＤが発声したときに、カ<BR>メラＳ１によって取得された画像中でのドライバ顔面の<BR>特徴部位の変化量または発声に対する特徴部位の変化の<BR>同調性がデータベースと合致しないときに、ドライバ状<BR>態の推定が禁止される。
【選択図】  図８
","特開2021-144580","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-144580/5702C06474A8C3DD110DC765A02A67218FC682DFAFA6F9BC74AFD19B3DFDEF22/11/ja"
"特開2021-144579","特願2020-044011","2020/03/13","2021/09/24","ドライバ状態推定装置","マツダ株式会社","G08G1/16@F,B60W40/08,B60W50/12,G06T7/00,660@A,G06T7/00,650","(57)【要約】
  【課題】安価なシステムでもって、お面の表情が示す<BR>人工的な顔面であるのか否かを容易に判定できるように<BR>する。
  【解決手段】カメラＳ１によって、運転席４に着座さ<BR>れたドライバＤの顔面を含む車室内の画像が取得される<BR>。カメラＳ１によって取得された画像に基づいて、ドラ<BR>イバ状態が推定される。顔面の特徴部位（例えば眉、眼<BR>、鼻、口）の変化量が、所定の下限値よりも小さいとき<BR>に、お面等によって作られて人工的な表情（顔面）であ<BR>るとして、ドライバ状態の推定が禁止される。顔面の特<BR>徴部位（例えば眉、眼、鼻、口）の変化量が、所定の上<BR>限値よりも大きいときにも、お面等によって作られて人<BR>工的な表情（顔面）であると判定することができる。
【選択図】  図３
","特開2021-144579","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-144579/120AD23EFAD9B305EA9AC2C44B2E5ABE965CE9B10B4E1C806B06834B8191AD87/11/ja"
"特開2021-144578","特願2020-044010","2020/03/13","2021/09/24","ドライバ状態推定装置","マツダ株式会社","G08G1/16@F,B60W40/08,B60W50/12,G06T7/00,660@A,G06T7/00,650","(57)【要約】
  【課題】カメラとドライバとの間に偽画像を撮影させ<BR>るための部材が配設された場合に、安価なシステムでも<BR>って、カメラによって取得された画像が実際に運転を行<BR>っている本人が撮影されている真性なものであるか否か<BR>を容易に判定できるようにする。
  【解決手段】カメラＳ１によって、運転席４に着座さ<BR>れたドライバＤの顔面を含む車室内の画像が取得される<BR>。カメラＳ１によって取得された画像に基づいて、ドラ<BR>イバ状態が推定される。車室内のうちカメラＳ１の撮影<BR>範囲Ｋに、真性な画像であることを示すための識別タグ<BR>α１～α５が設けられる。カメラＳ１によって取得され<BR>た画像中における識別タグを示す画像の有無に応じて、<BR>取得された画像が真性な画像か非真性な画像であるかが<BR>判定される。画像が非真性であると判定されたときは、<BR>ドライバ状態の推定が禁止される。
【選択図】  図３
","特開2021-144578","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-144578/61B5A5DE178519D859EB876E865A1F16ECDA91A632BC3AC7D104066073317ABB/11/ja"
"特開2021-140297","特願2020-035623","2020/03/03","2021/09/16","異常診断装置","株式会社日立製作所","G05B23/02@T,G05B23/02,302@Z,G06Q10/00,300","(57)【要約】
【課題】
  診断する車両の走行データの条件に一致する診断モデ<BR>ルが無い場合であっても、診断可能な新たな診断モデル<BR>を生成する技術を提供する。
【解決手段】
  診断対象の車両の走行データに対して未知の条件（環<BR>境、車両、ドライバ）が含まれる場合に、予め学習した<BR>既存の複数の車両及びドライバの走行データの分布を近<BR>似した複数の確率分布およびその混合比率の中から、診<BR>断対象の条件と近いものを利用して、新たな混合分布を<BR>予測分布として求め、予測分布に基づいて診断モデルを<BR>生成し、異常を判定する。
【選択図】  図１０
","特開2021-140297","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-140297/9266AD3B351EBDE61020B3DA31F2EA1F25DCA7F19FADF7DA37A64096CD07CB1D/11/ja"
"特開2021-138310","特願2020-039035","2020/03/06","2021/09/16","ドライバ状態推定装置およびドライバ状態推定方法","マツダ株式会社","B60W50/08,G08G1/16@F","(57)【要約】
【課題】ドライバの運転不能につながる異常予兆を、い<BR>ち早く、精度良く、とらえる。
【解決手段】ドライバ状態推定装置は、ドライバを撮影<BR>するカメラ１０の出力からドライバの頭部の挙動を検知<BR>する頭部挙動検出部２１と、頭部挙動検出部２１によっ<BR>て検出された頭部の挙動からドライバの異常予兆を検知<BR>する検知部３０とを備える。検知部３０は、ドライバの<BR>頭部の挙動を表す時系列データに対して周期性特徴量を<BR>演算し、ドライバの頭部の挙動とドライバの頭部に作用<BR>する横加速度とのコヒーレンスを演算し、得た周期性特<BR>徴量およびコヒーレンスに対して時系列変動パターンを<BR>演算し、得た時系列変動パターンを所定の閾値と比較し<BR>、ドライバの異常予兆の有無を判定する。
【選択図】図１１
","特開2021-138310","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-138310/D7924123DF6153622669D9717D338C6685A9BE15F4370E98FD8EBD309E9D81EE/11/ja"
"特開2021-105958","特願2019-238171","2019/12/27","2021/07/26","ドライバ状態推定装置およびドライバ状態推定方法","マツダ株式会社","G08G1/16@F,B60W40/08","(57)【要約】
【課題】ドライバの運転不能につながる異常予兆を、い<BR>ち早く、精度良く、とらえる。
【解決手段】ドライバ状態推定装置は、ドライバを撮影<BR>するカメラ１０の出力からドライバの頭部の挙動を検知<BR>する頭部挙動検出部２１と、頭部挙動検出部２１によっ<BR>て検出された頭部の挙動からドライバの異常予兆を検知<BR>する検知部３０とを備える。検知部３０は、ドライバの<BR>頭部に作用する横加速度が所定値以下の場合において、<BR>ドライバの頭部の挙動を表す時系列データに対して周期<BR>性特徴量を演算し、得た周期性特徴量に対して時系列変<BR>動パターンを演算し、得た時系列変動パターンを所定の<BR>閾値と比較し、ドライバの異常予兆の有無を判定する。
【選択図】図９
","特開2021-105958","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-105958/8C45A8024BBF69BA65BB803A09F94CF5B24E456B083F583DB6F2CF0A1890BD83/11/ja"
"特開2021-104793","特願2019-238169","2019/12/27","2021/07/26","ドライバ状態推定装置およびドライバ状態推定方法","マツダ株式会社","B60W40/08,G08G1/16@F","(57)【要約】
【課題】ドライバの運転不能につながる異常予兆を、い<BR>ち早くとらえる。
【解決手段】ドライバ状態推定装置は、ドライバを撮影<BR>するカメラ１０の出力からドライバの頭部の挙動を検知<BR>する頭部挙動検出部２１と、頭部挙動検出部２１によっ<BR>て検出された頭部の挙動からドライバの異常予兆を検知<BR>する検知部３０とを備える。検知部３０は、ドライバの<BR>頭部の挙動を表す時系列データに対して周期性特徴量を<BR>演算し、得た周期性特徴量に対して時系列変動パターン<BR>を演算し、得た時系列変動パターンを所定の閾値と比較<BR>し、ドライバの異常予兆の有無を判定する。
【選択図】図７
","特開2021-104793","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-104793/2FFAF0F00EAFC7181B47977B1FEBC80902B86FC05B7A8A379F409C6612398E52/11/ja"
